path                                                                                 count      pct
----------------------------------------------------------------------------------------------------
properties.geometry_optimization.energies                                         1,633,057   100.0%
material.symmetry.hall_symbol                                                     1,633,057   100.0%
material.chemical_formula_reduced                                                 1,633,057   100.0%
material.symmetry.bravais_lattice                                                 1,633,057   100.0%
material.symmetry.space_group_symbol                                              1,633,057   100.0%
material.symmetry.crystal_system                                                  1,633,057   100.0%
material.symmetry.point_group                                                     1,633,057   100.0%
material.chemical_formula_descriptive                                             1,633,057   100.0%
material.symmetry.hall_number                                                     1,633,057   100.0%
properties.n_calculations                                                         1,633,057   100.0%
material.chemical_formula_anonymous                                               1,633,057   100.0%
material.chemical_formula_hill                                                    1,633,057   100.0%
material.structural_type                                                          1,633,057   100.0%
material.symmetry.space_group_number                                              1,633,057   100.0%
material.material_id                                                              1,633,057   100.0%
method.simulation.dft.xc_functional_type                                          1,633,054   100.0%
method.simulation.dft.basis_set_type                                              1,633,054   100.0%
method.simulation.program_name                                                    1,633,054   100.0%
method.method_name                                                                1,633,054   100.0%
method.simulation.dft.core_electron_treatment                                     1,633,054   100.0%
method.simulation.program_version                                                 1,631,999    99.9%
properties.geometry_optimization.final_energy_difference                          1,631,812    99.9%
method.simulation.dft.scf_threshold_energy_change                                 1,631,392    99.9%
method.parameter_variation_id                                                     1,630,337    99.8%
properties.geometry_optimization.final_force_maximum                              1,630,012    99.8%
properties.geometry_optimization.type                                             1,172,679    71.8%
material.elemental_composition.mass                                               1,172,520    71.8%
material.elemental_composition.atomic_fraction                                    1,172,520    71.8%
material.dimensionality                                                           1,172,520    71.8%
material.elemental_composition.element                                            1,172,520    71.8%
properties.geometry_optimization.system_optimized                                 1,172,520    71.8%
material.chemical_formula_iupac                                                   1,172,520    71.8%
material.elemental_composition.mass_fraction                                      1,172,520    71.8%
material.topology.cell.volume                                                     1,172,517    71.8%
material.topology.mass_fraction                                                   1,172,517    71.8%
material.topology.symmetry.point_group                                            1,172,517    71.8%
material.topology.symmetry.bravais_lattice                                        1,172,517    71.8%
material.topology.cell.atomic_density                                             1,172,517    71.8%
material.topology.chemical_formula_anonymous                                      1,172,517    71.8%
material.topology.symmetry.symmetry_method                                        1,172,517    71.8%
material.topology.chemical_formula_reduced                                        1,172,517    71.8%
material.topology.cell.gamma                                                      1,172,517    71.8%
material.topology.atoms_ref                                                       1,172,517    71.8%
material.topology.chemical_formula_iupac                                          1,172,517    71.8%
material.topology.symmetry.space_group_number                                     1,172,517    71.8%
method.simulation.precision.basis_set                                             1,172,517    71.8%
method.workflow_name                                                              1,172,517    71.8%
material.topology.cell.a                                                          1,172,517    71.8%
material.topology.cell.alpha                                                      1,172,517    71.8%
material.topology.parent_system                                                   1,172,517    71.8%
material.topology.symmetry.hall_number                                            1,172,517    71.8%
material.topology.system_id                                                       1,172,517    71.8%
material.topology.dimensionality                                                  1,172,517    71.8%
material.topology.elemental_composition.mass                                      1,172,517    71.8%
material.topology.cell.b                                                          1,172,517    71.8%
material.topology.symmetry.wyckoff_sets.wyckoff_letter                            1,172,517    71.8%
material.topology.atomic_fraction                                                 1,172,517    71.8%
material.topology.symmetry.wyckoff_sets.element                                   1,172,517    71.8%
material.topology.n_atoms                                                         1,172,517    71.8%
material.topology.cell.c                                                          1,172,517    71.8%
material.topology.symmetry.space_group_symbol                                     1,172,517    71.8%
material.topology.symmetry.hall_symbol                                            1,172,517    71.8%
material.topology.elemental_composition.element                                   1,172,517    71.8%
material.topology.elemental_composition.atomic_fraction                           1,172,517    71.8%
material.topology.label                                                           1,172,517    71.8%
material.topology.description                                                     1,172,517    71.8%
material.topology.system_relation.type                                            1,172,517    71.8%
material.topology.material_id                                                     1,172,517    71.8%
material.topology.method                                                          1,172,517    71.8%
material.topology.structural_type                                                 1,172,517    71.8%
material.topology.cell.beta                                                       1,172,517    71.8%
material.topology.symmetry.crystal_system                                         1,172,517    71.8%
material.topology.elemental_composition.mass_fraction                             1,172,517    71.8%
material.topology.cell.mass_density                                               1,172,517    71.8%
material.topology.chemical_formula_descriptive                                    1,172,517    71.8%
method.simulation.dft.jacobs_ladder                                               1,172,517    71.8%
material.topology.chemical_formula_hill                                           1,172,517    71.8%
properties.geometry_optimization.final_displacement_maximum                       1,171,378    71.7%
method.simulation.precision.native_tier                                           1,170,846    71.7%
properties.geometry_optimization.convergence_tolerance_energy_difference          1,170,571    71.7%
method.simulation.precision.k_line_density                                        1,164,482    71.3%
properties.electronic.dos_electronic.spin_polarized                                850,345    52.1%
properties.electronic.dos_electronic.band_gap.energy_lowest_unoccupied             850,345    52.1%
properties.electronic.dos_electronic.band_gap.energy_highest_occupied              850,345    52.1%
properties.electronic.dos_electronic.band_gap.index                                850,345    52.1%
properties.electronic.dos_electronic.energies                                      850,345    52.1%
properties.electronic.dos_electronic.energy_fermi                                  850,345    52.1%
material.topology.symmetry.wyckoff_sets.z                                          674,965    41.3%
properties.electronic.band_gap.provenance.label                                    582,596    35.7%
properties.electronic.dos_electronic.band_gap.value                                582,596    35.7%
properties.electronic.band_gap.index                                               582,596    35.7%
properties.electronic.band_gap.energy_lowest_unoccupied                            582,596    35.7%
properties.electronic.band_gap.value                                               582,596    35.7%
