sg_sites,n_materials
F-43m | 4a 4b 4c 4d,113337
F-43m | 4a 4c 16e,52151
Cm | 2a 2a 2a 2a,52071
R-3m | 3a 3b 6c,50882
I-4m2 | 2a 2b 2c 2d,45918
P4mm | 1a 1a 1b 1b,44423
I4/mmm | 2a 2b 4d,39020
C2/m | 2a 2d 4i,38099
Pm | 1a 1a 1b 1b,35826
Immm | 2a 2c 4j,35122
Imm2 | 2a 2a 2b 2b,33007
Cmm2 | 2a 2a 2b 2b,32679
P4/mmm | 1a 1c 2e,30824
Cmmm | 2a 2b 4f,29782
Pmmm | 1a 1d 1f 1g,28346
P2/m | 1a 1g 2n,24228
Pmm2 | 1a 1a 1d 1d,23527
Cmmm | 2a 2d 4l,19240
P2/m | 1a 1c 2n,18139
Fm-3m | 4a 4b 8c,17743
I4mm | 2a 2a 2a,16984
P3m1 | 1a 1b 1c,16087
P4/mmm | 1a 1b 2h,15876
C2/m | 2a 2b 4f,15427
Pmmm | 1a 1c 2t,15098
R3m | 3a 3a 3a 3a,13884
Fmm2 | 4a 4a 4a,11024
Amm2 | 2a 2a 2b 2b,10614
Imm2 | 2a 2a 2a,8707
Pmm2 | 1a 1b 1c 1d,5004
I4/mmm | 2a 4d 4e,4654
Cm | 2a 2a 2a 2a 2a 2a,4377
P-6m2 | 1a 1c 1f,4107
F-43m | 4a 4c 4d,3195
I4/mmm | 2a 8h 8i,3005
F-43m | 4a 4b 4c,2306
I-43m | 2a 8c 24g 24g,2235
P-6m2 | 1a 1b 2h,2014
P-3m1 | 1a 2d,2000
C2/m | 4i 4i 4i,1907
I4/mmm | 2a 4e,1882
P6_3/mmc | 2a 2c 2d,1834
Amm2 | 2a 2a 2a 2b 2b 2b,1735
P6/mmm | 1a 2d,1735
P-62m | 1a 2d 3f 3g,1723
P-3m1 | 1a 2d 2d,1691
I4/mcm | 4a 8h,1689
I4_1/amd | 4a 8e,1685
P-6m2 | 1a 1d 1f,1670
Imm2 | 2a 2b 4d,1660
Im-3m | 2a 8c,1652
Cmmm | 2a 2b 2c 2d 4i 4j 4k 4l 8n 16r 16r,1643
R-3m | 3a 6c 6c,1624
Pnnm | 2a 4g,1607
Pnma | 4c 4c 4c,1597
Pm-3n | 2a 6c,1593
Fm-3m | 4a 4b 24d,1587
P6_3/mcm | 2b 4d 6g 6g,1583
Fd-3m | 16c 32e 48f,1568
P6_3/mmc | 2a 2c 6g 6h,1567
P4/mmm | 1a 2e,1553
Cmcm | 4c 4c 4c,1547
P6_3/mmc | 2a 4f 6h,1507
P6/mmm | 1a 2c 3g,1506
P6/mmm | 2c 2e 3g,1505
Cmcm | 4c 4c 8g,1496
I4/mmm | 4c 4d 4e 4e,1493
Cmmm | 2a 2c 4i 4j,1489
Cmmm | 2a 2b 4e 4h 4j,1464
I4/m | 2a 8h,1434
Pnma | 4c 4c 8d,1432
R-3m | 3a 9e,1399
Pmmn | 2a 2b 4e,1394
P6_3/mcm | 4d 6g 6g,1382
P6_3/mmc | 2b 4f 6h 12k,1378
Immm | 2a 4i,1354
P4/mmm | 1a 1d 2g 2h,1348
Pa-3 | 4a 8c,1347
P6_3/mmc | 4e 4f 4f 6g 6h,1329
Fmmm | 4a 8i,1313
Pmmn | 2a 2b 4e 4e 4f 8g,1257
C2/m | 2a 2b 4e,1246
I4/mmm | 2a 4e 4e 4e,1235
I-43m | 8c 8c 12d 12e,1223
P6_3/mmc | 2c 6h,1220
Pm-3m | 1a 1b 3d,1215
Fdd2 | 8a 16b 16b,1210
R-3m | 3a 3b,1187
P-62m | 1a 2c 3g,1174
R-3m | 6c 6c,1055
R-3m | 3a 6c 6c 6c 18h,1039
Fm-3m | 4a 8c,1037
P-3m1 | 2d 2d,1009
Imma | 4e 4e,993
Fd-3m | 8a 8b,991
I4_1/amd | 4a 4b,944
C2/m | 4i 4i,906
Cmcm | 4c 4c,886
P6_3/mmc | 2b 2c 4f,883
I4/mcm | 4a 4b 8h 16k,818
Pmma | 2e 2f,815
Cmmm | 2a 2c,814
I4_1/amd | 8e 8e 8e,810
P6_3/mmc | 2a 2c,805
