cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
0,P2/m | 1a 1g 2n,0.5848050111133563,24745,34518
1,F-43m | 4a 4b 4c 4d,0.9764399372478709,35696,52432
2,Fdd2 | 8a 16b 16b,0.08749519784863619,10412,14983
3,I-4m2 | 2a 2b 2c 2d,0.9999149370534195,23512,32234
4,Cmmm | 2a 2b 4f,0.4263299301450833,27915,38175
5,R-3m | 3a 3b 6c,0.9473538068528905,36014,49726
6,Imm2 | 2a 2a 2b 2b,0.8081635510747042,28566,39023
7,P4/mmm | 1a 1c 2e,0.5252032989215064,34678,47185
8,Pmmm | 1a 1d 1f 1g,0.7093042527097352,30169,42003
9,P4mm | 1a 1a 1b 1b,0.8970888248437551,30881,42183
10,Pmm2 | 1a 1a 1d 1d,0.7901506798970966,32652,44726
11,Fm-3m | 4a 4b 8c,0.7638580931263859,7216,38577
12,Cm | 2a 2a 2a 2a,0.8504678133228752,35698,42530
13,I4/mmm | 2a 2b 4d,0.8525941422594142,23900,32688
14,P-6m2 | 1a 1c 1f,0.2701974339445779,17069,22895
15,P3m1 | 1a 1b 1c,0.9377903032200825,19161,26612
16,F-43m | 4a 4b 4c 4d,0.6772103292694633,20834,29320
17,C2/m | 2a 2d 4i,0.6514930685015083,29503,36458
18,Pm | 1a 1a 1b 1b,0.9608829921079721,17486,24353
19,Cmmm | 2a 2b 4f,0.5390904445579969,35226,48177
20,R3m | 3a 3a 3a 3a,0.9343748115085349,16579,22773
21,I4/mmm | 2a 8h 8i,0.2487837736696355,13361,17274
22,Cmm2 | 2a 2a 2b 2b,0.998854058849623,27052,38095
23,F-43m | 4a 4c 16e,0.9545918739514188,27418,38571
24,P-3m1 | 1a 2d,0.08556521739130435,25875,34476
25,I4mm | 2a 2a 2a,0.8870857533310557,11708,14406
26,Pa-3 | 4a 8c,0.15915817165406115,9123,12702
27,Cm | 2a 2a 2a 2a,0.9409674094608522,28137,33530
28,F-43m | 4a 4b 4c 4d,0.9970113968374333,44837,63792
29,I4/mmm | 2a 2b 4d,0.8380187416331994,26145,35742
30,P4mm | 1a 1a 1b 1b,0.8237873903590974,26678,36853
31,Pmmm | 1a 1d 1f 1g,0.45411378361586935,22534,31285
32,P4/mmm | 1a 1c 2e,0.5504378521485304,29462,40314
33,C2/m | 2a 2d 4i,0.6048106956242519,34257,42416
34,I4/mcm | 4a 8h,0.3206094090071991,5973,7947
35,I4mm | 2a 2a 2a,0.8167785234899329,10430,12931
36,Imm2 | 2a 2a 2b 2b,0.6172944821083823,22273,29969
37,Fm-3m | 4a 4b 8c,0.9353893385431203,14332,32363
38,Pm | 1a 1a 1b 1b,0.9753109423766712,21467,30038
39,F-43m | 4a 4b 4c 4d,0.9743788338806617,32278,44314
40,Pnnm | 2a 4g,0.11948714506276431,14897,18991
41,R-3m | 3a 3b 6c,0.778500959166895,29192,39207
42,P2/m | 1a 1g 2n,0.6012907675633067,20298,28175
43,I-4m2 | 2a 2b 2c 2d,0.9996303415643945,27052,36650
44,Immm | 2a 2c 4j,0.9302557668729149,35071,47103
45,Fmm2 | 4a 4a 4a,0.9066077706661859,11093,15493
46,F-43m | 4a 4c 16e,0.9403122130394858,29403,40859
47,Pm-3m | 1a 1b 3d,0.38934426229508196,3416,6593
48,Amm2 | 2a 2a 2b 2b,0.5500378000378,21164,28237
49,Pm-3n | 2a 6c,0.15766091538382065,9679,13792
