cluster_id,n_samples,largest_sv,top_sv_fraction
0,34518,1111.298928455102,0.4235951694063067
1,52432,1486.9877682920137,0.31674931892269576
2,14983,499.820541106517,0.1689809719322009
3,32234,1111.5210591876514,0.39464434507345925
4,38175,947.2612624365506,0.2797989691981059
5,49726,1496.0726800908985,0.4144323095440218
6,39023,1362.112644765307,0.35432724791140185
7,47185,1329.141365702075,0.31408936400732423
8,42003,1618.35626140173,0.330049243689146
9,42183,883.631932276512,0.42995095521761023
10,44726,1378.9574522093785,0.3104763493871257
11,38577,1330.4645156446452,0.3115868684364006
12,42530,1084.5814698622235,0.3082165984958181
13,32688,1331.554366726412,0.3279534456165198
14,22895,1063.033968612131,0.2738264279027356
15,26612,1077.5559922554564,0.33136144466619616
16,29320,330.5624433596237,0.6093139899823943
17,36458,1197.0987011549503,0.336132557727205
18,24353,783.5507780780092,0.34439610235418433
19,48177,757.594128957138,0.2863001059886713
20,22773,1268.7127635243673,0.299957225884339
21,17274,670.6435014624101,0.29359798344653454
22,38095,1180.5018390920343,0.30138071499149266
23,38571,895.9878524446757,0.287447623223081
24,34476,635.1871350216692,0.2923014503039085
25,14406,568.7466888281158,0.3196201821873217
26,12702,671.2252914676912,0.31358223783981826
27,33530,1524.9917943791736,0.2951459371013925
28,63792,1118.9723396275424,0.4360477279490264
29,35742,543.2817718934173,0.29919955481840554
30,36853,1331.3094819072182,0.33306522921173953
31,31285,749.7954006688874,0.3543108011091227
32,40314,1217.6345370506342,0.3244884336105622
33,42416,986.632951406518,0.2757856134736731
34,7947,368.31166566557243,0.23512265899752602
35,12931,519.3625780141297,0.31510167989475063
36,29969,556.280985858069,0.2881674603216909
37,32363,490.07706497745227,0.3001552399499344
38,30038,749.182166261403,0.39222978393583724
39,44314,1230.552678771617,0.3322144733064396
40,18991,635.0130867079619,0.18953293206008812
41,39207,1494.0521609813338,0.29416969530473946
42,28175,944.4292083817307,0.3323741904807741
43,36650,1067.6155969977078,0.3627264133285604
44,47103,1235.988221661458,0.3048256924937384
45,15493,538.4643136514463,0.2701273866404115
46,40859,1365.7269931656645,0.34801695867223925
47,6593,397.6442113864568,0.4127634277607096
48,28237,1085.420415952306,0.20075350357338623
49,13792,571.6301443304412,0.30552184843372976
