cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,P1 | a,0.18873454823499428,7847,10867
1,I-4m2 | a b c d,0.44975473020322354,7135,9996
2,P4mm | a b,0.530742998863284,9677,13633
3,F-43m | a b c d,0.9982936973445665,9377,12631
4,Fm-3m | a b c,0.6739766081871345,3420,17440
5,R-3m | a c,0.312610118298515,3973,5303
6,Pmmm | a d f g,0.6860497623707017,7154,10147
7,Cm | a,0.8528111181301327,7915,9413
8,C2/m | a d i,0.7530471648118707,9435,11530
9,P4mm | a b,0.46628211851074985,9535,12819
10,Pm | a b,0.47964731814842027,6805,9243
11,F-43m | a c e,0.7813865423827556,6866,9841
12,C2/m | a d i,0.22128767397616902,9987,12738
13,I4/mmm | a b d,0.39605828703218365,9539,13083
14,Fmm2 | a,0.18065335334179844,8663,11642
15,Cmmm | a b f,0.3429153191999042,8349,11197
16,P3m1 | a b c,0.43518878941222267,5138,7369
17,P-3m1 | a d,0.049829695975778986,7927,10124
18,Cm | a,0.7939035486806187,6594,7875
19,F-43m | a b c d,0.9139429550740604,8169,11835
20,C2/m | a d i,0.5108651086510865,7317,8826
21,R-3m | a b c,0.8155459592843923,9726,13948
22,Pm | a b,0.7663749294184077,7084,10029
23,P4mm | a b,0.44371749706425095,5961,8115
24,P4mm | a b,0.4992942125428514,9918,13710
25,Cm | a,0.723874358055655,8373,10014
26,Imm2 | a b,0.34721227621483375,9775,13314
27,P4/mmm | a c e,0.6733793914449507,6803,9323
28,P3m1 | a b c,0.3149034749034749,6475,9075
29,Cm | a,0.830693731875976,8966,10914
30,F-43m | a c e,0.724789029535865,9480,13896
31,F-43m | a b c d,0.9981341770098159,12327,16389
32,Fd-3m | c e f,0.20306090249289996,6338,9276
33,F-43m | a b c d,0.9974029346838073,7701,11949
34,P4/mmm | a c e,0.6568642624980653,6461,9069
35,F-43m | a c e,0.9126439934174437,7292,10339
36,P2/m | a g n,0.4457358709864884,6883,9594
37,Pmmm | a d f g,0.31301440329218105,7776,10675
38,Imm2 | a b,0.31775449905989794,11169,14577
39,Imm2 | a b,0.37750053775005377,9298,13019
40,Pmm2 | a d,0.391473339001579,8233,11452
41,R-3m | a b c,0.810628832511723,8317,11683
42,Immm | a c j,0.3558078360791915,7223,9573
43,C2/m | a b f,0.4906659605454786,7553,10486
44,Fmmm | a i,0.08519574021298935,6667,8313
45,I4/mmm | a b d,0.45365728242704717,7779,10346
46,I4mm | a,0.6036552828175027,7496,9368
47,Pm | a b,0.7347365278399761,6699,9453
48,Cmmm | a b f,0.5324846356453029,6834,9106
49,I4/mmm | c d e,0.09361756774110698,7787,10298
50,F-43m | a c e,0.8620528626132437,10707,15070
51,F-43m | a b c d,0.9920165175498967,7265,10480
52,R-3m | a b c,0.525326920186382,6653,8415
53,P4mm | a b,0.3588172043010753,9300,12674
54,C2/m | a d i,0.10787387055135533,5423,6821
55,P-6m2 | a b h,0.24197574893009985,5608,7378
56,P4mm | a b,0.35106806421653175,7537,10426
57,Cmmm | a b f,0.6261659600242278,8255,11478
58,P2/m | a g n,0.4211735226560869,4789,6711
59,F-43m | a c e,0.9047914597815293,8056,10870
60,Cm | a,0.7859709836283775,7513,9108
61,P4/mmm | a c e,0.6483317045930476,7163,9863
62,P4/mmm | a b h,0.37019104946349124,7642,10339
63,R-3m | a b c,0.7839160839160839,7150,9867
64,P6/mmm | a d,0.11467680608365019,6575,8561
65,Cmmm | a b c d i j k l n r,0.11397374555269292,8151,10970
66,F-43m | a b c d,0.559977499648432,7111,12230
67,I4/mmm | a b d,0.44595949468618407,9974,13327
68,I-4m2 | a b c d,0.7366727448246273,9323,12854
69,F-43m | a b c d,0.4249428840209649,7441,11500
70,Immm | a c j,0.29578351164254246,7945,11153
71,Fm-3m | a b c,0.7157381910612158,4721,13271
72,Immm | a c j,0.2800998948475289,7608,10561
73,P4/mmm | a c e,0.5215861415617811,7389,10440
74,Fm-3m | a b c,0.4794394246726904,5423,10014
75,C2/m | a d i,0.2338916737987529,8179,10707
76,F-43m | a b c d,0.9986006458557589,9290,13292
77,I-4m2 | a b c d,0.4476943346508564,11385,15131
78,R-3m | a b c,0.8078136374666343,8242,11894
79,R-3m | a b c,0.777538775048115,8833,12158
80,Imm2 | a b,0.357501074652529,6979,9854
81,P4mm | a b,0.2633311389071758,6076,8386
82,F-43m | a c e,0.8940445743514798,8211,11392
83,Pm-3m | a b d,0.18722271517302574,5635,8918
84,Cmmm | a b e h j,0.18020631850419083,6204,8029
