cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
0,I4mm | 2a 2a 2a,0.23434149227242476,27046,34920
1,Cmmm | 2a 2b 4f,0.4429012981660828,24265,32125
2,F-43m | 4a 4c 16e,0.5660007135212273,33636,54491
3,Im-3m | 2a 8c,0.04201680672268908,23919,31439
4,Cm | 2a 2a 2a 2a,0.3343045214200928,18534,23680
5,Cm | 2a 2a 2a 2a,0.2544481358434847,27090,35610
6,Cmmm | 2a 2b 4f,0.2089429557783988,24332,31873
7,R-3m | 3a 3b 6c,0.45921738784284066,25121,32417
8,R-3m | 3a 3b 6c,0.7451885714285714,21875,30954
9,F-43m | 4a 4b 4c 4d,0.9931048572450074,19579,26670
10,I-4m2 | 2a 2b 2c 2d,0.32060817752208753,24335,33416
11,P4mm | 1a 1a 1b 1b,0.30469419834238354,27992,37953
12,C2/m | 2a 2d 4i,0.2250423831436183,20645,26603
13,Cmmm | 2a 2b 2c 2d 4i 4j 4k 4l 8n 16r 16r,0.05139646997888362,25099,34716
14,C2/m | 2a 2d 4i,0.14403583215464402,21210,26623
15,F-43m | 4a 4b 4c 4d,0.8752371316554951,15814,23626
16,I4/mmm | 2a 2b 4d,0.37379750657866356,23181,31916
17,P4mm | 1a 1a 1b 1b,0.21900249376558603,20050,28598
18,P4/mmm | 1a 1c 2e,0.3367213726221559,21448,29548
19,I4mm | 2a 2a 2a,0.1491989727283845,24531,32678
20,Cm | 2a 2a 2a 2a 2a 2a,0.08647009619406107,19128,25070
21,F-43m | 4a 4c 16e,0.38256036795707166,26090,47686
22,F-43m | 4a 4c 16e,0.47992179863147605,25575,54652
23,R-3m | 3a 3b 6c,0.7153516431179552,18897,25589
24,C2/m | 2a 2b 4f,0.1670477279222635,20994,28073
25,F-43m | 4a 4b 4c 4d,0.9889965720089721,23629,32018
26,P4mm | 1a 1a 1b 1b,0.27587092631240967,31145,43215
27,P4/mmm | 1a 1c 2e,0.45678911786267,24554,33622
28,Cmmm | 2a 2b 4f,0.46470072352554265,18244,24140
29,P2/m | 1a 1g 2n,0.17645430458338277,25287,34828
30,F-43m | 4a 4b 4c 4d,0.9864230486008837,21728,31972
31,Cmmm | 2a 2b 4f,0.1252829239668036,23858,32971
32,I4mm | 2a 2a 2a,0.23099721854908578,21931,28991
33,F-43m | 4a 4b 4c 4d,0.9957154244719012,20072,29128
34,Imm2 | 2a 2a 2b 2b,0.1830219214359276,33985,44594
35,Immm | 2a 2c 4j,0.21815352222273082,21847,30196
36,P4mm | 1a 1a 1b 1b,0.3090672064221757,29149,38943
37,I-4m2 | 2a 2b 2c 2d,0.42545984650345153,23323,32407
38,F-43m | 4a 4c 16e,0.48126377663482733,29942,45139
39,R-3m | 3a 3b 6c,0.8496493363473019,17253,24527
40,Cm | 2a 2a 2a 2a,0.3359363489023132,20361,26703
41,R-3m | 3a 9e,0.05768917155903457,24528,33524
42,Pm | 1a 1a 1b 1b,0.22719675262655206,16752,21898
43,P2/m | 1a 1g 2n,0.2660598451558904,19116,26266
44,I-4m2 | 2a 2b 2c 2d,0.3345297392323469,27304,36860
45,P4/mmm | 1a 1c 2e,0.44556792873051226,22450,31172
46,I-4m2 | 2a 2b 2c 2d,0.2667291220556745,22416,30903
47,P4mm | 1a 1a 1b 1b,0.2360953070583773,29001,38932
48,I4/mmm | 2a 2b 4d,0.3146284659665158,22757,30728
49,P4mm | 1a 1a 1b 1b,0.22224289501837294,21499,29086
