cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,P3m1 | a b c,0.9330658398686851,5483,7632
1,Cmmm | a b c d i j k l n r,0.24859509020999704,6762,9026
2,F-43m | a b c d,0.9985497905252981,12412,16925
3,Imm2 | a b,0.4181326116373478,10346,14179
4,P2/m | a g n,0.6213076257570139,8091,10914
5,I4mm | a,0.8206112978076492,6249,7744
6,Immm | a c j,0.4385087993335416,9603,13344
7,R-3m | a b c,0.988460151460512,11092,15407
8,P4/mmm | a c e,0.6754358895232218,12962,17650
9,I4/mmm | a b d,0.8972069162074863,10526,14276
10,Fm-3m | a b c,0.9485294117647058,2856,11597
11,Pmm2 | a d,0.8477596064353145,7521,10491
12,Fmm2 | a,0.44890002784739624,7182,9768
13,F-43m | a c e,0.9150093003290886,6989,10032
14,C2/m | a d i,0.5726636475916015,9716,12001
15,Cm | a,0.9902242057167144,9411,11132
16,P6_3/mmc | a c d,0.11575673807878369,5788,8017
17,Fm-3m | a b c,0.9194573972022043,4718,9280
18,Pmmm | a d f g,0.5638959244761685,8686,12232
19,P4mm | a b,0.8950570342205323,7890,10528
20,F-43m | a b c d,0.9815763787213275,8196,11320
21,P4mm | a b,0.8530734632683659,7337,10442
22,R-3m | a b c,0.9939689833429064,6964,9888
23,Cmmm | a b f,0.40454633018686187,10382,14235
24,I-4m2 | a b c d,0.9797474115371487,8789,11972
25,Cmcm | c,0.10570800046312377,8637,11452
26,Pmm2 | a d,0.6933550392185881,6757,9067
27,P6_3/mcm | b d g,0.10014775898867181,6091,8259
28,Immm | a c j,0.5392994647384731,10649,14840
29,I-4m2 | a b c d,0.9298176050753371,7566,10397
30,P2/m | a g n,0.5863818014140794,6506,9185
31,Pmm2 | a d,0.7854576807012502,6959,9467
32,Amm2 | a b,0.29098583877995643,7344,10178
33,R3m | a,0.9872974963181149,5432,7608
34,I4/mmm | a b d,0.8667195557318524,7563,10413
35,Pa-3 | a c,0.09778440562420111,4694,6417
36,Pmmm | a d f g,0.6761282660332542,8420,11403
37,F-43m | a b c d,0.6657721122665772,8943,12724
38,F-43m | a b c d,0.997826761875194,9663,13020
39,Pm-3m | a b d,0.2741001241208109,4834,8207
40,F-43m | a b c d,0.9859018510546707,9292,14353
41,Imm2 | a b,0.46697283564588626,10234,13762
42,P3m1 | a b c,0.9391588403429971,4898,6810
43,Pmmm | a d f g,0.6148433351035582,7532,10641
44,I4mm | a,0.7922969365704843,7867,9794
45,I-43m | a c g,0.20289571512424184,5111,7102
46,P4/mmm | a c e,0.5346339324857519,9124,12765
47,I-4m2 | a b c d,0.9914856860809477,8104,10671
48,Pm | a b,0.8332283464566929,6350,9107
49,Cm | a,0.996838865319025,12021,14288
50,F-43m | a b c d,0.9954193093727978,11352,15607
51,P4/mmm | a c e,0.4524517087667162,10768,14875
52,Cm | a,0.9995460323224986,11014,13050
53,R-3m | a b c,0.9321615787850756,6486,8787
54,Cmcm | c g,0.07815151212695878,10019,12573
55,Imm2 | a b,0.5061358585370567,10349,14092
56,Cm | a,0.9970554346434516,7811,9391
57,Imm2 | a b,0.4657496049818756,10759,14969
58,F-43m | a b c d,0.4851720047449585,7587,10309
59,P4mm | a b,0.9082511546623393,8011,11019
60,Fm-3m | a b c,0.8544802867383513,1395,12480
61,I4mm | a,0.773524720893142,8151,10278
62,C2/m | i,0.14132897055122073,7946,9967
