cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
0,Immm | 2a 2c 4j,0.4446644807323962,30803,42273
1,Pmmm | 1a 1d 1f 1g,0.6549502050380785,22191,30827
2,F-43m | 4a 4c 16e,0.7558309037900874,32928,45577
3,Cmm2 | 2a 2a 2b 2b,0.3479859032172496,26389,36048
4,R3m | 3a 3a 3a 3a,0.9398196429666892,16301,22349
5,C2/m | 2a 2d 4i,0.5069959358421493,32233,39879
6,I4mm | 2a 2a 2a,0.5429616087751371,22974,29498
7,P2/m | 1a 1g 2n,0.5873305282842449,21390,29268
8,I-43m | 2a 8c 24g 24g,0.110898032984494,18251,24417
9,F-43m | 4a 4b 4c 4d,0.9350745779738376,45791,64660
10,R-3m | 3a 3b 6c,0.9138106166058463,26581,36213
11,P4mm | 1a 1a 1b 1b,0.888083652552024,28977,39673
12,Pm | 1a 1a 1b 1b,0.9820758649437266,19192,26244
13,Cmmm | 2a 2b 4f,0.22098171318575555,31170,41085
14,Cm | 2a 2a 2a 2a,0.9425586606907461,30344,36118
15,I4/mmm | 2a 8h 8i,0.2056843679880329,13370,17307
16,Imm2 | 2a 2a 2b 2b,0.3846502766941849,22046,29584
17,Pm | 1a 1a 1b 1b,0.9884996555196354,18869,26966
18,P3m1 | 1a 1b 1c,0.6881720430107527,12648,17624
19,F-43m | 4a 4b 4c 4d,0.9824701422341305,35083,52146
20,P-62m | 1a 2d 3f 3g,0.05648854961832061,20960,28287
21,I4/mmm | 2a 2b 4d,0.841368236304567,26779,36729
22,Cm | 2a 2a 2a 2a,0.9322039842873177,28512,34074
23,P4/mmm | 1a 1c 2e,0.5102027761785966,31266,42699
24,F-43m | 4a 4b 4c 4d,0.923018822320916,33099,45908
25,Fm-3m | 4a 4b 8c,0.9111389236545682,11985,34392
26,I-4m2 | 2a 2b 2c 2d,0.7851224452218745,27155,36154
27,P2/m | 1a 1g 2n,0.599305404818754,23035,32606
28,P4/mmm | 1a 1c 2e,0.5673459244532804,32192,43934
29,P3m1 | 1a 1b 1c,0.7719417146729922,11804,16021
30,P-6m2 | 1a 1c 1f,0.1470889894419306,16575,23721
31,Immm | 2a 2c 4j,0.48129603213880234,34351,46964
32,Pmmm | 1a 1d 1f 1g,0.6082727911881884,17068,24067
33,Pmmm | 1a 1d 1f 1g,0.5098397079828598,12602,17369
34,Cm | 2a 2a 2a 2a 2a 2a,0.11452620839178676,15682,21267
35,R-3m | 3a 3b 6c,0.9500387725711754,18054,25566
36,Pmm2 | 1a 1a 1d 1d,0.8049994076531217,16882,23170
37,Imm2 | 2a 2a 2b 2b,0.3612259702575263,27570,38588
38,F-43m | 4a 4c 16e,0.600598779702126,26387,36593
39,I4/mmm | 2a 2b 4d,0.8300452029910016,23671,32203
40,Immm | 2a 2c 4j,0.28646793909500323,23315,31017
41,Fm-3m | 4a 4b 8c,0.8027674917170142,10262,38200
42,F-43m | 4a 4c 16e,0.7402910024606826,18694,26037
43,Imm2 | 2a 2a 2b 2b,0.48204058410771855,26365,36387
44,P4mm | 1a 1a 1b 1b,0.8461511274475154,28294,39018
45,Pm-3n | 2a 6c,0.12652232746955344,13302,18308
46,I-4m2 | 2a 2b 2c 2d,0.9435125578021579,22058,29986
47,Pmm2 | 1a 1a 1d 1d,0.7869608165953244,15185,20855
48,C2/m | 2a 2d 4i,0.666046626984127,32256,39943
49,R-3m | 3a 3b 6c,0.7357077346377254,19626,25870
