cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,Immm | a c j,0.4446644807323962,30803,42273
1,Pmmm | a d f g,0.6549502050380785,22191,30827
2,F-43m | a c e,0.7558612730806609,32928,45577
3,Cmm2 | a b,0.3483648489901095,26389,36048
4,R3m | a,0.9514140236795289,16301,22349
5,C2/m | a d i,0.5072751527937207,32233,39879
6,I4mm | a,0.5437451031600941,22974,29498
7,P2/m | a g n,0.5873305282842449,21390,29268
8,I-43m | a c g,0.110898032984494,18251,24417
9,F-43m | a b c d,0.9350745779738376,45791,64660
10,R-3m | a b c,0.9141492043188744,26581,36213
11,P4mm | a b,0.888566794354143,28977,39673
12,Pm | a b,0.9841079616506878,19192,26244
13,Cmmm | a b f,0.22098171318575555,31170,41085
14,Cm | a,0.9896849459530714,30344,36118
15,I4/mmm | a h i,0.2056843679880329,13370,17307
16,Imm2 | a b,0.3850131543137077,22046,29584
17,Pm | a b,0.9896125920822513,18869,26966
18,P3m1 | a b c,0.6955249841872233,12648,17624
19,F-43m | a b c d,0.9824701422341305,35083,52146
20,P-3m1 | a d,0.07919847328244274,20960,28287
21,I4/mmm | a b d,0.841368236304567,26779,36729
22,Cm | a,0.9920384399551067,28512,34074
23,P4/mmm | a c e,0.5102027761785966,31266,42699
24,F-43m | a b c d,0.923018822320916,33099,45908
25,Fm-3m | a b c,0.9111389236545682,11985,34392
26,I-4m2 | a b c d,0.7851224452218745,27155,36154
27,P2/m | a g n,0.599305404818754,23035,32606
28,P4/mmm | a c e,0.5673459244532804,32192,43934
29,P3m1 | a b c,0.7832090816672315,11804,16021
30,P-6m2 | a c f,0.1470889894419306,16575,23721
31,Immm | a c j,0.48129603213880234,34351,46964
32,Pmmm | a d f g,0.6082727911881884,17068,24067
33,Pmmm | a d f g,0.5098397079828598,12602,17369
34,Cm | a,0.22611911745950772,15682,21267
35,R-3m | a b c,0.9506480558325024,18054,25566
36,Pmm2 | a d,0.8052955810922876,16882,23170
37,Imm2 | a b,0.36162495466086325,27570,38588
38,F-43m | a c e,0.600598779702126,26387,36593
39,I4/mmm | a b d,0.8300452029910016,23671,32203
40,Immm | a c j,0.28646793909500323,23315,31017
41,Fm-3m | a b c,0.8027674917170142,10262,38200
42,F-43m | a c e,0.7403444955600728,18694,26037
43,Imm2 | a b,0.482571591124597,26365,36387
44,P4mm | a b,0.8464338729059164,28294,39018
45,Pm-3n | a c,0.12652232746955344,13302,18308
46,I-4m2 | a b c d,0.9435125578021579,22058,29986
47,Pmm2 | a d,0.7874217978268028,15185,20855
48,C2/m | a d i,0.666077628968254,32256,39943
49,R-3m | a b c,0.7362682156323245,19626,25870
