cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,Cmmm | a b c d i j k l n r,0.26127926898914905,7004,9319
1,Imm2 | a b,0.2586800954147893,7546,10484
2,Pm | a b,0.9739495798319328,7140,10027
3,F-43m | a c e,0.9209148839326354,8788,13013
4,Immm | a c j,0.42335473515248795,9968,13817
5,Pmmm | a d f g,0.3042317956538315,10492,14311
6,R-3m | a b c,0.7901897154268597,8012,10960
7,Pmmm | a d f g,0.25855165312893263,8741,12421
8,F-43m | a b c d,0.9858959290522492,9359,13056
9,Imm2 | a b,0.37799280486292025,8061,11081
10,Imm2 | a b,0.3270748624730926,8362,11152
11,F-43m | a b c d,0.9942627653471027,13944,19238
12,Pmmm | a d f g,0.286366940089295,9631,13715
13,C2/m | i,0.10945422010140173,6706,8502
14,Cm | a,0.993447338980342,6257,7449
15,F-43m | a b c d,0.9722595078299776,8940,13108
16,I-4m2 | a b c d,0.8667699457784663,6455,8821
17,F-43m | a b c d,0.999383096853794,11347,17594
18,P4/mmm | a c e,0.4728301483932956,9367,12696
19,R-3m | a b c,0.7691819911223843,6308,8676
20,I-4m2 | a b c d,0.7209331973482916,7844,10783
21,Immm | a c j,0.52029826014913,8449,11538
22,C2/m | i,0.08735312306740878,6468,8744
23,Pm-3n | a c,0.12802721088435373,7350,10515
24,R-3m | a b c,0.8616335303600215,7444,10580
25,P4mm | a b,0.7231160033869602,7086,9650
26,Immm | a c j,0.49119308740445333,9027,12166
27,Pmmm | a d f g,0.223499926286304,6783,9489
28,Imm2 | a b,0.35481408788572677,9171,12348
29,Pm-3m | a b d,0.2520499804763764,5122,7968
30,F-43m | a c e,0.5702796563699506,5471,13788
31,P-3m1 | a d,0.1922721877884742,7583,9713
32,C2/m | a d i,0.49314878892733566,7225,9298
33,P4mm | a b,0.8008531656937584,8908,11807
34,Cmm2 | a b,0.3182844243792325,7531,10617
35,Immm | a c j,0.3931706144042323,8317,11331
36,Cm | a,0.9338288879172132,6861,8443
37,P2/m | a g n,0.5883896359462119,9147,12727
38,I4/mmm | a h i,0.07960839881489115,7763,10336
39,I4/mmm | a b d,0.4768603733894294,7606,9956
40,P4mm | a b,0.6700463499420626,6904,9603
41,Pmmm | a d f g,0.7040372670807453,9660,13618
42,Cm | a,0.9528396836808052,6955,8197
43,I4mm | a,0.7423672103722292,7173,9037
44,F-43m | a c e,0.7400121065375302,9912,14157
45,I4/mmm | a e,0.0876577840112202,8556,10668
46,Pm | a b,0.9141630901287554,5592,8054
47,Pm | a b,0.9749923289352562,6518,9372
48,I4/mmm | a b d,0.9109254498714653,7780,10602
49,F-43m | a b c d,0.9948015941777855,11542,16985
50,Cmmm | a b f,0.2941882019409007,9171,12250
51,C2/m | a d i,0.7288888888888889,7875,9707
52,P4/mmm | a c e,0.6734042553191489,8460,11637
53,P4mm | a b,0.6857638888888888,8064,11299
54,P4/mmm | a c e,0.5552317513183458,7206,10102
55,F-43m | a c e,0.5657075051913378,3371,13977
56,I4/mmm | a b d,0.44224137931034485,5800,7989
57,I4/mmm | a e,0.2605619567414595,4947,6521
58,F-43m | a b c d,0.4692526017029328,9513,13855
59,I4/mmm | a b d,0.5154365973234398,7547,10177
60,P3m1 | a b c,0.761664988251091,5958,8267
61,F-43m | a b c d,0.9873899119295436,9992,14874
62,Cmm2 | a b,0.35001296344309046,7714,10753
63,P4/mmm | a c e,0.5473100519112789,8476,11795
64,Cmmm | a b f,0.24657044017654778,8383,11363
65,Pm | a b,0.8275171147103022,5989,8375
66,I-4m2 | a b c d,0.7342016401350699,8292,10964
67,F-43m | a c e,0.4679712981082844,7665,11375
68,C2/m | a d i,0.5283317120622568,8224,10387
69,R-3m | a b c,0.9826420425875467,9909,13360
70,F-43m | a c e,0.7164426261445549,10266,14023
71,P4mm | a b,0.7500278862242052,8965,12438
72,Fm-3m | a b c,0.80266616597822,5326,12592
73,F-43m | a b c d,0.9821120493961681,11013,15665
74,Cm | a,0.9832723470987977,7652,9154
75,P4/mmm | a c e,0.571945046999277,6915,9655
76,Immm | a c j,0.28913370055082627,9985,13274
77,I-4m2 | a b c d,0.5945816350994966,8342,11545
78,Fm-3m | a b d,0.13883847549909256,6612,9689
79,P4mm | a b,0.5261062450233193,8791,12009
80,R-3m | a b c,0.8161024702653248,6558,9271
81,R-3m | a b c,0.8479931682322801,7026,9949
82,C2/m | a d i,0.8388577256501785,5883,6835
83,P4mm | a b,0.6605320394846913,5977,8475
84,F-43m | a c e,0.6733977172958736,3417,13339
85,Pmmm | a c t,0.24632641615255188,8915,12606
86,Cmmm | a b f,0.23503989361702127,6016,8072
87,I4/mmm | a h i,0.0703792735042735,7488,10515
88,Cm | a,0.9846298619824341,6376,7582
89,P4/mmm | a e,0.18642654660663666,5997,8566
90,F-43m | a c e,0.5430262777938204,6926,11723
91,C2/m | a d i,0.25377229080932784,7290,9481
92,P-3m1 | a d,0.10436579695169207,7742,10371
93,F-43m | a b c d,0.9945195895522388,8576,13205
94,I-4m2 | a b c d,0.7511033837100441,7477,9807
95,I4/mmm | a b d,0.48880162885398487,6876,9593
96,P4mm | a b,0.8688315371525809,7052,9631
97,C2/m | a d i,0.6153623188405797,6900,8633
98,C2/m | a d i,0.45111896348645464,6792,8567
99,R-3m | a c,0.2571994240460763,5556,6761
100,Immm | a c j,0.38328285887341007,8255,11284
101,P4/mmm | a c e,0.6140234461402344,9042,12267
102,Pmm2 | a d,0.7173465183353935,7281,10043
103,I-43m | a c g,0.058597256058469036,7799,9961
104,F-43m | a b c d,0.9960107616662028,10779,13680
105,R-3m | a b c,0.7995954341858112,6921,9767
106,Fm-3m | a b c,0.4645669291338583,4445,11871
107,P-6m2 | a b h,0.16805632758940153,5397,7279
108,I4/mmm | a b d,0.45060366091133325,7703,10357
109,Cm | a,0.8077607689569242,5618,6764
110,C2/m | a d i,0.5798782588721718,8707,10857
111,Pmmm | a d f g,0.22321755027422305,10940,14988
112,Imm2 | a b,0.3029355803207393,7358,9992
113,P3m1 | a b c,0.7412779792422158,7997,10921
114,Pmmm | a d f g,0.2669678998399699,10623,14106
115,I-43m | a c g,0.08781431334622825,7755,10696
116,F-43m | a b c d,0.9992900248491303,11268,15801
117,Cm | a,0.9856281872971719,6471,7719
118,Fd-3m | c e f,0.2522343594836147,6042,8565
119,Pm | a b,0.974694589877836,8022,10831
120,Imm2 | a b,0.36427850655903127,8919,12223
121,P4/mmm | a c e,0.583830193179108,8386,11237
122,I4/mmm | a b d,0.5968992248062015,6450,8636
123,Imm2 | a b,0.3319004819590986,7677,10595
124,Cmcm | c,0.07997189037245256,7115,9451
125,P3m1 | a b c,0.734976418682489,6573,9180
126,Cm | a,0.9676893836546294,7366,8743
127,I-4m2 | a b c d,0.5188172043010753,8184,11266
128,Immm | a c j,0.36874319912948855,7352,10110
129,Pmmm | a d f g,0.3440154002944174,8831,12222
130,P4mm | a b,0.5778600940304887,7019,9685
131,R-3m | a b c,0.754122569529904,8126,10848
132,R3m | a,0.967706877814004,6441,8786
133,Immm | a c j,0.4413564507904131,7844,10640
134,I4/mmm | a b d,0.4893078221722003,7108,9896
135,I4mm | a,0.8263576617087512,5782,7149
136,F-43m | a b c d,0.9871563528287868,9421,12185
137,Cm | a,0.9932927586635201,8051,9492
138,Imm2 | a b,0.38795303726391017,7836,10817
139,Cm | a,0.1852044532306732,9611,13385
140,F-43m | a c e,0.701821006300164,11587,15707
141,Cmcm | c,0.10745701719312276,10004,12597
142,P2/m | a g n,0.21854656569682476,7527,10437
143,R-3m | a b c,0.8047314076591295,7651,10287
144,I4/mmm | a e,0.16646889303271742,5899,7323
145,P2/m | a g n,0.2869203629032258,7936,11358
146,Imm2 | a b,0.3663556795229393,10397,14401
147,F-43m | a c e,0.7401594114040466,8155,12957
148,Imm2 | a b,0.3731202019139762,9509,12576
149,Pm | a b,0.9148864021702272,5898,8168
