cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,Pmmm | a d f g,0.557487491950265,20187,27973
1,Immm | a c j,0.28409878322569915,36079,49782
2,F-43m | a b c d,0.9981383617583474,33304,48561
3,P4/mmm | a c e,0.5012094823415578,20670,28581
4,R-3m | a b c,0.7163029525032092,23370,31719
5,Pm | a b,0.6749317831296714,16858,23206
6,I4/mmm | a h i,0.0922488236206629,19339,25892
7,Cm | a,0.9681210204692107,23401,27738
8,P4mm | a b,0.6173938854259424,16845,23050
9,Imm2 | a b,0.268662661400073,30127,40254
10,F-43m | a c e,0.5863774376310765,31947,49986
11,I-4m2 | a b c d,0.7106268945218117,22763,31003
12,Pm | a b,0.8479722844915427,19628,27919
13,I-4m2 | a b c d,0.5924422497489119,23896,32261
14,R-3m | a b c,0.7177343556764778,20215,27865
15,C2/m | a d i,0.29737230851873403,22339,28678
16,I4mm | a,0.741037037037037,16875,21227
17,F-43m | a b c d,0.934119560797072,27049,37078
18,P-3m1 | a d,0.05245901639344262,20740,28593
19,Pmmm | a d f g,0.45204131824889326,24396,34012
20,Cmcm | c,0.08212822664231775,20261,25853
21,Immm | a c j,0.2602800688304753,33706,46072
22,F-43m | a b c d,0.987617598229109,28912,39731
23,P4mm | a b,0.286304661220567,20810,28300
24,R-3m | a b c,0.7651435705368289,20025,28530
25,Pm | a b,0.26498836471334886,23635,32094
26,P4mm | a b,0.5021290299495473,27947,38293
27,Cm | a,0.8646672806815565,17372,20801
28,P4mm | a b,0.6122923427132271,20647,28624
29,Immm | a c j,0.2445664174631715,31701,43032
30,C2/m | a d i,0.4721581133817297,23831,30423
31,Imm2 | a b,0.2623216601815824,27756,38436
32,P3m1 | a b c,0.5988754325259515,23120,32292
33,Cm | a,0.9261034278150532,21909,26029
34,F-43m | a c e,0.6970265673567533,17051,46941
35,C2/m | a d i,0.6679647568514823,20543,25493
36,I-43m | a c g,0.10833041652082605,22856,31315
37,I4/mmm | a e,0.12608200455580865,17560,22366
38,R-3m | a b c,0.5371360017450104,18338,23859
39,P-3m1 | a d,0.12403382269025263,19277,26833
40,F-43m | a c e,0.8937716523572827,26556,45904
41,I4/mmm | a b d,0.491091098828895,25873,35321
42,F-43m | a b c d,0.9968842374370855,25034,37079
43,P4/mmm | a c e,0.6884688389750079,25288,34711
44,Cmmm | a b f,0.42768677586895726,30036,40536
45,Pmm2 | a d,0.2658862134716864,22551,31784
46,I4/mmm | a b d,0.5698621553884712,25536,34978
47,Cm | a,0.15559338521400778,20560,27590
48,Fm-3m | a b c,0.36929500873956106,20596,32507
49,P2/m | a g n,0.49599172485130594,23202,32584
