cluster_id,dominant_space_group_symbol,fraction,n_labeled,cluster_size
0,Pmmm,0.7367724867724867,27972,27973
1,Imm2,0.31800466088074575,49776,49782
2,F-43m,0.9994850987580582,48553,48561
3,P4/mmm,0.8659061483010813,28577,28581
4,R-3m,0.8052410835356816,31711,31719
5,Pm,0.6717948717948717,23205,23206
6,Fm-3m,0.18611572803525184,25871,25892
7,Cm,0.9686316928069226,27735,27738
8,P4mm,0.616983424455437,23046,23050
9,Imm2,0.32186249906825354,40247,40254
10,F-43m,0.7201224514296004,49979,49986
11,I-4m2,0.7114652558229563,30998,31003
12,Pm,0.8508740507235993,27916,27919
13,I-4m2,0.5940842712305832,32253,32261
14,R-3m,0.7358388972646995,27858,27865
15,C2/m,0.5055140643540169,28654,28678
16,I4mm,0.7164664310954063,21225,21227
17,F-43m,0.9907207596029348,37072,37078
18,P6_3/mmc,0.17759199664194766,28588,28593
19,Pmmm,0.634516423089364,34007,34012
20,Cmcm,0.17045410553211257,25831,25853
21,Immm,0.2577823123344766,46066,46072
22,F-43m,0.9957952514036811,39717,39731
23,P4mm,0.2870573266416908,28294,28300
24,R-3m,0.7811349854533983,28529,28530
25,P2/m,0.42088370933566,32092,32094
26,P4mm,0.4999347105063853,38291,38293
27,Cm,0.8658395845354876,20796,20801
28,P4mm,0.6075396548109846,28622,28624
29,Immm,0.2450848245410179,43030,43032
30,C2/m,0.668803840336687,30414,30423
31,Imm2,0.309671879472301,38431,38436
32,P3m1,0.5995168184352351,32286,32292
33,Cm,0.9211911623439001,26025,26029
34,Fm-3m,0.5979418783023692,46936,46941
35,C2/m,0.8180320150659134,25488,25493
36,I-43m,0.15730876283712447,31257,31315
37,I4/mmm,0.3304402290622763,22352,22366
38,R-3m,0.581219870048208,23855,23859
39,P4/mmm,0.23369504418838796,26817,26833
40,F-43m,0.7406689181828086,45895,45904
41,I4/mmm,0.5382981735806315,35315,35321
42,F-43m,0.9990290214694142,37076,37079
43,P4/mmm,0.8561507650635392,34703,34711
44,Cmmm,0.5430566521910778,40528,40536
45,P2/m,0.4190949713638366,31778,31784
46,I4/mmm,0.6203603088361452,34970,34978
47,Cm,0.16631910145245674,27333,27590
48,F-43m,0.5518227964928473,32505,32507
49,P2/m,0.7202136148793813,32582,32584
