cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
0,F-43m | 4a 4b 4c 4d,0.9701408450704225,8875,12226
1,Immm | 2a 2c 4j,0.3996769785066468,8049,10596
2,P2/m | 1a 1g 2n,0.43861913211808357,6199,8811
3,I4_1/amd | 4a 8e,0.07976878612716763,7785,10405
4,Fm-3m | 4a 4b 8c,0.905541313350424,5071,10007
5,I4mm | 2a 2a 2a,0.7026464466250372,6726,8519
6,P4mm | 1a 1a 1b 1b,0.43373884833738846,6165,8397
7,F-43m | 4a 4b 4c 4d,0.7999730603448276,7424,10445
8,Cm | 2a 2a 2a 2a,0.9931407942238267,8310,9803
9,Cmmm | 2a 2b 4f,0.5079318159424574,10149,13109
10,P6_3/mmc | 4e 4f 4f 6g 6h,0.06461753405518687,11452,14777
11,Immm | 2a 2c 4j,0.771674099858588,9193,12588
12,P6/mmm | 1a 2d,0.10254957507082153,5295,7554
13,Cm | 2a 2a 2a 2a,0.918168080902011,8603,10393
14,R-3m | 3a 3b 6c,0.9396665467194435,8337,11937
15,P4mm | 1a 1a 1b 1b,0.7538084874863983,7352,10265
16,I4/mmm | 2a 2b 4d,0.9096565455450473,8036,10989
17,Cmm2 | 2a 2a 2b 2b,0.3323880420654614,8463,11630
18,Pmm2 | 1a 1a 1d 1d,0.4728268126585659,7489,10556
19,Imm2 | 2a 2a 2b 2b,0.42868361637380975,10187,14198
20,P4/mmm | 1a 1c 2e,0.39599949360678566,7899,11075
21,R-3m | 3a 3b 6c,0.8470999774317309,8862,11758
22,C2/m | 2a 2d 4i,0.5222822417285617,8886,11489
23,F-43m | 4a 4c 16e,0.8555210325047801,8368,11561
24,F-43m | 4a 4b 4c 4d,0.9901466366669253,12889,17944
25,Pm | 1a 1a 1b 1b,0.5590228929530631,7819,11048
26,Pmmm | 1a 1d 1f 1g,0.7752921060131092,7018,9921
27,I4/mmm | 2a 8h 8i,0.13999744995537422,7843,10766
28,Immm | 2a 2c 4j,0.46061505260318314,7414,10161
29,Cm | 2a 2a 2a 2a,0.9692938836399801,8044,9493
30,Cm | 2a 2a 2a 2a,0.9722007722007722,7770,9205
31,P4/mmm | 1a 1c 2e,0.6554779806659506,7448,10341
32,F-43m | 4a 4c 16e,0.9580588493631972,9108,12706
33,Pm | 1a 1a 1b 1b,0.8744166313109886,7071,9659
34,I-43m | 2a 8c 24g 24g,0.24222892192535606,9619,13852
35,Cmmm | 2a 2b 4f,0.49812646370023417,8540,11275
36,I4/mmm | 2a 2b 4d,0.9178743961352657,8280,11483
37,P4mm | 1a 1a 1b 1b,0.47089144936325045,6596,8839
38,F-43m | 4a 4c 16e,0.8716782132147658,9671,13285
39,I-4m2 | 2a 2b 2c 2d,0.64656346749226,8075,10677
40,Fm-3m | 4a 4b 8c,0.8817663817663818,2106,10840
41,C2/m | 2a 2d 4i,0.49578237030788697,9484,12031
42,P4/mmm | 1a 1b 2h,0.5515042511445389,6116,8407
43,Imm2 | 2a 2a 2b 2b,0.2618223760092272,8670,11768
44,C2/m | 2a 2d 4i,0.38709368108159936,10429,13641
45,P4/mmm | 1a 1b 2h,0.7016080097087378,6592,9130
46,P4/mmm | 1a 1c 2e,0.8135617015302541,7123,9622
47,Pm | 1a 1a 1b 1b,0.7996065205171444,7116,9931
48,Imm2 | 2a 2a 2b 2b,0.3747843397478434,7535,10385
49,P4mm | 1a 1a 1b 1b,0.7801980198019802,7070,9452
50,F-43m | 4a 4b 4c 4d,0.9988784522641245,7133,11337
51,F-43m | 4a 4b 4c 4d,0.7842981760507534,7566,10862
52,Pmmm | 1a 1d 1f 1g,0.2690460739779364,7705,10400
53,R-3m | 3a 3b 6c,0.8732317736670294,7352,9637
54,I4/mmm | 2a 8h 8i,0.07903068679980517,8212,11589
55,Cmm2 | 2a 2a 2b 2b,0.29897750511247445,9780,13524
56,Cm | 2a 2a 2a 2a,0.9404839764551994,7645,9148
57,Cmm2 | 2a 2a 2b 2b,0.3882783882783883,9555,12849
58,F-43m | 4a 4b 4c 4d,0.9846990819449167,8823,12002
59,Immm | 2a 2c 4j,0.29922853168078917,7907,10386
60,P3m1 | 1a 1b 1c,0.8016544117647059,5440,7633
61,F-43m | 4a 4b 4c 4d,0.9776958699555808,10581,14475
62,P-6m2 | 1a 1c 1f,0.23846248010772433,8169,11360
63,Pmmm | 1a 1d 1f 1g,0.590836780146357,6286,8867
64,C2/m | 2a 2d 4i,0.42024570024570024,10175,13067
65,C2/m | 2a 2d 4i,0.4827715825084576,7981,10118
66,I-4m2 | 2a 2b 2c 2d,0.5450128891532818,10086,13788
67,Immm | 2a 2c 4j,0.3649786118393818,7247,9317
68,Imm2 | 2a 2a 2b 2b,0.3643246854470549,8981,12113
69,P6/mmm | 1a 2c 3g,0.11018247666805962,7179,9050
70,F-43m | 4a 4c 16e,0.9042475283778836,10924,15402
71,Imm2 | 2a 2a 2b 2b,0.42893580841717444,7057,9625
72,I4/mmm | 2a 2b 4d,0.46903725205611996,8268,11534
73,Imm2 | 2a 2a 2b 2b,0.35380923815236953,8335,11225
74,R3m | 3a 3a 3a 3a,0.957168458781362,5580,7910
75,P4mm | 1a 1a 1b 1b,0.6953615279672578,7330,9879
76,P2/m | 1a 1g 2n,0.204875,8000,10966
77,P4mm | 1a 1a 1b 1b,0.606673282064004,8062,11255
78,Imm2 | 2a 2a 2b 2b,0.3817440737959884,9323,13010
79,F-43m | 4a 4b 4c 4d,0.9698316498316498,7425,10639
80,Pm | 1a 1a 1b 1b,0.8814993954050786,8270,11369
81,I-4m2 | 2a 2b 2c 2d,0.9131313131313131,9900,13714
82,P4/mmm | 1a 1c 2e,0.5579017264276228,7530,10352
83,Imm2 | 2a 2a 2b 2b,0.371962388570033,8189,11134
84,Fm-3m | 4a 4b 8c,0.9005278116118555,2463,10175
85,Immm | 2a 2c 4j,0.6053865576529999,8317,11211
86,Immm | 2a 2c 4j,0.5779553114467607,8011,10987
87,F-43m | 4a 4b 4c 4d,0.7994572203970861,7001,9666
88,Pmm2 | 1a 1a 1d 1d,0.558717182832888,6361,8493
89,Cm | 2a 2a 2a 2a 2a 2a,0.2247745039085989,8315,11117
90,P3m1 | 1a 1b 1c,0.8493301523215269,5449,7506
91,Cmmm | 2a 2b 4f,0.31552834371371263,9473,12270
92,P4/mmm | 1a 1c 2e,0.5757340375951531,6437,9070
93,P4mm | 1a 1a 1b 1b,0.7043838862559242,6752,9564
94,Fm-3m | 4a 4b 8c,0.8955399061032864,1704,11638
95,P2/m | 1a 1c 2n,0.2679056468906362,6995,9697
96,Cmm2 | 2a 2a 2b 2b,0.37167931688804556,8432,11588
97,P2/m | 1a 1g 2n,0.6973451327433628,6215,8536
98,F-43m | 4a 4b 4c 4d,0.9913078633515262,9894,13431
99,I4/mmm | 2a 2b 4d,0.5169349645846748,7765,10498
