cluster_id,dominant_point_group,fraction,n_labeled,cluster_size
0,-6m2,0.494855836402896,7873,7874
1,-3m,0.6963203948844514,8914,8917
2,2/m,0.3979116166324818,10726,10728
3,-43m,0.9804571627988135,17193,17197
4,mm2,0.615803365225998,12124,12125
5,-42m,0.6893472631484954,11199,11199
6,2/m,0.47625989171178673,9604,9605
7,-43m,0.9979208378253503,12986,12986
8,4mm,0.5400434018807482,9677,9677
9,-3m,0.9286853711175753,10657,10658
10,-43m,0.9686506789945103,13844,13847
11,mm2,0.5034450212364323,10595,10596
12,4/mmm,0.649518910164809,10497,10498
13,-43m,0.9984436374416364,13493,13495
14,-3m,0.8129576214777013,9014,9015
15,4/mmm,0.7139719723907132,9562,9562
16,-43m,0.9988694976330107,14153,14154
17,4/mmm,0.8208078723910801,12601,12606
18,m-3m,0.9719235364396654,15066,15066
19,mm2,0.9568,11875,11876
20,m-3m,0.2762266644639022,12106,12113
21,m,0.8346246973365617,8260,8260
22,m,0.9368489583333334,10752,10752
23,-42m,0.6522119251617415,11438,11438
24,mmm,0.5244409776391056,11538,11542
25,m,0.763477801268499,7568,7569
26,mmm,0.6789862724392819,10417,10418
27,4mm,0.6768515696434014,13124,13124
28,4/mmm,0.5091079421255335,9607,9610
29,m,0.9616858237547893,9657,9659
30,-43m,0.9991086621829673,12341,12344
31,mmm,0.5111444492070296,9332,9333
32,-3m,0.658051689860835,7042,7046
33,mm2,0.8018141836173722,10914,10915
34,mmm,0.5089988242742154,11057,11074
35,4/mmm,0.5295884315906563,8990,8992
36,mm2,0.9022401706796709,13124,13125
37,m-3m,0.9659329140461216,15264,15264
38,4mm,0.35120257452574527,11808,11809
39,4mm,0.4215188505995463,9257,9258
40,mmm,0.2945196967814092,8047,8048
41,m-3m,0.4067275042444822,9424,9425
42,m,0.8569158878504672,10700,10717
43,-3m,0.7110619876577323,10857,10862
44,2/m,0.5755921384176046,11906,11907
45,4/mmm,0.47857655073503047,11156,11159
46,mmm,0.5644970414201184,10140,10140
47,2/m,0.624783450524814,9813,9814
48,m,0.9150873738616786,8126,8127
49,6/mmm,0.37179122856872215,10557,10560
50,-43m,0.9794735192729552,12764,12767
51,2/m,0.5267839876232837,10342,10344
52,4/mmm,0.7218910753653957,12247,12248
53,-3m,0.6010084754854629,9321,9323
54,-43m,0.9979196138803362,12017,12020
55,-43m,0.8455255037211835,11018,11018
56,-42m,0.609073359073359,9324,9327
57,4mm,0.397433423388653,10364,10364
58,-3m,0.563442860095061,9678,9678
59,4/mmm,0.5790853217642805,11064,11066
60,mmm,0.5588859416445623,11310,11312
61,mmm,0.43104103343465044,10528,10530
62,2/m,0.506840569135352,10964,10965
63,m,0.852505515285219,9519,9523
64,4mm,0.641156462585034,10584,10585
65,4/mmm,0.6686172344689378,12475,12477
66,mmm,0.30310437545832314,8182,8183
67,4/mmm,0.2763330062152437,12228,12232
68,4/mmm,0.4948886978121716,10467,10468
69,-43m,0.9233439398322245,13828,13830
70,-43m,0.9897287332104293,11391,11396
71,mm2,0.8090115510096112,11341,11342
72,mmm,0.5370611183355006,11535,11543
73,2/m,0.4302552013938711,9757,9757
74,-43m,0.9942661352352983,14301,14307
75,mmm,0.6739811912225705,10527,10527
76,4mm,0.5039396763534695,11803,11805
77,4/mmm,0.3990763379516436,7362,7363
78,3m,0.9171001845947306,5959,5961
79,-3m,0.865600117959304,13564,13566
80,mmm,0.921784883132652,9883,9884
81,m,0.37951648351648354,11375,11545
82,mmm,0.39840249366842,10266,10276
83,4/mmm,0.7477762885341781,8207,8208
84,mmm,0.5162717530233015,10171,10173
85,4mm,0.5241168478260869,11776,11776
86,mmm,0.7282295863826987,12161,12163
87,-43m,0.9832105533664554,11674,11677
88,-43m,0.9648537035409893,11381,11381
89,-43m,0.9886610373944511,12435,12435
90,m,0.6992794072871207,9853,9855
91,4mm,0.6486103542234333,9175,9177
92,m-3m,0.9709360219068957,16068,16068
93,4/mmm,0.5841659529926729,10509,10512
94,mmm,0.5975704989154013,11525,11528
95,m,0.7521781219748306,8264,8264
96,4/mmm,0.48572602177038404,9738,9740
97,m,0.9830044377301482,10591,10591
98,-3m,0.8895970616830506,9257,9258
99,mmm,0.5421294523171198,10444,10447
100,m,0.4245950262377367,8766,8767
101,mmm,0.39496309822719317,13143,13224
102,2/m,0.5800711743772242,10116,10118
103,-42m,0.8548965988719877,11702,11704
104,mmm,0.5493543251370954,11306,11309
105,-43m,0.9654265083833068,16342,16347
106,mm2,0.8175056042388424,9814,9815
107,4mm,0.5879030937960387,12218,12221
108,m-3m,0.4618837225611894,14259,14283
109,2/m,0.6873677431226424,10869,10869
110,-43m,0.9993352046092481,13538,13540
111,-3m,0.8442840865932396,10532,10535
112,mm2,0.5670808051622845,10383,10387
113,4mm,0.6435483870967742,9920,9922
114,mm2,0.9401969561324978,11170,11171
115,6/mmm,0.2690846001321877,12104,12125
116,m,0.9017201834862385,8720,8720
117,mm2,0.36744687102144746,10211,10212
118,-43m,0.9893475366178429,12016,12019
119,mm2,0.7239086694077509,11431,11431
120,4/mmm,0.2260568426080726,8374,8379
121,3m,0.9026994359387591,4964,4964
122,m,0.7829897337450964,11981,11988
123,m,0.7116916588566073,8536,8537
124,4/mmm,0.7212414578587699,10536,10540
125,m-3m,0.3109915449654112,6505,6513
126,m-3m,0.9431137724550899,9352,9353
127,m,0.7437671477991172,8383,8383
128,-42m,0.6066280162958321,12764,12767
129,mmm,0.3180572616460361,10583,10590
130,-42m,0.5513400242638138,9067,9067
131,-43m,0.995240298803464,15127,15131
132,mmm,0.5519538188277087,11260,11277
133,mmm,0.2877326317840787,10263,10263
134,mm2,0.7097669723227055,11887,11889
135,2/m,0.4945800735224809,10609,10616
136,6/mmm,0.22185173697270472,12896,12903
137,4mm,0.5083694515020176,13382,13385
138,-43m,0.9699595065448724,10619,10620
139,-43m,0.9811367380560132,12140,12141
140,-3m,0.8560962373371924,11056,11059
141,m-3m,0.9588353413654619,10956,10956
142,4/mmm,0.8136603478600742,10234,10236
143,mm2,0.806984667802385,11740,11741
144,4mm,0.6607483772432226,10476,10476
145,2/m,0.7294879116695222,10506,10507
146,2/m,0.4140242940526897,12678,12682
147,mmm,0.4564144736842105,14592,14596
148,mm2,0.7753126699293094,9195,9196
149,4/mmm,0.7086056644880174,7344,7345
