cluster_i,cluster_k,epsilon
0,1,1.921761241835863e-15
0,2,5.605170463423205e-16
0,3,1.7256180430221892e-15
0,4,8.195904826363058e-16
0,5,7.874842134922198e-16
0,6,4.30435199129964e-16
0,7,2.4362985406137933e-16
0,8,1.3358743669458693e-15
0,9,5.058622901686651e-16
0,10,6.234383853661691e-16
0,11,1.5467322729686352e-15
0,12,9.518736907723936e-16
0,13,7.733122138965716e-16
0,14,1.0478935990140111e-15
0,15,4.609144279886077e-16
0,16,1.1260386593173347e-15
0,17,1.2225858295554942e-15
0,18,1.2215096497656078e-15
0,19,3.1808426737864102e-15
0,20,2.277183869445463e-16
0,21,7.536087072925358e-16
0,22,5.879893778014622e-16
0,23,1.2635245787815555e-15
0,24,7.185106531257208e-16
0,25,6.684427777288342e-16
0,26,1.3899444669496899e-15
0,27,1.2271580597839095e-15
0,28,5.0919379293460665e-16
0,29,1.3377391300655079e-15
0,30,1.60121842516119e-15
0,31,3.4517655150651016e-15
0,32,9.124066637106956e-16
0,33,9.261727871695147e-16
0,34,1.247473973394585e-15
0,35,8.442780823445138e-16
0,36,6.487729571365324e-16
0,37,4.649188370791288e-16
0,38,6.393621064511731e-16
0,39,1.3107875128971015e-15
0,40,1.6325853465610414e-15
0,41,7.656127495320588e-16
0,42,2.6511937565040916e-15
0,43,1.290895672274655e-15
0,44,6.008056423060442e-16
0,45,6.539148253720147e-16
0,46,1.0587968259807426e-15
0,47,8.425161717571882e-16
0,48,9.031830739154534e-16
0,49,1.4786969050041472e-15
1,2,2.465332903686793e-30
1,3,4.1422110443166787e-16
1,4,4.800710288134382e-30
1,5,3.632493779347056e-30
1,6,3.446382251375656e-30
1,7,4.5255674328275445e-30
1,8,5.436780847125944e-16
1,9,3.282906916772248e-30
1,10,3.263711658156816e-30
1,11,1.1311962979039005e-15
1,12,1.8715813554047472e-30
1,13,5.68857762745508e-30
1,14,4.950578469068335e-30
1,15,2.4343621492961983e-30
1,16,3.813452676806694e-30
1,17,4.0159732235371904e-30
1,18,2.6607794889897443e-30
1,19,7.393382415158899e-30
1,20,3.006723976152949e-30
1,21,3.221465787587786e-30
1,22,2.8850862454832082e-30
1,23,2.997005998586986e-30
1,24,5.069883299281333e-30
1,25,3.202026493825865e-30
1,26,1.1459618765824885e-15
1,27,1.2789773250542256e-29
1,28,3.576404089127319e-30
1,29,1.3877787807814474e-16
1,30,5.653848879177103e-30
1,31,1.837550034329379e-15
1,32,4.0579350384043996e-30
1,33,6.322761204870483e-30
1,34,6.048926286089333e-16
1,35,3.480965914174059e-30
1,36,6.726758698365754e-30
1,37,2.5983987314654577e-30
1,38,3.7344934243303903e-16
1,39,5.724628031363929e-30
1,40,6.7607303970879e-16
1,41,1.200936189895969e-15
1,42,1.9067420446196672e-15
1,43,4.220569882805229e-30
1,44,1.8244664308280394e-30
1,45,1.596567756525266e-30
1,46,4.349183450765411e-30
1,47,7.966212432991009e-16
1,48,3.597626689419919e-30
1,49,1.5271971893990381e-16
2,3,7.766294077274997e-16
2,4,3.233751809080013e-30
2,5,2.7044819959026672e-30
2,6,1.699696253912639e-30
2,7,2.8165018551638216e-30
2,8,7.426716314278521e-16
2,9,1.57289331832833e-30
2,10,2.329256595479591e-30
2,11,2.638380535604042e-16
2,12,1.627734528123989e-30
2,13,3.562544597688553e-30
2,14,2.6317467151793764e-30
2,15,1.858269752251402e-30
2,16,2.047777771922976e-30
