bucket_lo,bucket_hi,n,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
0,0.05,5000,-0.629194,-1.18216,1.9474,0.247053,-0.29702,0.00190224,-0.0882586,0.261957,0.132078,0.695069,0.383824,0.233691
0.05,0.1,1568,0.465591,-0.577488,-0.0165919,0.110917,-0.325858,-0.533999,0.683301,-0.307465,-0.0172354,1.75908,0.823856,0.210082
0.1,0.15,549,2.3016,-1.28738,-0.112725,0.983805,-0.274195,-0.0195011,0.825353,0.369806,-0.0719893,1.54074,1.12516,0.317595
0.15,0.2,359,3.52627,-1.17797,-0.286618,0.966879,-0.1384,0.105856,0.844469,0.215994,-0.213566,1.401,1.05799,0.14658
0.2,0.25,255,3.3499,-0.628126,-0.256606,1.43007,-0.0409432,0.0799608,0.778987,0.492052,-0.32783,1.44197,1.1113,0.00261898
0.25,0.3,218,3.16155,-1.05523,-0.49578,1.37907,-0.00697727,0.771302,0.557007,0.514795,-0.141748,1.47052,0.992119,0.0910985
0.3,0.35,204,3.92698,-1.85383,-0.350408,0.953996,-0.28153,0.339285,0.776451,0.613289,-0.22074,1.44566,0.993061,0.158062
0.35,0.4,198,5.4268,-0.710081,-0.636208,0.979974,0.22257,0.47908,0.498415,0.816506,-0.194592,1.12479,1.04206,0.0117246
0.4,0.45,145,3.32697,-1.45487,-0.290405,1.50624,0.235111,0.731524,0.621286,0.454081,-0.311245,1.45725,0.944392,0.0447064
0.45,0.5,131,3.18376,-0.645072,-0.535361,1.36791,0.14371,0.709686,0.925681,0.641501,-0.251961,1.5016,1.01448,-0.277854
0.5,0.55,121,6.29675,-0.586038,-0.456544,1.29433,-0.0267486,0.442878,0.575534,0.475543,-0.0381917,0.940851,1.03092,0.0234662
0.55,0.6,123,6.79926,0.309765,-0.688001,0.841403,0.0415396,0.583585,0.594004,-0.079791,-0.162139,1.14886,0.960721,0.0389106
0.6,0.65,105,3.94836,-0.324107,-0.106927,2.02453,0.279289,0.0442628,0.713038,0.132609,0.111257,1.32332,0.991963,-0.493921
0.65,0.7,115,7.09922,0.992386,-0.697888,1.82778,0.049687,0.351853,0.823233,0.362115,-0.0313489,1.1717,0.855825,-0.270174
0.7,0.75,95,7.18024,0.101415,-0.509483,1.53133,0.135524,0.4338,0.382121,0.123222,0.0214323,1.13014,0.827089,-0.292487
