bucket_lo,bucket_hi,n,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
-5.25,-5,32,23.0431,0.165656,-1.83097,0.281768,0.320408,-1.85732,0.63746,0.903769,0.18482,-0.333329,0.182449,1.24734
-5,-4.75,52,22.7803,-1.90088,-1.57206,0.235762,0.72812,-1.87834,0.347522,0.535446,0.549709,-0.12762,-0.145555,0.890951
-4.75,-4.5,76,22.4613,-2.91387,-1.52857,0.370418,0.440168,-1.75129,-0.303951,0.131915,0.301414,0.264902,-0.412285,1.01636
-4.5,-4.25,125,21.6053,-4.21285,-1.01154,0.681722,0.545092,-1.51301,-0.25129,0.127254,0.0327475,0.166378,-0.796791,1.64933
-4.25,-4,167,22.1941,-3.80931,-1.29797,0.537133,0.616847,-1.43437,-0.0375686,0.0646697,0.32986,-0.00994043,-0.504516,1.29631
-4,-3.75,221,21.7589,-5.19715,-0.918921,0.429705,0.416995,-1.71478,-0.250196,-0.164962,0.320025,-0.12468,-0.526041,1.8133
-3.75,-3.5,351,19.5667,-5.25297,-0.764021,0.435252,0.280086,-1.4954,-0.0459286,-0.103832,0.175703,-0.497455,-0.4893,1.88657
-3.5,-3.25,509,20.1526,-5.8474,-0.71908,0.143656,0.218222,-1.33744,-0.0354602,-0.0307289,0.367779,-0.871773,-0.256166,2.01795
-3.25,-3,592,19.3016,-5.90371,-0.671878,0.176488,-0.0182363,-1.12634,-0.0745756,0.0112077,0.229475,-1.01334,-0.353814,2.06239
-3,-2.75,769,20.9793,-5.72229,-0.715858,0.466462,-0.0314882,-1.06954,-0.0768673,0.154795,0.419457,-0.869507,-0.551017,1.68354
-2.75,-2.5,761,23.0469,-6.01917,-0.917294,0.604617,-0.0303841,-1.44034,-0.296562,0.188101,0.391598,-0.74751,-0.802096,1.53868
-2.5,-2.25,893,24.0905,-6.39528,-0.87779,0.781156,-0.129187,-1.66072,-0.290625,0.245799,0.423322,-0.544457,-0.843753,1.58333
-2.25,-2,918,26.3363,-5.89749,-1.31441,0.529737,0.132679,-1.76325,-0.129322,0.260089,0.563864,-0.56744,-0.584202,1.25043
-2,-1.75,1060,28.7331,-6.04513,-1.56085,0.133791,0.396239,-1.81626,-0.0358166,0.160851,0.63388,-0.694687,-0.309384,0.980475
-1.75,-1.5,1126,30.8059,-5.65639,-1.41851,-0.256574,0.58173,-1.6336,0.0364717,0.251985,0.646794,-0.736882,-0.0696342,0.546294
-1.5,-1.25,1463,31.9615,-6.27654,-1.47524,-0.434063,0.629222,-1.65962,0.0795347,0.153326,0.721342,-0.679546,-0.0751906,0.47089
-1.25,-1,1723,33.1722,-6.49217,-1.18802,-0.485973,0.635715,-1.62504,0.0156231,0.23667,0.713913,-0.77433,0.0222516,0.345052
-1,-0.75,2013,32.7722,-6.53265,-1.31994,-0.480873,0.58372,-1.66652,0.00919587,0.189028,0.752754,-0.75597,0.00994766,0.410211
-0.75,-0.5,2222,33.0981,-6.48872,-1.28787,-0.554394,0.565633,-1.60337,0.00608605,0.194353,0.688295,-0.825852,0.0408757,0.32953
-0.5,-0.25,2419,33.3056,-6.75704,-1.27614,-0.621743,0.604018,-1.69549,-0.0417159,0.111278,0.69224,-0.826931,0.10631,0.339769
-0.25,0,2558,33.6675,-7.11794,-1.18744,-0.715691,0.526223,-1.71826,-0.0483344,0.104406,0.631334,-0.855401,0.09016,0.307107
