bucket_lo,bucket_hi,n,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
0,0.02,5000,28.6626,-8.77657,-1.27497,-0.66923,0.47686,-2.37385,-0.412477,-0.923492,0.482878,-1.22644,-0.341063,0.229683
0.02,0.04,5000,30.0176,-9.5664,-1.02311,-0.892703,0.652268,-2.51389,-0.412265,-1.07601,0.392761,-1.34218,-0.360468,0.317396
0.04,0.06,5000,31.9461,-10.2038,-0.739744,-1.11708,0.729572,-2.63017,-0.37881,-1.11818,0.347847,-1.32791,-0.316373,0.30072
0.06,0.08,5000,31.8293,-9.73794,-0.660575,-1.04574,0.696498,-2.48139,-0.351479,-0.990556,0.243903,-1.40008,-0.436822,0.27972
0.08,0.1,5000,31.9707,-9.90335,-0.629362,-1.0714,0.69821,-2.5091,-0.390715,-1.05138,0.175391,-1.41667,-0.420592,0.312524
0.1,0.12,5000,31.3638,-10.1536,-0.619752,-0.955201,0.680712,-2.70693,-0.430519,-1.0622,0.187608,-1.31441,-0.380868,0.372858
0.12,0.14,4783,30.161,-9.93797,-0.770294,-0.754806,0.714593,-2.6467,-0.530746,-1.04818,0.19048,-1.31592,-0.503977,0.38272
0.14,0.16,3809,29.0948,-9.30405,-0.95577,-0.582147,0.679093,-2.40814,-0.497404,-0.933029,0.251519,-1.28357,-0.479766,0.347781
0.16,0.18,3284,28.453,-9.07848,-1.02726,-0.421116,0.727857,-2.39748,-0.516502,-0.946627,0.226504,-1.2319,-0.461666,0.337245
0.18,0.2,3065,28.7504,-9.43172,-0.970839,-0.44442,0.768217,-2.35679,-0.419628,-0.915835,0.20928,-1.32785,-0.404895,0.412996
0.2,0.22,2616,28.9943,-8.99282,-0.756728,-0.400839,0.76118,-2.2712,-0.382005,-0.924645,0.147367,-1.32387,-0.503181,0.228325
0.22,0.24,2377,28.5534,-8.50777,-0.689285,-0.401296,0.807983,-2.24393,-0.314437,-0.871081,0.112456,-1.28596,-0.456565,0.183276
0.24,0.26,2024,28.0358,-8.39642,-0.739025,-0.364167,0.907715,-2.40197,-0.296232,-0.92506,0.219618,-1.15304,-0.337076,0.22634
0.26,0.28,1695,27.8189,-8.1224,-0.778019,-0.295464,0.825275,-2.31076,-0.181905,-0.956384,0.292538,-1.06288,-0.194719,0.287049
0.28,0.3,1517,26.6258,-7.71297,-0.871967,-0.102858,0.823899,-2.35147,-0.160936,-0.974237,0.253986,-1.03512,-0.318584,0.220976
0.3,0.32,1279,26.4698,-7.27962,-0.911686,-0.17062,0.876271,-2.21726,-0.0986219,-0.90622,0.266626,-1.03759,-0.372875,0.199072
0.32,0.34,1054,25.6368,-7.29773,-1.10385,-0.0838721,1.05336,-2.43706,-0.106495,-1.07601,0.385502,-0.926336,-0.225057,0.472886
0.34,0.36,992,25.306,-6.9422,-1.17462,0.0351565,1.0701,-2.36006,-0.0609476,-1.08397,0.396995,-1.00763,-0.294155,0.483195
0.36,0.38,918,25.7271,-6.75121,-1.3495,0.0151558,1.0804,-2.35959,-0.090867,-0.878727,0.51918,-1.05248,-0.201933,0.420051
0.38,0.4,721,26.5396,-7.33603,-0.974462,-0.0194043,1.07508,-2.37426,0.0138826,-0.951118,0.535348,-0.991963,-0.316347,0.537415
0.4,0.42,717,26.3552,-7.39337,-1.17311,-0.0659194,1.05635,-2.54038,-0.0240258,-1.08404,0.310853,-0.96,-0.305189,0.566995
0.42,0.44,650,26.1819,-7.12176,-1.30483,0.0247269,1.04825,-2.5853,-0.048819,-1.02155,0.351988,-0.958656,-0.222922,0.707846
0.44,0.46,605,25.5515,-6.74435,-1.3872,-0.0741068,1.04769,-2.58335,0.0275447,-0.94299,0.39317,-1.01358,-0.0718023,0.528597
0.46,0.48,513,26.6815,-7.45019,-1.17092,-0.0252342,1.0543,-2.5295,0.093486,-1.06063,0.359634,-1.01671,-0.182444,0.676842
0.48,0.5,493,26.2321,-6.66341,-1.22216,-0.0491871,1.02332,-2.40049,0.176711,-0.747975,0.401166,-0.957058,0.0431872,0.559418
0.5,0.52,478,27.5079,-6.94449,-1.08578,-0.1092,1.12981,-2.50164,0.0698421,-0.896656,0.382103,-0.962459,0.0816488,0.497562
0.52,0.54,466,25.8904,-6.44551,-1.4325,0.103162,1.00721,-2.38719,0.0159471,-0.784395,0.35755,-1.04249,-0.011525,0.548647
0.54,0.56,464,26.9207,-6.12898,-1.42402,-0.0323433,0.778252,-2.46328,0.120457,-0.748745,0.293662,-1.03246,0.0926642,0.530404
0.56,0.58,375,26.946,-5.69338,-1.37602,0.0336638,0.938635,-2.17083,0.177839,-0.736417,0.407043,-1.03615,0.0150675,0.651912
0.58,0.6,373,26.6547,-6.41813,-1.47022,0.0397,0.904633,-2.21813,0.114115,-0.52724,0.44238,-1.07774,-0.214981,0.716694
0.6,0.62,373,26.9815,-6.45206,-1.39079,-0.251234,0.845128,-2.30922,0.187941,-0.46305,0.516482,-0.97304,0.215466,0.525105
0.62,0.64,300,25.6481,-6.20878,-1.54816,0.096967,0.964889,-2.58744,0.0208348,-0.662789,0.458275,-1.03824,-0.134833,0.744301
0.64,0.66,315,27.0249,-7.07545,-1.39769,-0.275206,1.18647,-2.61176,0.0846629,-0.788734,0.53221,-1.04159,-0.13073,0.662681
0.66,0.68,275,24.8346,-6.31064,-1.54761,-0.0994309,1.18861,-2.48041,0.165475,-0.537872,0.275458,-0.875758,-0.080222,0.696497
0.68,0.7,261,26.8369,-7.66357,-1.3597,-0.224673,0.814562,-2.54874,0.0890148,-0.582698,0.478716,-1.00586,-0.086723,0.523985
0.7,0.72,270,26.4322,-7.1669,-1.06156,-0.111533,1.21584,-2.64073,0.158234,-0.680259,0.380923,-0.89314,0.115849,0.630311
