bucket_lo,bucket_hi,n,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
0,0.05,5000,25.8462,-8.15303,-1.4737,-0.410491,0.497904,-2.27544,-0.309179,-0.920584,0.624078,-1.17791,-0.290665,0.266107
0.05,0.1,5000,32.0183,-9.8343,-0.683724,-1.11038,0.696785,-2.46291,-0.341718,-0.986825,0.257893,-1.3829,-0.387073,0.284052
0.1,0.15,5000,30.674,-10.0463,-0.715723,-0.821494,0.676954,-2.67917,-0.504982,-1.05563,0.188121,-1.32283,-0.451974,0.39793
0.15,0.2,5000,28.4047,-9.14774,-0.993374,-0.420939,0.756341,-2.37532,-0.458723,-0.919099,0.278971,-1.25385,-0.45227,0.359197
0.2,0.25,4999,28.7787,-8.77377,-0.729793,-0.384479,0.811944,-2.285,-0.345901,-0.906241,0.139089,-1.2895,-0.46743,0.219231
0.25,0.3,4205,27.3585,-8.00508,-0.806022,-0.243124,0.841174,-2.36816,-0.19591,-0.958148,0.268348,-1.0549,-0.255802,0.26223
0.3,0.35,2842,25.9487,-7.24607,-1.0417,-0.106618,0.96552,-2.34894,-0.0899877,-1.00705,0.323477,-0.993969,-0.30517,0.354842
0.35,0.4,2122,25.9124,-6.96638,-1.16666,0.0146943,1.09117,-2.33175,-0.0549032,-0.941972,0.511038,-1.01768,-0.260172,0.469834
0.4,0.45,1708,25.8874,-7.03459,-1.28386,-0.00892373,1.04339,-2.57805,-0.0242773,-1.01317,0.350982,-0.970596,-0.209383,0.625307
0.45,0.5,1270,26.5968,-7.16728,-1.21173,-0.0771488,1.05186,-2.47448,0.113581,-0.940264,0.371914,-0.992351,-0.0959345,0.583799
0.5,0.55,1205,26.7162,-6.57064,-1.32694,0.00274513,0.985577,-2.46575,0.0659674,-0.818867,0.336314,-1.00503,0.0452092,0.502761
0.55,0.6,951,26.8757,-6.076,-1.38037,0.00524964,0.917259,-2.23067,0.132988,-0.659967,0.418415,-1.05616,-0.0550588,0.678841
0.6,0.65,823,26.3526,-6.42706,-1.47078,-0.0864458,0.96591,-2.48665,0.110248,-0.603595,0.497714,-1.00121,0.0448769,0.645869
