layer,variant,property,width,n_structures,n_buckets,e1_mean_same,e1_mean_diff,e1_ratio,e1_delta,e1_null_delta,e1_null_ratio,e1_same_pairs,e1_diff_pairs,cc_n_structures,e2_mean_same,e2_mean_diff,e2_ratio,e2_delta,e2_null_delta,e2_null_ratio,e2_same_pairs,e2_diff_pairs
0,raw,formation_energy_per_atom,0.25,52644,40,0.986654,0.985294,1.00138,0.00136021,4.04995e-05,1.00004,9.05375e+07,1.29513e+09,7499,0.994032,0.994535,0.999494,-0.000503028,-0.000470853,0.999527,6353,1397
0,centered,formation_energy_per_atom,0.25,52644,40,0.110286,0.0254932,4.3261,0.084793,-2.59566e-05,0.999164,9.05375e+07,1.29513e+09,7499,0.45972,0.493516,0.931521,-0.0337955,-0.0384321,0.922721,6353,1397
1,raw,formation_energy_per_atom,0.25,52644,40,0.988124,0.986543,1.0016,0.00158084,-5.38147e-05,0.999945,9.05375e+07,1.29513e+09,7499,0.995094,0.995207,0.999887,-0.000112431,0.000135321,1.00014,6353,1397
1,centered,formation_energy_per_atom,0.25,52644,40,0.100052,0.0112594,8.88607,0.0887925,-0.00032765,0.980819,9.05375e+07,1.29513e+09,7499,0.489401,0.514482,0.95125,-0.0250811,-0.0414082,0.921556,6353,1397
2,raw,formation_energy_per_atom,0.25,52644,40,0.986926,0.985174,1.00178,0.00175255,3.92721e-05,1.00004,9.05375e+07,1.29513e+09,7499,0.994775,0.9947,1.00008,7.53714e-05,-0.000268853,0.99973,6353,1397
2,centered,formation_energy_per_atom,0.25,52644,40,0.0960714,0.00654794,14.672,0.0895235,-5.42154e-05,0.995628,9.05375e+07,1.29513e+09,7499,0.515366,0.528418,0.975301,-0.0130515,-0.0310556,0.942826,6353,1397
3,raw,formation_energy_per_atom,0.25,52644,40,0.986069,0.984151,1.00195,0.00191815,-3.31491e-05,0.999966,9.05375e+07,1.29513e+09,7499,0.994603,0.994449,1.00015,0.000153436,0.000182575,1.00018,6353,1397
3,centered,formation_energy_per_atom,0.25,52644,40,0.0939598,0.00475967,19.7408,0.0892001,0.000444462,1.04209,9.05375e+07,1.29513e+09,7499,0.533064,0.540795,0.985704,-0.00773106,-0.0121426,0.977696,6353,1397
4,raw,formation_energy_per_atom,0.25,52644,40,0.984493,0.982295,1.00224,0.002198,-1.2361e-05,0.999987,9.05375e+07,1.29513e+09,7499,0.994129,0.993877,1.00025,0.00025169,0.000199676,1.0002,6353,1397
4,centered,formation_energy_per_atom,0.25,52644,40,0.0893972,0.0028615,31.2413,0.0865357,-9.56626e-05,0.988774,9.05375e+07,1.29513e+09,7499,0.540061,0.543352,0.993944,-0.00329078,-0.0150531,0.972779,6353,1397
5,raw,formation_energy_per_atom,0.25,52644,40,0.982441,0.979987,1.0025,0.00245396,9.26503e-06,1.00001,9.05375e+07,1.29513e+09,7499,0.993305,0.992903,1.0004,0.000401182,5.60907e-05,1.00006,6353,1397
5,centered,formation_energy_per_atom,0.25,52644,40,0.0847594,0.00155017,54.6775,0.0832092,-1.69278e-05,0.997578,9.05375e+07,1.29513e+09,7499,0.538997,0.537489,1.0028,0.00150762,-0.0147446,0.973231,6353,1397
6,raw,formation_energy_per_atom,0.25,52644,40,0.980101,0.977429,1.00273,0.00267139,9.85469e-06,1.00001,9.05375e+07,1.29513e+09,7499,0.992235,0.991584,1.00066,0.000650955,0.000695701,1.0007,6353,1397
6,centered,formation_energy_per_atom,0.25,52644,40,0.0798825,0.000476204,,0.0794063,-0.000130787,0.976946,9.05375e+07,1.29513e+09,7499,0.532077,0.526127,1.01131,0.00595088,-0.00665124,0.987602,6353,1397
7,raw,formation_energy_per_atom,0.25,52644,40,0.977292,0.974394,1.00297,0.0028981,-1.1969e-05,0.999988,9.05375e+07,1.29513e+09,7499,0.991017,0.990077,1.00095,0.000940142,0.000389446,1.00039,6353,1397
7,centered,formation_energy_per_atom,0.25,52644,40,0.0751836,-0.000333937,,0.0755175,4.07869e-05,1.00887,9.05375e+07,1.29513e+09,7499,0.530333,0.519771,1.02032,0.0105623,-0.00804178,0.984969,6353,1397
8,raw,formation_energy_per_atom,0.25,52644,40,0.975094,0.972092,1.00309,0.00300207,4.29951e-05,1.00004,9.05375e+07,1.29513e+09,7499,0.990147,0.989055,1.0011,0.00109229,0.00123244,1.00125,6353,1397
8,centered,formation_energy_per_atom,0.25,52644,40,0.0704145,-0.000772632,,0.0711872,-3.04726e-05,0.992147,9.05375e+07,1.29513e+09,7499,0.533996,0.520043,1.02683,0.0139527,0.0203185,1.03947,6353,1397
9,raw,formation_energy_per_atom,0.25,52644,40,0.973509,0.970497,1.0031,0.00301158,-3.30805e-05,0.999966,9.05375e+07,1.29513e+09,7499,0.989534,0.988373,1.00117,0.00116095,0.000806095,1.00082,6353,1397
9,centered,formation_energy_per_atom,0.25,52644,40,0.0664592,-0.00120397,-55.2002,0.0676632,-0.000125781,0.961001,9.05375e+07,1.29513e+09,7499,0.538932,0.523318,1.02984,0.0156141,0.00187939,1.00352,6353,1397
10,raw,formation_energy_per_atom,0.25,52644,40,0.972032,0.969031,1.0031,0.00300071,-2.8028e-05,0.999971,9.05375e+07,1.29513e+09,7499,0.988798,0.987596,1.00122,0.00120188,0.00100079,1.00101,6353,1397
10,centered,formation_energy_per_atom,0.25,52644,40,0.0631426,-0.00141785,-44.534,0.0645605,-7.0796e-05,0.974761,9.05375e+07,1.29513e+09,7499,0.535458,0.519585,1.03055,0.015873,0.00603844,1.01144,6353,1397
11,raw,formation_energy_per_atom,0.25,52644,40,0.971835,0.969032,1.00289,0.00280319,-1.24846e-05,0.999987,9.05375e+07,1.29513e+09,7499,0.988753,0.987631,1.00114,0.00112201,0.000986981,1.001,6353,1397
11,centered,formation_energy_per_atom,0.25,52644,40,0.0601689,-0.0014974,-40.1823,0.0616663,-4.52031e-05,0.982167,9.05375e+07,1.29513e+09,7499,0.539528,0.523393,1.03083,0.0161355,0.00809581,1.01528,6353,1397
12,raw,formation_energy_per_atom,0.25,52644,40,0.970281,0.967523,1.00285,0.00275736,3.82304e-05,1.00004,9.05375e+07,1.29513e+09,7499,0.988179,0.987043,1.00115,0.00113596,0.000844615,1.00086,6353,1397
12,centered,formation_energy_per_atom,0.25,52644,40,0.0578897,-0.00152685,-37.9144,0.0594165,8.48294e-05,1.0361,9.05375e+07,1.29513e+09,7499,0.543579,0.526924,1.03161,0.0166544,0.00173186,1.00321,6353,1397
13,raw,formation_energy_per_atom,0.25,52644,40,0.968969,0.96636,1.0027,0.00260905,-7.97884e-06,0.999992,9.05375e+07,1.29513e+09,7499,0.987641,0.986542,1.00111,0.00109941,0.000749335,1.00076,6353,1397
13,centered,formation_energy_per_atom,0.25,52644,40,0.056011,-0.00160353,-34.9299,0.0576145,-6.06235e-05,0.971997,9.05375e+07,1.29513e+09,7499,0.545166,0.5272,1.03408,0.0179661,0.00638696,1.0119,6353,1397
14,raw,formation_energy_per_atom,0.25,52644,40,0.966509,0.963896,1.00271,0.0026129,-2.19856e-05,0.999977,9.05375e+07,1.29513e+09,7499,0.986733,0.985657,1.00109,0.0010759,0.000856513,1.00087,6353,1397
14,centered,formation_energy_per_atom,0.25,52644,40,0.0574462,-0.00197151,-29.1382,0.0594177,8.63017e-05,1.0453,9.05375e+07,1.29513e+09,7499,0.550817,0.532186,1.03501,0.0186307,0.0068349,1.01261,6353,1397
15,raw,formation_energy_per_atom,0.25,52644,40,0.975912,0.97535,1.00058,0.000562622,-1.42435e-06,0.999999,9.05375e+07,1.29513e+09,7499,0.986307,0.985749,1.00057,0.000557246,0.000663568,1.00067,6353,1397
15,centered,formation_energy_per_atom,0.25,52644,40,0.102215,0.00334841,30.5265,0.0988667,-0.000290924,0.970396,9.05375e+07,1.29513e+09,7499,0.475989,0.459547,1.03578,0.0164418,-0.00931701,0.980616,6353,1397
