bucket_lo,bucket_hi,n,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
0,0.5,137684,23.5452,-9.51935,-1.48445,-0.198689,0.18106,-3.23393,-0.70151,-1.29943,0.150333,-0.72545,-0.0995089,-0.221557
0.5,1,5905,21.1978,-7.40611,-1.4837,-0.555472,0.652601,-3.53478,-0.0259882,-0.976762,0.174068,-0.656447,-0.0080664,0.299495
1,1.5,2087,17.0812,-7.01505,-1.26281,-1.22868,0.284122,-3.51122,0.132387,-0.673687,-0.0146466,-0.883289,-0.137249,0.941596
1.5,2,967,16.2302,-7.54006,-0.818846,-1.42191,-0.16482,-3.33872,-0.0357486,-0.679829,0.0199534,-1.16324,-0.261186,1.1113
2,2.5,662,14.3462,-8.32248,-0.260749,-1.55072,-0.582399,-2.30208,-0.486463,-0.443681,-0.0431358,-1.7598,-0.068887,1.47858
2.5,3,462,15.3964,-8.24869,0.0915534,-0.982894,-0.396316,-2.06836,-0.309033,-0.580491,0.222545,-1.71641,0.0448097,1.2423
3,3.5,406,18.0374,-9.22701,0.150799,-0.395777,-0.206268,-2.00299,-0.297038,-0.996478,0.433585,-1.40491,0.464514,0.872808
3.5,4,288,16.0142,-9.08975,0.126164,0.343277,-0.404445,-0.805767,-0.457729,-1.0507,0.969531,-1.44904,0.8361,1.21462
4,4.5,177,13.9564,-8.37158,0.172747,0.896865,-0.681252,-0.301663,-0.74802,-1.23937,1.3369,-1.19884,1.31472,1.36447
4.5,5,134,14.6057,-7.84075,0.207585,1.38442,-0.69489,0.111482,-1.22603,-1.16413,1.50715,-0.560033,1.69612,1.25633
