bucket_lo,bucket_hi,n,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
-4.5,-4,425,22.7995,-5.33934,-1.66473,-1.3732,1.02259,-2.43895,1.23569,-0.855815,0.132905,0.724404,-0.81302,1.40182
-4,-3.5,2421,23.9959,-6.74317,-1.81503,-1.32251,0.802547,-2.46355,1.17645,-1.21016,-0.0192181,0.593436,-0.728273,0.931323
-3.5,-3,5000,27.1975,-7.57544,-1.69904,-0.771228,1.31759,-2.31522,0.970968,-1.08626,-0.309026,0.26899,-0.552078,0.602395
-3,-2.5,5000,30.5859,-9.03261,-1.40629,-0.237464,1.72403,-2.46309,0.846207,-1.17519,-0.238628,-0.120101,-0.359165,0.260707
-2.5,-2,5000,29.0791,-7.78176,-1.07938,-0.254125,1.81065,-2.03373,0.963764,-0.851275,-0.443119,-0.0845046,-0.356662,0.456274
-2,-1.5,5000,26.554,-6.80004,-1.00843,-0.690383,1.7853,-1.89161,1.0379,-0.594343,-0.681003,-0.168224,-0.473085,0.564826
-1.5,-1,4998,23.2628,-6.05345,-1.23295,-1.22326,2.0287,-1.71864,0.818417,-0.201459,-0.672544,-0.0407124,-0.604705,0.789743
-1,-0.5,5000,18.337,-7.01213,-1.12992,-1.18128,1.83099,-1.93018,0.570478,-0.326071,-0.230202,0.129118,-0.523706,0.640492
-0.5,0,5000,15.3014,-6.84709,-1.39935,-1.09936,1.59227,-2.3573,0.7605,-0.747285,-0.57558,-0.291403,-0.21058,0.34054
0,0.5,4999,13.9852,-5.2221,-0.773583,-1.64702,1.03362,-2.51862,1.30485,-0.742869,-0.844922,-0.352426,0.0509029,0.420196
0.5,1,1851,12.8927,-5.4285,-1.18385,-1.75164,2.11193,-2.14843,0.662564,-0.260899,-1.23739,0.118482,-0.290858,1.19288
1,1.5,1059,13.5362,-6.17375,-0.520965,-2.27957,1.42199,-1.87213,0.529936,-0.251155,-1.59273,-0.141844,-0.330509,1.42207
1.5,2,590,13.0021,-6.84378,0.0132455,-1.93114,0.735991,-1.76696,0.334172,-0.33721,-1.52508,-0.27719,-0.295839,1.68245
2,2.5,439,12.3145,-6.92216,0.335842,-1.49102,0.377404,-1.68814,0.085559,-0.438423,-1.55684,-0.245214,-0.0947233,1.74257
2.5,3,262,13.1746,-6.60648,0.518632,-0.447096,0.156148,-1.3372,0.00421191,-0.521252,-1.56281,0.381305,0.0569891,1.83543
3,3.5,216,11.6845,-7.02326,0.522535,-0.0207654,-0.803889,-1.14673,-0.230308,-0.722154,-1.06018,0.938076,0.337346,2.31218
3.5,4,163,10.7813,-6.584,0.421141,0.429615,-1.13641,-1.1325,-0.0681425,-0.822886,-0.872719,1.35333,0.478788,2.55965
4,4.5,122,11.6937,-7.15262,0.298929,0.848313,-1.34546,-1.26171,-0.117516,-0.631654,-0.382817,1.61855,0.40197,2.39155
4.5,5,57,11.1421,-6.33962,0.186017,0.916722,-1.71242,-0.985875,0.00562772,-0.469072,0.153401,1.94605,0.21253,2.25443
