layer,variant,property,width,n_structures,n_buckets,e1_mean_same,e1_mean_diff,e1_ratio,e1_delta,e1_null_delta,e1_null_ratio,e1_same_pairs,e1_diff_pairs,cc_n_structures,e2_mean_same,e2_mean_diff,e2_ratio,e2_delta,e2_null_delta,e2_null_ratio,e2_same_pairs,e2_diff_pairs
0,raw,band_gap,0.1,132839,97,0.996085,0.996642,0.999441,-0.000557106,-1.15786e-07,1,2.11702e+09,6.70601e+09,63173,0.998914,0.999044,0.99987,-0.000130364,-0.000164123,0.999836,161710,446999
0,centered,band_gap,0.1,132839,97,0.0336089,0.0035802,9.38744,0.0300287,-9.94079e-05,0.990803,2.11702e+09,6.70601e+09,63173,0.603396,0.555195,1.08682,0.0482009,0.0367893,1.0659,161710,446999
2,raw,band_gap,0.1,132839,97,0.988399,0.989681,0.998705,-0.00128158,-1.21289e-05,0.999988,2.11702e+09,6.70601e+09,63173,0.997206,0.99722,0.999986,-1.38546e-05,-0.000119091,0.999881,161710,446999
2,centered,band_gap,0.1,132839,97,0.0422385,-0.00343384,-12.3007,0.0456723,-1.28008e-05,0.9983,2.11702e+09,6.70601e+09,63173,0.724004,0.691981,1.04628,0.0320227,0.0231144,1.03329,161710,446999
4,raw,band_gap,0.1,132839,97,0.982088,0.983646,0.998416,-0.00155773,-2.55914e-05,0.999974,2.11702e+09,6.70601e+09,63173,0.994817,0.994609,1.00021,0.000208052,-0.000151889,0.999847,161710,446999
4,centered,band_gap,0.1,132839,97,0.0468611,-0.00893207,-5.24639,0.0557932,-6.39077e-05,0.985704,2.11702e+09,6.70601e+09,63173,0.659562,0.597499,1.10387,0.0620633,0.0456133,1.07579,161710,446999
6,raw,band_gap,0.1,132839,97,0.965242,0.965628,0.9996,-0.000386127,-3.07573e-06,0.999997,2.11702e+09,6.70601e+09,63173,0.988754,0.988021,1.00074,0.000732572,-7.507e-05,0.999924,161710,446999
6,centered,band_gap,0.1,132839,97,0.0561292,-0.0146523,-3.83075,0.0707815,6.09946e-05,1.02633,2.11702e+09,6.70601e+09,63173,0.67323,0.63547,1.05942,0.0377597,0.0252979,1.0396,161710,446999
8,raw,band_gap,0.1,132839,97,0.915361,0.912548,1.00308,0.00281328,-0.000166312,0.999818,2.11702e+09,6.70601e+09,63173,0.95973,0.956537,1.00334,0.00319277,0.00210038,1.0022,161710,446999
8,centered,band_gap,0.1,132839,97,0.0480501,-0.0130694,-3.67653,0.0611196,-6.53805e-05,0.959427,2.11702e+09,6.70601e+09,63173,0.59149,0.546004,1.08331,0.045486,0.0353952,1.06451,161710,446999
10,raw,band_gap,0.1,132839,97,0.714148,0.707782,1.009,0.00636673,-0.000206522,0.999709,2.11702e+09,6.70601e+09,63173,0.842982,0.825058,1.02172,0.0179235,0.0111685,1.01351,161710,446999
10,centered,band_gap,0.1,132839,97,0.0339516,-0.0087765,-3.86846,0.0427281,-2.28574e-06,0.998452,2.11702e+09,6.70601e+09,63173,0.554591,0.508517,1.09061,0.0460748,0.0322592,1.06298,161710,446999
12,raw,band_gap,0.1,132839,97,0.579525,0.583826,0.992632,-0.00430174,0.000358801,1.00062,2.11702e+09,6.70601e+09,63173,0.76167,0.740745,1.02825,0.0209248,0.00829336,1.01115,161710,446999
12,centered,band_gap,0.1,132839,97,0.0248937,-0.00568839,-4.37623,0.0305821,0.000103521,1.06372,2.11702e+09,6.70601e+09,63173,0.48206,0.42888,1.124,0.0531801,0.0321039,1.07389,161710,446999
14,raw,band_gap,0.1,132839,97,0.583284,0.593969,0.982011,-0.010685,0.000124404,1.00021,2.11702e+09,6.70601e+09,63173,0.776025,0.753953,1.02928,0.0220723,0.0111105,1.01468,161710,446999
14,centered,band_gap,0.1,132839,97,0.0248858,-0.00565283,-4.40237,0.0305387,-7.08757e-05,0.958104,2.11702e+09,6.70601e+09,63173,0.4948,0.435539,1.13606,0.0592603,0.040918,1.09291,161710,446999
16,raw,band_gap,0.1,132839,97,0.629571,0.63974,0.984103,-0.0101698,-0.000603428,0.999053,2.11702e+09,6.70601e+09,63173,0.809405,0.79096,1.02332,0.0184445,0.00541779,1.00682,161710,446999
16,centered,band_gap,0.1,132839,97,0.0279809,-0.00639479,-4.37557,0.0343757,-0.00021544,0.886913,2.11702e+09,6.70601e+09,63173,0.523438,0.466712,1.12154,0.0567254,0.0331226,1.07003,161710,446999
18,raw,band_gap,0.1,132839,97,0.702398,0.705689,0.995336,-0.00329163,0.000152364,1.00022,2.11702e+09,6.70601e+09,63173,0.844658,0.829845,1.01785,0.0148129,0.00509407,1.00612,161710,446999
18,centered,band_gap,0.1,132839,97,0.0328932,-0.00759843,-4.32895,0.0404916,0.000184307,1.08891,2.11702e+09,6.70601e+09,63173,0.530685,0.470672,1.12751,0.0600133,0.0387826,1.08142,161710,446999
20,raw,band_gap,0.1,132839,97,0.733702,0.735686,0.997303,-0.00198414,0.000190038,1.00026,2.11702e+09,6.70601e+09,63173,0.863423,0.850532,1.01516,0.0128915,0.00390799,1.00458,161710,446999
20,centered,band_gap,0.1,132839,97,0.0348841,-0.00838182,-4.16187,0.0432659,0.000126069,1.06402,2.11702e+09,6.70601e+09,63173,0.549587,0.491045,1.11922,0.0585423,0.0356353,1.07168,161710,446999
22,raw,band_gap,0.1,132839,97,0.757636,0.760183,0.996648,-0.00254776,2.11176e-05,1.00003,2.11702e+09,6.70601e+09,63173,0.874058,0.863945,1.01171,0.0101136,0.00208446,1.00241,161710,446999
22,centered,band_gap,0.1,132839,97,0.0367338,-0.00911105,-4.03178,0.0458448,9.21361e-05,1.04935,2.11702e+09,6.70601e+09,63173,0.552035,0.496038,1.11289,0.0559971,0.0332862,1.0663,161710,446999
24,raw,band_gap,0.1,132839,97,0.794408,0.796682,0.997146,-0.00227374,7.6725e-05,1.0001,2.11702e+09,6.70601e+09,63173,0.892473,0.884435,1.00909,0.00803872,0.000746942,1.00084,161710,446999
24,centered,band_gap,0.1,132839,97,0.0350402,-0.00844552,-4.14897,0.0434858,-0.000207999,0.897963,2.11702e+09,6.70601e+09,63173,0.552765,0.499795,1.10598,0.05297,0.0268283,1.05294,161710,446999
26,raw,band_gap,0.1,132839,97,0.826627,0.830848,0.99492,-0.00422075,-7.21707e-05,0.999913,2.11702e+09,6.70601e+09,63173,0.910769,0.905346,1.00599,0.00542355,0.0001633,1.00018,161710,446999
26,centered,band_gap,0.1,132839,97,0.0344346,-0.00819108,-4.20391,0.0426257,9.08589e-06,1.00447,2.11702e+09,6.70601e+09,63173,0.540476,0.484141,1.11636,0.0563354,0.0305019,1.06212,161710,446999
28,raw,band_gap,0.1,132839,97,0.827228,0.829263,0.997545,-0.00203547,5.24024e-06,1.00001,2.11702e+09,6.70601e+09,63173,0.909975,0.904167,1.00642,0.0058079,-0.000656307,0.999276,161710,446999
28,centered,band_gap,0.1,132839,97,0.0339562,-0.00800051,-4.24425,0.0419567,0.000191921,1.09498,2.11702e+09,6.70601e+09,63173,0.542303,0.484997,1.11816,0.0573067,0.0290224,1.05893,161710,446999
30,raw,band_gap,0.1,132839,97,0.870844,0.869517,1.00153,0.00132728,4.70205e-05,1.00005,2.11702e+09,6.70601e+09,63173,0.931337,0.925419,1.0064,0.00591828,3.5704e-05,1.00004,161710,446999
30,centered,band_gap,0.1,132839,97,0.0323075,-0.0077218,-4.18393,0.0400293,0.000106429,1.0573,2.11702e+09,6.70601e+09,63173,0.533151,0.473295,1.12647,0.0598565,0.0352706,1.07351,161710,446999
