layer,variant,distance,mean_cos
0,raw,0,0.997537
0,raw,1,0.997545
0,raw,2,0.997533
0,raw,3,0.997537
0,raw,4,0.997539
0,raw,5,0.997544
0,raw,6,0.997534
0,raw,7,0.997528
0,raw,8,0.997542
0,raw,9,0.997532
0,raw,10,0.997525
0,raw,11,0.997535
0,raw,12,0.997535
0,raw,13,0.997533
0,raw,14,0.997535
0,raw,15,0.997531
0,raw,16,0.997526
0,raw,17,0.997524
0,raw,18,0.99752
0,raw,19,0.997515
0,raw,20,0.997509
0,raw,21,0.997502
0,raw,22,0.997499
0,raw,23,0.997494
0,raw,24,0.997488
0,raw,25,0.997481
0,raw,26,0.997475
0,raw,27,0.997468
0,raw,28,0.997457
0,raw,29,0.997448
0,raw,30,0.99744
0,raw,31,0.99743
0,raw,32,0.997418
0,raw,33,0.997411
0,raw,34,0.9974
0,raw,35,0.997389
0,raw,36,0.997379
0,raw,37,0.997365
0,raw,38,0.997348
0,raw,39,0.997335
0,raw,40,0.997323
0,raw,41,0.997317
0,raw,42,0.997303
0,raw,43,0.997288
0,raw,44,0.997279
0,raw,45,0.997267
0,raw,46,0.99725
0,raw,47,0.997231
0,raw,48,0.997215
0,raw,49,0.997196
0,raw,50,0.997182
0,raw,51,0.997159
0,raw,52,0.997142
0,raw,53,0.997118
0,raw,54,0.997093
0,raw,55,0.997061
0,raw,56,0.997021
0,raw,57,0.996996
0,raw,58,0.996967
0,raw,59,0.996928
0,raw,60,0.996913
0,raw,61,0.996883
0,raw,62,0.996862
0,raw,63,0.99689
0,raw,64,0.996907
0,raw,65,0.996872
0,raw,66,0.996852
0,raw,67,0.996842
0,raw,68,0.99681
0,raw,69,0.996769
0,raw,70,0.996685
0,raw,71,0.996965
0,raw,72,0.996553
0,raw,73,0.99619
0,centered,0,0.194935
0,centered,1,0.192333
0,centered,2,0.189827
0,centered,3,0.190551
0,centered,4,0.189701
0,centered,5,0.189319
0,centered,6,0.187102
0,centered,7,0.184984
0,centered,8,0.184778
0,centered,9,0.18307
0,centered,10,0.181295
0,centered,11,0.181195
0,centered,12,0.179893
0,centered,13,0.178769
0,centered,14,0.178746
0,centered,15,0.176995
0,centered,16,0.176124
0,centered,17,0.175649
0,centered,18,0.174099
0,centered,19,0.173255
0,centered,20,0.17206
0,centered,21,0.170604
0,centered,22,0.169056
0,centered,23,0.168026
0,centered,24,0.166074
0,centered,25,0.164351
0,centered,26,0.162567
0,centered,27,0.160208
0,centered,28,0.157949
0,centered,29,0.155764
0,centered,30,0.153336
0,centered,31,0.151059
0,centered,32,0.14811
0,centered,33,0.146102
0,centered,34,0.144034
0,centered,35,0.141226
0,centered,36,0.138466
0,centered,37,0.136072
0,centered,38,0.133363
0,centered,39,0.131089
0,centered,40,0.129002
0,centered,41,0.127301
0,centered,42,0.124435
0,centered,43,0.121928
0,centered,44,0.120255
0,centered,45,0.117463
0,centered,46,0.115196
0,centered,47,0.111916
0,centered,48,0.108136
0,centered,49,0.104356
0,centered,50,0.101337
0,centered,51,0.0969595
0,centered,52,0.0942379
0,centered,53,0.0883024
0,centered,54,0.084314
0,centered,55,0.0789469
0,centered,56,0.0731159
0,centered,57,0.0678772
0,centered,58,0.0624865
0,centered,59,0.0553957
0,centered,60,0.0540399
0,centered,61,0.0492415
0,centered,62,0.0451567
0,centered,63,0.049583
0,centered,64,0.0444773
0,centered,65,0.0402306
0,centered,66,0.0422382
0,centered,67,0.0371904
0,centered,68,0.0391136
0,centered,69,0.0442201
0,centered,70,0.042298
0,centered,71,0.0773118
0,centered,72,0.0127485
0,centered,73,-0.0707461
2,raw,0,0.992326
2,raw,1,0.992349
2,raw,2,0.992326
2,raw,3,0.992328
2,raw,4,0.992325
2,raw,5,0.992337
2,raw,6,0.992312
2,raw,7,0.99229
2,raw,8,0.992325
2,raw,9,0.992301
2,raw,10,0.992274
2,raw,11,0.992298
2,raw,12,0.992308
2,raw,13,0.992299
2,raw,14,0.992302
2,raw,15,0.99229
2,raw,16,0.992276
2,raw,17,0.992271
2,raw,18,0.992256
2,raw,19,0.992242
2,raw,20,0.992223
2,raw,21,0.992192
2,raw,22,0.992184
2,raw,23,0.992168
2,raw,24,0.992148
2,raw,25,0.99212
2,raw,26,0.99211
2,raw,27,0.992089
2,raw,28,0.992049
2,raw,29,0.992023
2,raw,30,0.991992
2,raw,31,0.991967
2,raw,32,0.991929
2,raw,33,0.991893
2,raw,34,0.991856
2,raw,35,0.991823
2,raw,36,0.991791
2,raw,37,0.99174
2,raw,38,0.991686
2,raw,39,0.991643
2,raw,40,0.991603
2,raw,41,0.991578
2,raw,42,0.991523
2,raw,43,0.991489
2,raw,44,0.991455
2,raw,45,0.991418
2,raw,46,0.991369
2,raw,47,0.991301
2,raw,48,0.991271
2,raw,49,0.991213
2,raw,50,0.991178
2,raw,51,0.991105
2,raw,52,0.991062
2,raw,53,0.990987
2,raw,54,0.990908
2,raw,55,0.990816
2,raw,56,0.990698
2,raw,57,0.99065
2,raw,58,0.990596
2,raw,59,0.990507
2,raw,60,0.9905
2,raw,61,0.990418
2,raw,62,0.990398
2,raw,63,0.990467
2,raw,64,0.99049
