layer,variant,property,width,n_structures,n_buckets,e1_mean_same,e1_mean_diff,e1_ratio,e1_delta,e1_null_delta,e1_null_ratio,e1_same_pairs,e1_diff_pairs,cc_n_structures,e2_mean_same,e2_mean_diff,e2_ratio,e2_delta,e2_null_delta,e2_null_ratio,e2_same_pairs,e2_diff_pairs
0,raw,density_atomic,1,132839,623,0.997071,0.996477,1.0006,0.000594231,3.16585e-06,1,4.75469e+08,8.34756e+09,63173,0.999237,0.998795,1.00044,0.000442497,0.000301191,1.0003,295553,313156
0,centered,density_atomic,1,132839,623,0.0881447,0.00637904,13.8178,0.0817656,-1.74752e-05,0.99838,4.75469e+08,8.34756e+09,63173,0.616451,0.522272,1.18032,0.0941787,0.0384211,1.06994,295553,313156
2,raw,density_atomic,1,132839,623,0.991078,0.989276,1.00182,0.00180159,2.5442e-05,1.00003,4.75469e+08,8.34756e+09,63173,0.997968,0.996506,1.00147,0.00146178,0.00106328,1.00107,295553,313156
2,centered,density_atomic,1,132839,623,0.0867411,0.0030128,28.7908,0.0837282,0.000275729,1.03671,4.75469e+08,8.34756e+09,63173,0.746,0.657535,1.13454,0.0884651,0.0546099,1.08103,295553,313156
4,raw,density_atomic,1,132839,623,0.985726,0.983133,1.00264,0.00259306,-2.05107e-05,0.999979,4.75469e+08,8.34756e+09,63173,0.995756,0.993635,1.00213,0.00212111,0.00150441,1.00151,295553,313156
4,centered,density_atomic,1,132839,623,0.0832515,-3.3092e-05,,0.0832846,-0.000112496,0.974783,4.75469e+08,8.34756e+09,63173,0.65518,0.575109,1.13923,0.0800713,0.042753,1.07207,295553,313156
6,raw,density_atomic,1,132839,623,0.969539,0.965307,1.00438,0.00423124,5.70757e-06,1.00001,4.75469e+08,8.34756e+09,63173,0.990385,0.986169,1.00428,0.0042159,0.00285059,1.00289,295553,313156
6,centered,density_atomic,1,132839,623,0.0720398,-0.00163934,-43.9444,0.0736791,-1.13191e-05,0.995146,4.75469e+08,8.34756e+09,63173,0.691566,0.602026,1.14873,0.0895397,0.0519428,1.08374,295553,313156
8,raw,density_atomic,1,132839,623,0.921186,0.912769,1.00922,0.00841644,-4.37929e-05,0.999952,4.75469e+08,8.34756e+09,63173,0.963345,0.95176,1.01217,0.0115858,0.00637891,1.00668,295553,313156
8,centered,density_atomic,1,132839,623,0.0577715,-0.00160398,-36.0175,0.0593755,-2.19242e-06,0.998626,4.75469e+08,8.34756e+09,63173,0.608491,0.510517,1.19191,0.0979739,0.0531374,1.09983,295553,313156
10,raw,density_atomic,1,132839,623,0.728467,0.708218,1.02859,0.0202489,4.47584e-05,1.00006,4.75469e+08,8.34756e+09,63173,0.848632,0.812065,1.04503,0.036567,0.0191798,1.02338,295553,313156
10,centered,density_atomic,1,132839,623,0.0385803,-0.000637662,,0.0392179,-1.37137e-05,0.990712,4.75469e+08,8.34756e+09,63173,0.575593,0.469004,1.22727,0.106589,0.0626173,1.1277,295553,313156
12,raw,density_atomic,1,132839,623,0.603044,0.581641,1.0368,0.0214027,0.00014991,1.00026,4.75469e+08,8.34756e+09,63173,0.771478,0.722545,1.06772,0.0489333,0.0242311,1.03299,295553,313156
12,centered,density_atomic,1,132839,623,0.0285108,0.000119558,,0.0283912,-1.11388e-05,0.99325,4.75469e+08,8.34756e+09,63173,0.499322,0.389859,1.28078,0.109464,0.0598525,1.14459,295553,313156
14,raw,density_atomic,1,132839,623,0.611399,0.590267,1.0358,0.0211325,-4.10845e-05,0.999931,4.75469e+08,8.34756e+09,63173,0.784445,0.736572,1.06499,0.047873,0.0221793,1.02961,295553,313156
14,centered,density_atomic,1,132839,623,0.0286623,0.000137497,,0.0285248,2.14415e-05,1.01281,4.75469e+08,8.34756e+09,63173,0.509338,0.39649,1.28462,0.112848,0.0578839,1.13678,295553,313156
16,raw,density_atomic,1,132839,623,0.654415,0.636325,1.02843,0.0180892,8.21375e-05,1.00013,4.75469e+08,8.34756e+09,63173,0.816139,0.776721,1.05075,0.0394176,0.0178212,1.02264,295553,313156
16,centered,density_atomic,1,132839,623,0.0337618,3.59163e-05,,0.0337259,7.83026e-05,1.04234,4.75469e+08,8.34756e+09,63173,0.539395,0.427407,1.26202,0.111987,0.061244,1.13548,295553,313156
18,raw,density_atomic,1,132839,623,0.719162,0.704087,1.02141,0.0150746,2.51669e-05,1.00004,4.75469e+08,8.34756e+09,63173,0.851398,0.817153,1.04191,0.0342448,0.0164016,1.01986,295553,313156
18,centered,density_atomic,1,132839,623,0.0336378,0.000321844,,0.033316,-2.04987e-05,0.990323,4.75469e+08,8.34756e+09,63173,0.544312,0.432161,1.25951,0.112152,0.0626032,1.13722,295553,313156
20,raw,density_atomic,1,132839,623,0.748016,0.734481,1.01843,0.0135355,-0.00029006,0.999605,4.75469e+08,8.34756e+09,63173,0.869774,0.839029,1.03664,0.0307451,0.0145876,1.01723,295553,313156
20,centered,density_atomic,1,132839,623,0.0339311,0.000180709,,0.0337504,-0.000100129,0.950058,4.75469e+08,8.34756e+09,63173,0.564133,0.452296,1.24726,0.111837,0.0620331,1.13019,295553,313156
22,raw,density_atomic,1,132839,623,0.771943,0.758867,1.01723,0.0130762,-2.75892e-05,0.999964,4.75469e+08,8.34756e+09,63173,0.880949,0.853119,1.03262,0.0278304,0.0137435,1.01598,295553,313156
22,centered,density_atomic,1,132839,623,0.0344667,3.34725e-05,,0.0344332,-6.73614e-05,0.96441,4.75469e+08,8.34756e+09,63173,0.568737,0.456342,1.2463,0.112395,0.0653289,1.13633,295553,313156
24,raw,density_atomic,1,132839,623,0.807535,0.795487,1.01514,0.0120472,-0.000115848,0.999854,4.75469e+08,8.34756e+09,63173,0.898961,0.874876,1.02753,0.0240851,0.0118072,1.0134,295553,313156
24,centered,density_atomic,1,132839,623,0.0348715,0.000115572,,0.0347559,-3.43493e-05,0.982743,4.75469e+08,8.34756e+09,63173,0.572152,0.458859,1.2469,0.113292,0.0652348,1.13529,295553,313156
26,raw,density_atomic,1,132839,623,0.839916,0.829261,1.01285,0.0106549,7.07106e-05,1.00009,4.75469e+08,8.34756e+09,63173,0.917586,0.896594,1.02341,0.0209916,0.0101719,1.01128,295553,313156
26,centered,density_atomic,1,132839,623,0.0336822,0.000234122,,0.0334481,-3.13041e-05,0.984642,4.75469e+08,8.34756e+09,63173,0.556905,0.444558,1.25271,0.112346,0.0600479,1.12777,295553,313156
28,raw,density_atomic,1,132839,623,0.838323,0.828231,1.01219,0.0100922,-0.000136994,0.999835,4.75469e+08,8.34756e+09,63173,0.916746,0.895295,1.02396,0.0214512,0.0104495,1.0116,295553,313156
28,centered,density_atomic,1,132839,623,0.0342175,0.000235396,,0.0339821,-0.0001334,0.935676,4.75469e+08,8.34756e+09,63173,0.557921,0.445764,1.25161,0.112158,0.060181,1.12777,295553,313156
30,raw,density_atomic,1,132839,623,0.875768,0.869498,1.00721,0.00627053,-0.000152985,0.999824,4.75469e+08,8.34756e+09,63173,0.935803,0.918675,1.01864,0.017128,0.00867647,1.0094,295553,313156
30,centered,density_atomic,1,132839,623,0.0307819,0.000236863,,0.030545,-6.92703e-05,0.963284,4.75469e+08,8.34756e+09,63173,0.54846,0.433263,1.26588,0.115197,0.0627496,1.13679,295553,313156
