layer,variant,distance,mean_cos
0,raw,0,0.995978
0,raw,1,0.99596
0,raw,2,0.995944
0,raw,3,0.99593
0,raw,4,0.995904
0,raw,5,0.995884
0,raw,6,0.995866
0,raw,7,0.995831
0,raw,8,0.995803
0,raw,9,0.995778
0,raw,10,0.99576
0,raw,11,0.995744
0,raw,12,0.995727
0,raw,13,0.995709
0,raw,14,0.995697
0,raw,15,0.995685
0,raw,16,0.995672
0,raw,17,0.995658
0,raw,18,0.995644
0,raw,19,0.995637
0,raw,20,0.995634
0,raw,21,0.995639
0,raw,22,0.995643
0,raw,23,0.995647
0,raw,24,0.995652
0,raw,25,0.99566
0,raw,26,0.995672
0,raw,27,0.995687
0,raw,28,0.9957
0,raw,29,0.995701
0,raw,30,0.995697
0,raw,31,0.995684
0,raw,32,0.995675
0,raw,33,0.995661
0,raw,34,0.995635
0,raw,35,0.995614
0,raw,36,0.99558
0,raw,37,0.995538
0,raw,38,0.995502
0,raw,39,0.995454
0,raw,40,0.995382
0,raw,41,0.995288
0,raw,42,0.995254
0,raw,43,0.995207
0,raw,44,0.995179
0,raw,45,0.99513
0,raw,46,0.994994
0,raw,47,0.994886
0,raw,48,0.994877
0,raw,49,0.994811
0,raw,50,0.994837
0,raw,51,0.99492
0,raw,52,0.995174
0,centered,0,0.0965004
0,centered,1,0.0868255
0,centered,2,0.0756008
0,centered,3,0.0685251
0,centered,4,0.0621885
0,centered,5,0.0575271
0,centered,6,0.0523595
0,centered,7,0.0450544
0,centered,8,0.0394582
0,centered,9,0.0340326
0,centered,10,0.0302978
0,centered,11,0.027859
0,centered,12,0.0252216
0,centered,13,0.0226273
0,centered,14,0.0204834
0,centered,15,0.0196857
0,centered,16,0.0180983
0,centered,17,0.0159642
0,centered,18,0.0142604
0,centered,19,0.01317
0,centered,20,0.0132155
0,centered,21,0.0141191
0,centered,22,0.0149437
0,centered,23,0.0146956
0,centered,24,0.0140187
0,centered,25,0.0138898
0,centered,26,0.0138093
0,centered,27,0.0136747
0,centered,28,0.0129773
0,centered,29,0.0104476
0,centered,30,0.00731454
0,centered,31,0.00301679
0,centered,32,0.000426097
0,centered,33,-0.00305009
0,centered,34,-0.00886694
0,centered,35,-0.0129571
0,centered,36,-0.0188252
0,centered,37,-0.0270702
0,centered,38,-0.0322435
0,centered,39,-0.0377425
0,centered,40,-0.0499562
0,centered,41,-0.0623513
0,centered,42,-0.0635761
0,centered,43,-0.0619767
0,centered,44,-0.0599729
0,centered,45,-0.0576519
0,centered,46,-0.0642971
0,centered,47,-0.0575446
0,centered,48,-0.0310466
0,centered,49,-0.00536651
0,centered,50,0.0596417
0,centered,51,0.119065
0,centered,52,0.107542
2,raw,0,0.988416
2,raw,1,0.988327
2,raw,2,0.988195
2,raw,3,0.988115
2,raw,4,0.988033
2,raw,5,0.987966
2,raw,6,0.987903
2,raw,7,0.987783
2,raw,8,0.987682
2,raw,9,0.987617
2,raw,10,0.987562
2,raw,11,0.98752
2,raw,12,0.987464
2,raw,13,0.987407
2,raw,14,0.987367
2,raw,15,0.987338
2,raw,16,0.987291
2,raw,17,0.987237
2,raw,18,0.987193
2,raw,19,0.98717
2,raw,20,0.987154
2,raw,21,0.987171
2,raw,22,0.987188
2,raw,23,0.987184
2,raw,24,0.987187
2,raw,25,0.987191
2,raw,26,0.987215
2,raw,27,0.98724
2,raw,28,0.987263
2,raw,29,0.987244
2,raw,30,0.987209
2,raw,31,0.987138
2,raw,32,0.987106
2,raw,33,0.987073
2,raw,34,0.98698
2,raw,35,0.986921
2,raw,36,0.98683
2,raw,37,0.986677
2,raw,38,0.986577
2,raw,39,0.986438
2,raw,40,0.9862
2,raw,41,0.985916
2,raw,42,0.985724
2,raw,43,0.985589
2,raw,44,0.985523
2,raw,45,0.985338
2,raw,46,0.984876
2,raw,47,0.984542
2,raw,48,0.984595
2,raw,49,0.984633
2,raw,50,0.985076
2,raw,51,0.985602
2,raw,52,0.985717
2,centered,0,0.125333
2,centered,1,0.113115
2,centered,2,0.0975876
2,centered,3,0.0875131
2,centered,4,0.080348
2,centered,5,0.075115
2,centered,6,0.0698146
2,centered,7,0.062065
2,centered,8,0.0554606
2,centered,9,0.0506706
2,centered,10,0.0470847
2,centered,11,0.0451203
2,centered,12,0.0424246
2,centered,13,0.0394138
2,centered,14,0.036863
2,centered,15,0.0355992
2,centered,16,0.0327349
2,centered,17,0.0296863
2,centered,18,0.0271517
2,centered,19,0.0251452
2,centered,20,0.0244457
2,centered,21,0.0248531
2,centered,22,0.0252557
2,centered,23,0.0240977
2,centered,24,0.0226114
2,centered,25,0.0214729
2,centered,26,0.021056
2,centered,27,0.0209759
2,centered,28,0.019929
2,centered,29,0.0167365
2,centered,30,0.0125699
2,centered,31,0.00681811
2,centered,32,0.00380104
2,centered,33,0.000492379
2,centered,34,-0.00564754
2,centered,35,-0.0103254
2,centered,36,-0.0155041
2,centered,37,-0.0246176
2,centered,38,-0.0300085
2,centered,39,-0.0360532
2,centered,40,-0.0487311
2,centered,41,-0.0619198
2,centered,42,-0.0655868
2,centered,43,-0.0643213
2,centered,44,-0.0583585
2,centered,45,-0.0562965
2,centered,46,-0.0644842
2,centered,47,-0.0548589
2,centered,48,-0.0207391
2,centered,49,0.0194449
2,centered,50,0.102281
2,centered,51,0.170397
2,centered,52,0.15118
4,raw,0,0.982128
4,raw,1,0.982002
4,raw,2,0.981811
4,raw,3,0.981695
4,raw,4,0.981557
4,raw,5,0.981446
4,raw,6,0.981319
4,raw,7,0.981116
4,raw,8,0.980977
4,raw,9,0.98087
4,raw,10,0.980766
4,raw,11,0.980679
4,raw,12,0.980571
4,raw,13,0.980476
4,raw,14,0.9804
4,raw,15,0.98032
4,raw,16,0.98022
4,raw,17,0.980104
4,raw,18,0.980002
4,raw,19,0.979913
4,raw,20,0.979832
4,raw,21,0.979779
4,raw,22,0.979735
4,raw,23,0.979663
4,raw,24,0.979591
4,raw,25,0.97951
4,raw,26,0.97945
4,raw,27,0.979391
4,raw,28,0.979325
4,raw,29,0.979178
4,raw,30,0.97905
4,raw,31,0.978877
4,raw,32,0.978758
4,raw,33,0.978633
4,raw,34,0.978441
4,raw,35,0.978274
4,raw,36,0.978117
4,raw,37,0.977897
4,raw,38,0.97775
4,raw,39,0.977501
4,raw,40,0.977118
4,raw,41,0.976727
4,raw,42,0.976429
4,raw,43,0.976085
4,raw,44,0.975813
4,raw,45,0.975375
4,raw,46,0.974687
4,raw,47,0.974045
4,raw,48,0.973793
4,raw,49,0.973146
4,raw,50,0.97253
4,raw,51,0.972389
4,raw,52,0.971847
4,centered,0,0.160252
4,centered,1,0.148702
4,centered,2,0.133672
4,centered,3,0.123184
4,centered,4,0.115837
4,centered,5,0.109793
4,centered,6,0.103102
4,centered,7,0.0949036
4,centered,8,0.0888128
4,centered,9,0.0844455
4,centered,10,0.0804572
4,centered,11,0.0777289
4,centered,12,0.0739479
4,centered,13,0.0700428
4,centered,14,0.0666761
4,centered,15,0.0634769
4,centered,16,0.0586928
4,centered,17,0.0537193
4,centered,18,0.0490625
4,centered,19,0.0449083
4,centered,20,0.0418648
4,centered,21,0.0394928
4,centered,22,0.0374317
4,centered,23,0.0343586
4,centered,24,0.0309922
4,centered,25,0.0281416
4,centered,26,0.0252684
4,centered,27,0.022779
4,centered,28,0.019461
4,centered,29,0.0137764
4,centered,30,0.00818242
4,centered,31,0.00138466
4,centered,32,-0.00337909
4,centered,33,-0.00809493
4,centered,34,-0.0147061
4,centered,35,-0.0211942
4,centered,36,-0.0271072
4,centered,37,-0.0349319
4,centered,38,-0.0407046
4,centered,39,-0.0482108
4,centered,40,-0.0614135
4,centered,41,-0.072359
4,centered,42,-0.0762768
4,centered,43,-0.0790502
4,centered,44,-0.0783734
4,centered,45,-0.0788601
4,centered,46,-0.0822841
4,centered,47,-0.0685535
4,centered,48,-0.0380849
4,centered,49,-0.00957398
4,centered,50,0.0471905
4,centered,51,0.082798
4,centered,52,0.0613843
6,raw,0,0.965548
6,raw,1,0.965252
6,raw,2,0.964816
6,raw,3,0.964582
6,raw,4,0.964366
6,raw,5,0.964158
6,raw,6,0.96389
6,raw,7,0.963536
6,raw,8,0.963329
6,raw,9,0.963148
6,raw,10,0.962943
6,raw,11,0.962756
6,raw,12,0.962525
6,raw,13,0.96233
6,raw,14,0.962151
6,raw,15,0.961954
6,raw,16,0.961721
6,raw,17,0.961461
6,raw,18,0.961218
6,raw,19,0.961009
6,raw,20,0.960809
6,raw,21,0.96064
6,raw,22,0.960503
6,raw,23,0.960363
6,raw,24,0.960194
6,raw,25,0.960059
6,raw,26,0.959917
6,raw,27,0.959781
