layer,variant,property,width,n_structures,n_buckets,e1_mean_same,e1_mean_diff,e1_ratio,e1_delta,e1_null_delta,e1_null_ratio,e1_same_pairs,e1_diff_pairs,cc_n_structures,e2_mean_same,e2_mean_diff,e2_ratio,e2_delta,e2_null_delta,e2_null_ratio,e2_same_pairs,e2_diff_pairs
0,raw,formation_energy_per_atom,0.25,132839,45,0.99691,0.996482,1.00043,0.000427891,-7.89708e-06,0.999992,5.56317e+08,8.26672e+09,63173,0.999142,0.998551,1.00059,0.000590352,0.000414205,1.00041,472561,136148
0,centered,formation_energy_per_atom,0.25,132839,45,0.106214,0.0043634,24.342,0.10185,-0.000224321,0.979229,5.56317e+08,8.26672e+09,63173,0.588166,0.498003,1.18105,0.0901634,0.0508416,1.09619,472561,136148
2,raw,formation_energy_per_atom,0.25,132839,45,0.990749,0.989281,1.00148,0.00146846,-2.77925e-06,0.999997,5.56317e+08,8.26672e+09,63173,0.997669,0.995644,1.00203,0.00202475,0.00144747,1.00145,472561,136148
2,centered,formation_energy_per_atom,0.25,132839,45,0.112001,0.000494071,,0.111507,-3.13684e-07,0.999958,5.56317e+08,8.26672e+09,63173,0.725828,0.612537,1.18495,0.113291,0.0787036,1.12309,472561,136148
4,raw,formation_energy_per_atom,0.25,132839,45,0.985278,0.983137,1.00218,0.00214061,1.30489e-05,1.00001,5.56317e+08,8.26672e+09,63173,0.995322,0.992382,1.00296,0.00293969,0.00209615,1.00211,472561,136148
4,centered,formation_energy_per_atom,0.25,132839,45,0.113127,-0.00285813,-39.5809,0.115986,-3.77067e-05,0.991541,5.56317e+08,8.26672e+09,63173,0.636207,0.536862,1.18505,0.0993449,0.0618143,1.10921,472561,136148
6,raw,formation_energy_per_atom,0.25,132839,45,0.969288,0.965283,1.00415,0.00400528,-1.24252e-06,0.999999,5.56317e+08,8.26672e+09,63173,0.98946,0.983897,1.00565,0.00556363,0.00383469,1.00389,472561,136148
6,centered,formation_energy_per_atom,0.25,132839,45,0.100174,-0.00425324,-23.5524,0.104427,-1.95744e-05,0.991608,5.56317e+08,8.26672e+09,63173,0.668205,0.566698,1.17912,0.101507,0.068366,1.1154,472561,136148
8,raw,formation_energy_per_atom,0.25,132839,45,0.920548,0.91273,1.00857,0.00781818,-3.77699e-05,0.999959,5.56317e+08,8.26672e+09,63173,0.960504,0.946557,1.01473,0.013947,0.00755962,1.00794,472561,136148
8,centered,formation_energy_per_atom,0.25,132839,45,0.0791873,-0.00362587,-21.8395,0.0828132,2.18614e-05,1.01371,5.56317e+08,8.26672e+09,63173,0.582183,0.474455,1.22706,0.107729,0.0593981,1.11602,472561,136148
10,raw,formation_energy_per_atom,0.25,132839,45,0.727497,0.708085,1.02741,0.0194118,-0.000194268,0.999726,5.56317e+08,8.26672e+09,63173,0.839164,0.797386,1.05239,0.0417786,0.0216346,1.02661,472561,136148
10,centered,formation_energy_per_atom,0.25,132839,45,0.055418,-0.00215432,-25.7241,0.0575724,-4.11615e-05,0.972157,5.56317e+08,8.26672e+09,63173,0.54663,0.430952,1.26843,0.115679,0.0730337,1.15738,472561,136148
12,raw,formation_energy_per_atom,0.25,132839,45,0.601892,0.581509,1.03505,0.0203826,-6.6252e-05,0.999886,5.56317e+08,8.26672e+09,63173,0.759263,0.701322,1.08262,0.0579415,0.0299736,1.04146,472561,136148
12,centered,formation_energy_per_atom,0.25,132839,45,0.04234,-0.00108876,-38.8883,0.0434288,-3.32145e-05,0.97989,5.56317e+08,8.26672e+09,63173,0.468845,0.353327,1.32695,0.115519,0.072894,1.18864,472561,136148
14,raw,formation_energy_per_atom,0.25,132839,45,0.611156,0.590076,1.03572,0.0210792,-6.70038e-05,0.999887,5.56317e+08,8.26672e+09,63173,0.772046,0.717368,1.07622,0.0546775,0.0257761,1.03484,472561,136148
14,centered,formation_energy_per_atom,0.25,132839,45,0.0440454,-0.00117669,-37.4315,0.0452221,-4.36098e-05,0.974002,5.56317e+08,8.26672e+09,63173,0.477728,0.359492,1.3289,0.118236,0.0612555,1.15172,472561,136148
16,raw,formation_energy_per_atom,0.25,132839,45,0.65648,0.63601,1.03219,0.0204701,-8.06424e-07,0.999999,5.56317e+08,8.26672e+09,63173,0.806272,0.75972,1.06127,0.0465518,0.0224246,1.02881,472561,136148
16,centered,formation_energy_per_atom,0.25,132839,45,0.0502912,-0.00140628,-35.7618,0.0516975,-1.90935e-05,0.989705,5.56317e+08,8.26672e+09,63173,0.509575,0.385314,1.32249,0.124261,0.0743834,1.17542,472561,136148
18,raw,formation_energy_per_atom,0.25,132839,45,0.720907,0.703822,1.02427,0.0170851,0.000161787,1.00023,5.56317e+08,8.26672e+09,63173,0.843378,0.800467,1.05361,0.0429115,0.0209744,1.02566,472561,136148
18,centered,formation_energy_per_atom,0.25,132839,45,0.0508376,-0.00116146,-43.7704,0.0519991,6.05666e-05,1.02866,5.56317e+08,8.26672e+09,63173,0.515427,0.38661,1.3332,0.128817,0.0756328,1.17675,472561,136148
20,raw,formation_energy_per_atom,0.25,132839,45,0.749749,0.734231,1.02113,0.015518,7.50682e-05,1.0001,5.56317e+08,8.26672e+09,63173,0.862704,0.823595,1.04749,0.0391095,0.020575,1.02455,472561,136148
20,centered,formation_energy_per_atom,0.25,132839,45,0.0512767,-0.00131665,-38.9447,0.0525933,7.85723e-05,1.03939,5.56317e+08,8.26672e+09,63173,0.536356,0.403308,1.32989,0.133047,0.0854169,1.194,472561,136148
