layer,variant,distance,mean_cos
0,raw,0,0.997044
0,raw,1,0.997003
0,raw,2,0.996944
0,raw,3,0.996875
0,raw,4,0.9968
0,raw,5,0.996707
0,raw,6,0.996597
0,raw,7,0.996478
0,raw,8,0.996351
0,raw,9,0.996228
0,raw,10,0.996085
0,raw,11,0.995914
0,raw,12,0.995743
0,raw,13,0.995572
0,raw,14,0.995414
0,raw,15,0.995255
0,raw,16,0.995109
0,raw,17,0.994979
0,raw,18,0.994867
0,raw,19,0.994772
0,raw,20,0.994674
0,raw,21,0.99456
0,raw,22,0.994433
0,raw,23,0.994359
0,raw,24,0.9943
0,raw,25,0.994286
0,raw,26,0.994273
0,raw,27,0.994257
0,raw,28,0.994235
0,raw,29,0.994227
0,raw,30,0.994244
0,raw,31,0.994214
0,raw,32,0.9942
0,raw,33,0.994217
0,raw,34,0.994085
0,raw,35,0.994052
0,raw,36,0.994056
0,centered,0,0.290152
0,centered,1,0.278369
0,centered,2,0.263438
0,centered,3,0.249876
0,centered,4,0.235072
0,centered,5,0.2178
0,centered,6,0.19806
0,centered,7,0.176975
0,centered,8,0.155148
0,centered,9,0.135485
0,centered,10,0.11165
0,centered,11,0.0840596
0,centered,12,0.0564541
0,centered,13,0.0288326
0,centered,14,0.00364158
0,centered,15,-0.0205859
0,centered,16,-0.0430963
0,centered,17,-0.065845
0,centered,18,-0.0875614
0,centered,19,-0.109704
0,centered,20,-0.130716
0,centered,21,-0.155821
0,centered,22,-0.18071
0,centered,23,-0.195614
0,centered,24,-0.206315
0,centered,25,-0.209905
0,centered,26,-0.209652
0,centered,27,-0.210211
0,centered,28,-0.209561
0,centered,29,-0.201123
0,centered,30,-0.191178
0,centered,31,-0.191203
0,centered,32,-0.184685
0,centered,33,-0.172608
0,centered,34,-0.178682
0,centered,35,-0.151975
0,centered,36,-0.156272
2,raw,0,0.991644
2,raw,1,0.991509
2,raw,2,0.991325
2,raw,3,0.991096
2,raw,4,0.990854
2,raw,5,0.990567
2,raw,6,0.990241
2,raw,7,0.989895
2,raw,8,0.989524
2,raw,9,0.98916
2,raw,10,0.988742
2,raw,11,0.988269
2,raw,12,0.987788
2,raw,13,0.987307
2,raw,14,0.986855
2,raw,15,0.986416
2,raw,16,0.985992
2,raw,17,0.985599
2,raw,18,0.98526
2,raw,19,0.984964
2,raw,20,0.984689
2,raw,21,0.984347
2,raw,22,0.983959
2,raw,23,0.983707
2,raw,24,0.983522
2,raw,25,0.98346
2,raw,26,0.983387
2,raw,27,0.983327
2,raw,28,0.98325
2,raw,29,0.98321
2,raw,30,0.983292
2,raw,31,0.983361
2,raw,32,0.983413
2,raw,33,0.983656
2,raw,34,0.983493
2,raw,35,0.983648
2,raw,36,0.983919
2,centered,0,0.310939
2,centered,1,0.298535
2,centered,2,0.282746
2,centered,3,0.266695
2,centered,4,0.250029
2,centered,5,0.231377
2,centered,6,0.210955
2,centered,7,0.189549
2,centered,8,0.167736
2,centered,9,0.147756
2,centered,10,0.123871
2,centered,11,0.0973334
2,centered,12,0.0703064
2,centered,13,0.0431585
2,centered,14,0.0180066
2,centered,15,-0.00565255
2,centered,16,-0.028812
2,centered,17,-0.0524643
2,centered,18,-0.0752769
2,centered,19,-0.0992428
2,centered,20,-0.121324
2,centered,21,-0.147679
2,centered,22,-0.173496
2,centered,23,-0.190913
2,centered,24,-0.203064
2,centered,25,-0.208718
2,centered,26,-0.21176
2,centered,27,-0.214941
2,centered,28,-0.218449
2,centered,29,-0.212683
2,centered,30,-0.204174
2,centered,31,-0.196808
2,centered,32,-0.187708
2,centered,33,-0.167036
2,centered,34,-0.162257
2,centered,35,-0.119553
2,centered,36,-0.10609
4,raw,0,0.986737
4,raw,1,0.98651
4,raw,2,0.986177
4,raw,3,0.985783
4,raw,4,0.98538
4,raw,5,0.984938
4,raw,6,0.984464
4,raw,7,0.984011
4,raw,8,0.983539
4,raw,9,0.983103
4,raw,10,0.982614
4,raw,11,0.982069
4,raw,12,0.981526
4,raw,13,0.981013
4,raw,14,0.980525
4,raw,15,0.980077
4,raw,16,0.979658
4,raw,17,0.979291
4,raw,18,0.978998
4,raw,19,0.978821
4,raw,20,0.978607
4,raw,21,0.97829
4,raw,22,0.977896
4,raw,23,0.977658
4,raw,24,0.977492
4,raw,25,0.977484
4,raw,26,0.977426
4,raw,27,0.977332
4,raw,28,0.977279
4,raw,29,0.977259
4,raw,30,0.977314
4,raw,31,0.977407
4,raw,32,0.977328
4,raw,33,0.977498
4,raw,34,0.977173
4,raw,35,0.976873
4,raw,36,0.97661
4,centered,0,0.306474
4,centered,1,0.292857
4,centered,2,0.274668
4,centered,3,0.255463
4,centered,4,0.235709
4,centered,5,0.214904
4,centered,6,0.193491
4,centered,7,0.172618
4,centered,8,0.15199
4,centered,9,0.133461
4,centered,10,0.11226
4,centered,11,0.0889328
4,centered,12,0.065115
4,centered,13,0.0410842
4,centered,14,0.0186386
4,centered,15,-0.00225194
4,centered,16,-0.0222266
4,centered,17,-0.0427111
4,centered,18,-0.0629689
4,centered,19,-0.0845582
4,centered,20,-0.105441
4,centered,21,-0.130801
4,centered,22,-0.156562
4,centered,23,-0.175157
4,centered,24,-0.188674
4,centered,25,-0.195622
4,centered,26,-0.199681
4,centered,27,-0.204836
4,centered,28,-0.208609
4,centered,29,-0.205993
4,centered,30,-0.20054
4,centered,31,-0.195817
4,centered,32,-0.192086
4,centered,33,-0.177425
4,centered,34,-0.176163
4,centered,35,-0.149365
4,centered,36,-0.140602
6,raw,0,0.972537
6,raw,1,0.972075
6,raw,2,0.971349
6,raw,3,0.97052
6,raw,4,0.96964
6,raw,5,0.968685
6,raw,6,0.967727
6,raw,7,0.96684
6,raw,8,0.966001
6,raw,9,0.965294
6,raw,10,0.964479
6,raw,11,0.96357
6,raw,12,0.962719
6,raw,13,0.961971
6,raw,14,0.961272
6,raw,15,0.960623
6,raw,16,0.960012
6,raw,17,0.959465
6,raw,18,0.958976
6,raw,19,0.958623
6,raw,20,0.958217
6,raw,21,0.957729
6,raw,22,0.957178
6,raw,23,0.956904
6,raw,24,0.956693
6,raw,25,0.956729
6,raw,26,0.95665
6,raw,27,0.956476
6,raw,28,0.956376
6,raw,29,0.956603
6,raw,30,0.956778
6,raw,31,0.956829
6,raw,32,0.956502
6,raw,33,0.956305
6,raw,34,0.955442
6,raw,35,0.954888
6,raw,36,0.954097
6,centered,0,0.296545
6,centered,1,0.283415
6,centered,2,0.26453
6,centered,3,0.243578
6,centered,4,0.222041
6,centered,5,0.199749
6,centered,6,0.177911
6,centered,7,0.157479
6,centered,8,0.138462
6,centered,9,0.122273
6,centered,10,0.104699
6,centered,11,0.0855118
6,centered,12,0.0669959
6,centered,13,0.0486828
6,centered,14,0.0315484
6,centered,15,0.0140034
6,centered,16,-0.00342672
6,centered,17,-0.0222439
6,centered,18,-0.0415346
6,centered,19,-0.0623841
6,centered,20,-0.0821252
6,centered,21,-0.10403
6,centered,22,-0.124901
6,centered,23,-0.139468
6,centered,24,-0.150539
6,centered,25,-0.156792
6,centered,26,-0.160427
6,centered,27,-0.165104
6,centered,28,-0.169219
