bucket_lo,bucket_hi,n,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
3,6,40,0.685216,-0.000730029,0.23218,-0.458112,0.179207,0.594515,0.369345,-0.0934231,-0.0511359,0.150553,-0.16774,-0.268543
6,9,2806,0.076768,0.301966,-0.09066,0.0686389,-0.240647,0.128227,0.261268,-0.32073,0.089218,0.231241,0.0292403,0.000472146
9,12,27364,-0.0677417,0.157984,-0.0465593,0.12959,-0.165801,-0.00293301,0.0826722,-0.168602,-0.0545971,0.0618718,-0.0608563,0.0153768
12,15,35363,-0.139878,0.0859772,0.0205333,0.0670983,-0.0173319,-0.0241967,0.0246072,-0.0701812,-0.0786575,-0.0138626,-0.0500155,0.015958
15,18,20036,-0.021625,-0.0534735,0.0712552,-0.0244979,0.0798373,-0.00407181,-0.0211952,-0.0150713,-0.059239,-0.0192621,0.00969336,0.0140299
18,21,12936,0.190567,-0.102171,0.0237613,-0.0583548,0.0531595,-0.0273868,-0.00737543,0.0670959,0.0541608,-0.0442749,0.104173,0.0196517
21,24,9741,0.232885,-0.189506,0.0208012,-0.0462316,0.0600772,-0.070584,-0.00210011,0.119154,0.103931,-0.111424,0.121107,0.00514734
24,27,6896,0.165502,-0.185225,0.0484168,-0.0821513,0.0978284,-0.0363475,-0.0126104,0.139477,0.0948412,-0.0711504,0.118746,-0.00592127
27,30,5219,0.130301,-0.138393,0.011499,-0.197526,0.141471,-0.0173293,-0.0407332,0.146986,0.0684003,-0.00678839,0.0775734,-0.018336
30,33,3564,0.129558,-0.106596,-0.115056,-0.314884,0.147726,-0.0189163,-0.0694511,0.175235,0.020732,0.0460279,0.0322522,-0.0495935
33,36,2273,0.121039,-0.0753515,-0.214795,-0.385042,0.170011,-0.0310824,-0.0909031,0.204986,0.0323097,0.0921155,0.000332857,-0.0923489
36,39,1310,-0.0386132,-0.214924,-0.171337,-0.231925,0.184801,0.0399341,-0.10076,0.136486,0.041657,0.0505371,0.0574143,-0.0765192
39,42,812,-0.0240727,-0.264067,-0.181746,-0.196839,0.174324,0.0758491,-0.111086,0.13024,0.0333617,0.0156028,0.0675714,-0.0685585
42,45,565,-0.0314154,-0.327771,-0.102792,-0.115881,0.199746,0.0572664,-0.145401,0.115395,0.0322925,0.0187667,0.00739825,-0.0906814
45,48,429,-0.000755227,-0.33949,-0.164333,-0.146345,0.22231,0.0505992,-0.181473,0.118363,0.0807002,0.0326851,-0.00135572,-0.0564706
48,51,275,0.0775683,-0.369299,-0.0532903,-0.0533435,0.262371,0.0790429,-0.192999,0.132258,0.0839472,0.0258911,0.000921123,-0.0387379
51,54,154,0.0136158,-0.474947,-0.0905368,-0.0551976,0.25506,0.0385291,-0.203834,0.168628,0.13054,0.0339798,0.0268694,-0.0154661
54,57,129,0.368502,-0.416245,-0.00312338,-0.0382015,0.278585,0.137428,-0.212215,0.185142,0.147048,-0.0200973,0.0190274,-0.0165984
57,60,92,0.320065,-0.387143,-0.0597309,-0.0521151,0.332051,0.0187602,-0.209902,0.165626,0.282293,-0.00169204,0.0373843,0.0328405
60,63,59,0.281004,-0.264056,-0.0152053,-0.111978,0.21856,0.118844,-0.264524,0.294096,0.253869,0.0424085,0.0631583,0.0147037
63,66,50,0.378955,-0.147737,-0.0423306,-0.0408162,0.379643,0.135791,-0.107535,0.319332,0.276808,-0.0332259,0.0414965,-0.0315546
66,69,63,0.235702,-0.311935,-0.00910995,-0.0422793,0.285432,0.0883345,-0.245845,0.306799,0.335254,0.00756641,0.0137958,0.00770028
171,174,32,-0.0966227,-0.0847783,0.00144513,0.0476349,-0.156213,0.668879,-0.743957,1.12037,0.798943,0.1748,-0.331959,-0.273087
174,177,34,-0.157975,-0.134568,0.0184859,0.0862368,-0.160581,0.699856,-0.689123,1.07211,0.838316,0.138326,-0.308868,-0.279266
177,180,42,-0.0491894,-0.10731,0.0446365,0.132822,-0.196738,0.70133,-0.795225,1.16404,0.847477,0.107678,-0.342632,-0.281499
180,183,44,-0.0866147,-0.119797,0.0567573,0.119559,-0.17756,0.711681,-0.779216,1.1735,0.865319,0.121705,-0.353563,-0.285554
183,186,49,-0.0802334,-0.111152,0.0640642,0.129785,-0.193747,0.717461,-0.794594,1.17851,0.883246,0.122643,-0.343697,-0.290409
186,189,61,-0.0972143,-0.0898548,0.0540565,0.120591,-0.188863,0.733761,-0.793787,1.18074,0.872918,0.118861,-0.381959,-0.305026
189,192,46,-0.150807,-0.074264,-0.0131454,0.080131,-0.17222,0.74342,-0.749276,1.1092,0.838365,0.0988459,-0.334313,-0.300884
192,195,51,-0.0824031,-0.0996042,0.0715618,0.107575,-0.163225,0.727903,-0.804726,1.19261,0.89937,0.109025,-0.358669,-0.305117
