bucket_lo,bucket_hi,n,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
-4.5,-4,375,0.00446709,0.124146,-0.0695296,0.0956416,0.402611,0.122183,-0.445516,0.147805,0.181668,0.272184,0.144746,-0.226005
-4,-3.5,2226,-0.410372,0.176994,0.258427,0.0943414,0.320867,-0.0596681,-0.489182,0.137699,0.149138,0.240608,0.0970002,-0.205778
-3.5,-3,7424,-0.50597,0.348938,0.3883,0.110552,0.175086,-0.0154344,-0.388623,-0.0348566,0.219536,0.180467,0.0380036,-0.112807
-3,-2.5,18104,-0.255297,0.457264,0.546203,0.0784621,0.0609891,-0.107285,-0.433919,-0.0150761,0.200228,-0.0287645,-0.0544438,0.0451354
-2.5,-2,21705,0.0905621,0.760251,0.326127,0.00655346,-0.124095,-0.201415,-0.23593,-0.154889,0.164434,0.0570196,0.0280017,-0.052204
-2,-1.5,17299,0.070185,0.656702,0.154364,0.03685,-0.162825,-0.150135,-0.105748,-0.201723,0.119426,0.0519425,0.0268218,-0.0866111
-1.5,-1,12759,-0.21712,0.475591,-0.160272,-0.121519,-0.0628253,0.198523,0.0326601,-0.125468,0.0543753,0.03051,0.0494347,-0.0285146
-1,-0.5,18724,-0.0691426,-0.397294,-0.444123,0.0376332,0.131577,0.125935,0.111809,0.191505,-0.287823,0.0494748,0.198751,0.0319943
-0.5,0,19771,0.0416592,-1.03992,-0.462762,0.0685095,0.217026,0.00150655,0.381485,0.178857,-0.244458,0.0267891,0.0654499,0.16875
0,0.5,9551,0.721223,-1.08787,-0.41537,-0.056847,0.083301,-0.080285,0.462021,0.303884,0.00116195,-0.41765,-0.506082,0.183744
0.5,1,1879,0.396195,-1.262,-0.171335,-0.508621,-0.29127,0.552516,0.700528,-0.0734435,0.0168156,-0.144711,-0.0879332,-0.138562
1,1.5,1088,0.432229,-1.33458,0.0959355,-0.697349,-0.926417,1.0297,0.856158,-0.284913,-0.279703,-0.309482,-0.335492,-0.498985
1.5,2,613,0.572575,-1.5602,0.213846,-0.754154,-1.28972,1.34511,0.955907,-0.413961,-0.591525,-0.377884,-0.454152,-0.613604
2,2.5,459,0.62698,-1.67113,0.250623,-0.710665,-1.47568,1.45501,1.04148,-0.418951,-0.711237,-0.452831,-0.45754,-0.694422
2.5,3,271,0.781305,-1.3628,0.36973,-0.824495,-1.56691,1.43925,1.16453,-0.526085,-0.818629,-0.401685,-0.527367,-0.658488
3,3.5,222,0.618481,-1.57222,0.470096,-0.887741,-1.75599,1.61203,1.36954,-0.610058,-1.01452,-0.503442,-0.562009,-0.788278
3.5,4,167,0.679353,-1.63414,0.431453,-0.882942,-1.81168,1.53342,1.44169,-0.636764,-1.03242,-0.5012,-0.520778,-0.796485
4,4.5,121,0.646648,-1.69641,0.550925,-0.8219,-1.94011,1.5658,1.60006,-0.641232,-1.0095,-0.544512,-0.429701,-0.76411
4.5,5,57,0.803434,-1.5836,0.527505,-0.872329,-1.92932,1.57585,1.58682,-0.668642,-0.952546,-0.471054,-0.406218,-0.761724
