layer,variant,label_col,n_structures,same_sg_pairs,diff_sg_pairs,mean_cos_same_sg,mean_cos_diff_sg,ratio,delta,macro_mean_cos_same_sg,null_ratio,cc_n_structures,cc_same_sg_pairs,cc_diff_sg_pairs,cc_mean_cos_same_sg,cc_mean_cos_diff_sg,cc_ratio,cc_delta,cc_null_ratio
0,raw,point_group,132839,747977904.0,8075055637.0,0.9974236258506485,0.996424014773136,1.0010031985005299,0.0009996110775124523,0.997700070681236,1.0000005277872808,63173,195793.0,412916.0,0.9996127784770765,0.9987236829639843,1.0008902317310164,0.0008890955130922418,1.0003259176626456
0,centered,point_group,132839,747977904.0,8075055637.0,0.21794147097035438,-0.008403143473955446,-25.935707470167362,0.2263446144443098,0.2765294613237917,0.9686180513375727,63173,195793.0,412916.0,0.812256314250397,0.4521803484138208,1.79631051437699,0.3600759658365762,1.2045890521875227
2,raw,point_group,132839,747977904.0,8075055637.0,0.9914716282390899,0.9891787507323961,1.002317960737628,0.0022928775066937135,0.9921169711680147,0.9999905715514738,63173,195793.0,412916.0,0.9989260014512332,0.9964050774055072,1.0025300192691613,0.002520924045726014,1.0009958421676948
2,centered,point_group,132839,747977904.0,8075055637.0,0.16254499742351933,-0.006834354850422937,-23.78351738839847,0.16937935227394227,0.21490041673830476,0.9983426821473014,63173,195793.0,412916.0,0.8648888941029139,0.6225340270552985,1.3893038075267934,0.24235486704761544,1.1279162023761446
4,raw,point_group,132839,747977904.0,8075055637.0,0.9871937394051318,0.9829091782206861,1.004359061121193,0.0042845611844456455,0.9879315077221378,0.9999813402671033,63173,195793.0,412916.0,0.9979498672005529,0.9931067584054061,1.0048767252404194,0.004843108795146822,1.001623420799969
4,centered,point_group,132839,747977904.0,8075055637.0,0.19505923376811307,-0.013200245983920077,-14.776939308989023,0.20825947975203316,0.24929602691975442,0.967821294066052,63173,195793.0,412916.0,0.8385022953530815,0.50752773003771,1.6521309984200856,0.3309745653153715,1.1659456134779915
6,raw,point_group,132839,747977904.0,8075055637.0,0.9739184414466617,0.9647589793774453,1.0094940417917924,0.009159462069216473,0.975077920985617,1.000021641131761,63173,195793.0,412916.0,0.9952789474433386,0.9848667512116684,1.0105721877795755,0.010412196231670112,1.003336310870875
6,centered,point_group,132839,747977904.0,8075055637.0,0.1934339011008308,-0.015370307272132932,-12.584907879592967,0.20880420837296373,0.23415545932141532,1.0528739567024517,63173,195793.0,412916.0,0.8574546159180222,0.5449987341847676,1.5733148760439588,0.31245588173325456,1.1526803596373945
8,raw,point_group,132839,747977904.0,8075055637.0,0.935514112208582,0.9111581280266539,1.026730798346361,0.024355984181928192,0.9373693613777679,0.9999211387190531,63173,195793.0,412916.0,0.9786169007653917,0.9473174025579121,1.0330401385248131,0.03129949820747957,1.0091699185103116
8,centered,point_group,132839,747977904.0,8075055637.0,0.21565254386387953,-0.018231966081787995,-11.828265964102245,0.2338845099456675,0.2664123536243762,0.9418744604560213,63173,195793.0,412916.0,0.7883017455456763,0.4489269117150362,1.7559690118244993,0.33937483383064015,1.2044812745812492
10,raw,point_group,132839,747977904.0,8075055637.0,0.7869780729271215,0.702115031999644,1.1208677169121206,0.08486304092747754,0.7978907878797157,1.0000128388474354,63173,195793.0,412916.0,0.9074425019262736,0.793013286591857,1.1442967189442694,0.11442921533441663,1.039258246439844
10,centered,point_group,132839,747977904.0,8075055637.0,0.22425664641477908,-0.019160018904950976,-11.704406322732325,0.24341666531973005,0.3163426469031909,1.0020894401852172,63173,195793.0,412916.0,0.759586880202346,0.4075106177558787,1.8639683166669792,0.3520762624464673,1.2396467982594124
