chemsys,n_elements,n_entries,status,n_prompts
Ac-As-Li,3,27,ok,1
Ac-Hf-Ta,3,20,ok,1
Ac-Mn-Pa,3,15,ok,1
Ac-Sm-Y,3,23,ok,1
Ag-Al-Mn-Y,4,72,ok,1
Ag-Al-Re,3,35,ok,1
Ag-Ba-Si,3,87,ok,1
Ag-Ba-Sm,3,35,ok,1
Ag-Ba-Y-Zn,4,75,ok,1
Ag-Be-Cr-Fe,4,51,ok,1
Ag-Be-Ge-Ti,4,68,ok,1
Ag-Be-Hg,3,44,ok,1
Ag-Be-Nb,3,23,ok,1
Ag-Br-Co,3,28,ok,1
Ag-Ca-Sr,3,55,ok,1
Ag-Cd-In,3,43,ok,1
Ag-Cd-Ir-V,4,48,ok,1
Ag-Co-La,3,32,ok,1
Ag-Cr-Ga,3,33,ok,1
Ag-Cu-Os,3,20,ok,1
Ag-Cu-Tl,3,25,ok,1
Ag-Fe-Li,3,41,ok,1
Ag-Ge-Li-S-Sr,5,175,ok,1
Ag-Ge-Ti,3,48,ok,1
Ag-H-Rh-Y,4,59,ok,1
Ag-Hg,2,37,ok,1
Ag-La-Ni-Tl,4,52,ok,1
Ag-Lu-Se,3,39,ok,1
Ag-Na-Pd,3,39,ok,1
Ag-Na-Te,3,48,ok,1
Ag-Na-Zr,3,38,ok,1
Ag-Nb,2,10,ok,2
Ag-Nb-Sn-W,4,36,ok,1
Ag-Pb-Ru,3,18,ok,1
Ag-Pd-Pt,3,23,ok,1
Ag-Rh-Ru,3,22,ok,1
Ag-Rh-Si,3,73,ok,1
Ag-Rh-V,3,25,ok,1
Ag-Rh-Zr,3,34,ok,1
Ag-Se-W,3,42,ok,1
Ag-Si,2,53,ok,1
Ag-Si-Sn-Ti,4,109,ok,1
Ag-Si-Ti,3,81,ok,1
Ag-Sr-Y,3,32,ok,1
Ag-Zr,2,15,ok,1
Al-As,2,24,ok,1
Al-Au-B,3,45,ok,1
Al-Au-Cu,3,58,ok,1
Al-B-Ni,3,59,ok,1
Al-B-Ti,3,60,ok,1
Al-Ba-In-Ni,4,76,ok,1
Al-Ba-Pt-Tl,4,70,ok,1
Al-Be-Sc,3,37,ok,1
Al-Br-Li,3,42,ok,1
Al-Ca-Pt,3,55,ok,1
Al-Cl,2,14,ok,1
Al-Co,2,28,ok,1
Al-Co-In,3,38,ok,1
Al-Cr-K-Ni,4,82,ok,1
Al-Cr-Li-Pb,4,65,ok,1
Al-Cr-Pt,3,47,ok,1
Al-Cu-Li-Ni-Pt,5,146,ok,1
Al-Cu-Mo,3,54,ok,1
Al-Cu-Ti-Tl,4,86,ok,1
Al-Dy-Ge,3,66,ok,1
Al-Dy-U,3,52,ok,1
Al-Fe-Y,3,75,ok,1
Al-Ga-Ho-Ni,4,117,ok,1
Al-Ga-Zn,3,31,ok,1
Al-Gd-Ge-Rh,4,76,ok,1
Al-Ge-La,3,59,ok,1
Al-Ge-Mo,3,58,ok,1
Al-Ge-Ni,3,68,ok,1
Al-Ge-Sb,3,55,ok,1
Al-Hg-Pb-Re,4,60,ok,1
Al-Ho-Rh,3,41,ok,1
Al-Li-Pb-Pt,4,87,ok,1
Al-Mg-Re,3,67,ok,1
Al-Mn-Ta,3,49,ok,1
Al-Mn-Te,3,53,ok,1
Al-Na-Ta,3,48,ok,1
Al-Nb-Pb-Tc,4,44,ok,1
Al-Nb-Sc,3,41,ok,1
Al-P-Sb,3,48,ok,1
Al-Pd-Tc,3,40,ok,1
Al-Pd-Y,3,53,ok,1
Al-Pr-Tb,3,56,ok,1
Al-Re-Tm,3,36,ok,1
Al-Ru-Se,3,37,ok,1
Al-Ru-W,3,37,ok,1
Al-Se-Tl,3,39,ok,1
Al-Si-W,3,74,ok,1
Al-V-Zr,3,52,ok,1
Al-W,2,22,ok,1
Al-Zn,2,20,ok,1
As-B-Be,3,31,ok,1
As-B-Tl,3,34,ok,1
As-Be-Hf,3,28,ok,1
As-Be-La,3,19,ok,1
As-Bi-La,3,34,ok,1
As-Br-Ge,3,43,ok,1
As-Br-Pd,3,26,ok,1
As-Br-Pt,3,21,ok,1
As-Ca-La,3,36,ok,1
As-Ca-Pt,3,40,ok,1
As-Cd-K,3,58,ok,1
As-Cd-Pt,3,33,ok,1
As-Cd-Rb,3,52,ok,1
As-Ce-Ho,3,28,ok,1
As-Cl,2,10,ok,1
As-Cl-Pd,3,26,ok,1
As-Co-Pd,3,39,ok,1
As-Cu-Li,3,54,ok,1
As-Dy-O-Yb,4,61,ok,1
As-Ga-Te,3,57,ok,1
As-Hg-Re,3,38,ok,1
As-Ir-Re,3,24,ok,1
As-K-Re,3,45,ok,1
As-Lu-O-Rb,4,113,ok,1
As-Mg-Ni-Ru,4,70,ok,1
As-Mg-Sr,3,129,ok,1
As-Mn-Pt,3,35,ok,1
As-Mo-Te,3,46,ok,1
As-N-O-Pa,4,101,ok,1
As-Na,2,29,ok,1
As-Na-P,3,51,ok,1
As-Nb-O,3,94,ok,1
As-Nb-W,3,32,ok,1
As-Ni-Pd-Zr,4,79,ok,1
As-Ni-Y,3,42,ok,1
As-O-Sn-Sr,4,187,ok,1
As-O-Tl-Y,4,101,ok,1
As-Os-Tc,3,22,ok,1
As-Pt-Se,3,29,ok,1
As-Pt-Sr,3,43,ok,1
As-Re-Sn,3,32,ok,1
As-Rh-V,3,36,ok,1
As-Sc-Se,3,46,ok,1
As-Sn-Zn,3,49,ok,1
As-Ti,2,27,ok,1
As-Zn,2,25,ok,1
As-Zr,2,21,ok,1
Au-B-Cu-Pd,4,72,ok,1
Au-B-Mo,3,42,ok,1
Au-Ba-Co,3,29,ok,1
Au-Be-Rh,3,22,ok,1
Au-Br-Hf,3,31,ok,1
Au-Br-Te,3,37,ok,1
Au-C,2,70,ok,1
Au-Ca-Ni,3,43,ok,1
Au-Ca-Pd,3,45,ok,1
Au-Cd-Y,3,41,ok,1
Au-Cl-Eu,3,32,ok,1
Au-Co-Fe,3,40,ok,1
Au-Co-Ir-Pb,4,40,ok,1
Au-Co-Ta,3,41,ok,1
Au-Cr-K,3,38,ok,1
Au-Cr-Mg,3,49,ok,1
Au-Cu-Hf-Sn,4,87,ok,1
Au-Cu-In-Li-Mg,5,269,ok,1
Au-Cu-Re,3,27,ok,1
Au-Dy-Mg-Tl,4,90,ok,1
Au-Fe-In,3,35,ok,1
Au-Hf-Hg,3,47,ok,1
Au-Hf-K,3,42,ok,1
Au-Hf-Mg,3,65,ok,1
Au-Hf-Sb,3,44,ok,1
Au-Hg-La,3,55,ok,1
Au-Hg-Li,3,60,ok,1
Au-Hg-Pd-Ru,4,56,ok,1
Au-K-Pb,3,46,ok,1
Au-Li-Nb,3,35,ok,1
Au-Mn-Zn,3,50,ok,1
Au-Mo-Zr,3,30,ok,1
Au-Na-Sr,3,45,ok,1
Au-Ni-Y,3,35,ok,1
Au-Os-Pm,3,18,ok,1
Au-P-Ru,3,32,ok,1
Au-Pb-Te,3,39,ok,1
Au-Pd,2,13,ok,1
Au-Sb-Sc,3,48,ok,1
Au-Sn-Ta,3,38,ok,1
Au-Tc-V,3,17,ok,1
Au-Te-Zr,3,46,ok,1
B-Ba-Mo-O,4,220,ok,1
B-Ba-O-Pb-Zn,5,243,ok,1
B-Ba-Tl,3,38,ok,1
B-Be-Cr-Cu,4,58,ok,1
B-Be-K-O,4,146,ok,1
B-Bi-In,3,53,ok,1
B-Br-Cu,3,44,ok,1
B-Cd-Cu-Fe,4,68,ok,1
B-Co-Fe,3,69,ok,1
B-Co-Mg-Ru,4,72,ok,1
B-Cu-Sb,3,47,ok,1
B-Dy-Sr,3,39,ok,1
B-F-Ge,3,55,ok,1
B-Fe,2,39,ok,1
B-Fe-La,3,47,ok,1
B-Fe-Rh,3,56,ok,1
B-Ga,2,25,ok,1
B-Ga-N,3,117,ok,1
B-Ga-V,3,46,ok,1
B-Ge-Rh,3,55,ok,1
B-Hf-Ru,3,34,ok,1
B-Hg-Mn,3,60,ok,1
B-Hg-Nb,3,51,ok,1
B-Hg-Sr,3,69,ok,1
B-In-Zr,3,43,ok,1
B-K-P,3,71,ok,1
B-K-Re,3,54,ok,1
B-K-Si,3,93,ok,1
