sg_sites,n_materials
F-43m | 4a 4b 4c 4d,126455
F-43m | 4a 4c 16e,58260
Cm | 2a 2a 2a 2a,58120
R-3m | 3a 3b 6c,56849
I-4m2 | 2a 2b 2c 2d,51185
P4mm | 1a 1a 1b 1b,49680
I4/mmm | 2a 2b 4d,43480
C2/m | 2a 2d 4i,42388
Pm | 1a 1a 1b 1b,40099
Immm | 2a 2c 4j,39177
Imm2 | 2a 2a 2b 2b,36847
Cmm2 | 2a 2a 2b 2b,36513
P4/mmm | 1a 1c 2e,34430
Cmmm | 2a 2b 4f,33093
Pmmm | 1a 1d 1f 1g,31642
P2/m | 1a 1g 2n,26990
Pmm2 | 1a 1a 1d 1d,26202
Cmmm | 2a 2d 4l,21502
P2/m | 1a 1c 2n,20330
Fm-3m | 4a 4b 8c,19917
I4mm | 2a 2a 2a,18905
P3m1 | 1a 1b 1c,17969
P4/mmm | 1a 1b 2h,17679
C2/m | 2a 2b 4f,17197
Pmmm | 1a 1c 2t,16785
R3m | 3a 3a 3a 3a,15491
Fmm2 | 4a 4a 4a,12365
Amm2 | 2a 2a 2b 2b,11843
Imm2 | 2a 2a 2a,9745
Pmm2 | 1a 1b 1c 1d,5588
I4/mmm | 2a 4d 4e,5177
Cm | 2a 2a 2a 2a 2a 2a,4863
P-6m2 | 1a 1c 1f,4616
F-43m | 4a 4c 4d,3564
I4/mmm | 2a 8h 8i,3379
F-43m | 4a 4b 4c,2568
I-43m | 2a 8c 24g 24g,2490
P-6m2 | 1a 1b 2h,2263
P-3m1 | 1a 2d,2234
C2/m | 4i 4i 4i,2162
I4/mmm | 2a 4e,2111
P6_3/mmc | 2a 2c 2d,2013
P6/mmm | 1a 2d,1963
P-62m | 1a 2d 3f 3g,1938
Amm2 | 2a 2a 2a 2b 2b 2b,1923
I4/mcm | 4a 8h,1915
P-3m1 | 1a 2d 2d,1906
Imm2 | 2a 2b 4d,1871
P-6m2 | 1a 1d 1f,1854
Im-3m | 2a 8c,1853
I4_1/amd | 4a 8e,1846
Cmmm | 2a 2b 2c 2d 4i 4j 4k 4l 8n 16r 16r,1837
R-3m | 3a 6c 6c,1806
Pnnm | 2a 4g,1794
Pm-3n | 2a 6c,1780
P6_3/mcm | 2b 4d 6g 6g,1763
Fm-3m | 4a 4b 24d,1762
Pnma | 4c 4c 4c,1753
P6_3/mmc | 2a 2c 6g 6h,1750
Fd-3m | 16c 32e 48f,1745
Cmcm | 4c 4c 4c,1733
P4/mmm | 1a 2e,1722
P6/mmm | 1a 2c 3g,1679
Cmcm | 4c 4c 8g,1678
P6/mmm | 2c 2e 3g,1672
P6_3/mmc | 2a 4f 6h,1668
I4/mmm | 4c 4d 4e 4e,1660
Cmmm | 2a 2c 4i 4j,1658
Cmmm | 2a 2b 4e 4h 4j,1633
I4/m | 2a 8h,1613
Pnma | 4c 4c 8d,1598
Pmmn | 2a 2b 4e,1571
P6_3/mcm | 4d 6g 6g,1558
R-3m | 3a 9e,1553
P6_3/mmc | 2b 4f 6h 12k,1530
P4/mmm | 1a 1d 2g 2h,1505
Pa-3 | 4a 8c,1504
Immm | 2a 4i,1497
P6_3/mmc | 4e 4f 4f 6g 6h,1487
Fmmm | 4a 8i,1454
I4/mmm | 2a 4e 4e 4e,1395
Pmmn | 2a 2b 4e 4e 4f 8g,1389
C2/m | 2a 2b 4e,1387
I-43m | 8c 8c 12d 12e,1371
Fdd2 | 8a 16b 16b,1355
P6_3/mmc | 2c 6h,1350
R-3m | 3a 3b,1337
Pm-3m | 1a 1b 3d,1330
P-62m | 1a 2c 3g,1321
Fm-3m | 4a 8c,1179
R-3m | 6c 6c,1160
R-3m | 3a 6c 6c 6c 18h,1156
P-3m1 | 2d 2d,1117
Fd-3m | 8a 8b,1113
Imma | 4e 4e,1100
I4_1/amd | 4a 4b,1067
C2/m | 4i 4i,1015
P6_3/mmc | 2b 2c 4f,986
Cmcm | 4c 4c,980
I4/mcm | 4a 4b 8h 16k,923
I4_1/amd | 8e 8e 8e,913
Cmmm | 2a 2c,908
Pmma | 2e 2f,905
P6_3/mmc | 2a 2c,895
P4/mmm | 1a 1d,862
P2_1/m | 2e 2e,854
Imma | 4e 4e 4e,835
Cmme | 4g 4g,808
P4/nmm | 2c 2c,781
P2_13 | 4a 4a,749
Fmmm | 4a 4b 8c,729
P6_3mc | 2b 2b,728
Pmmn | 2a 2b,686
C2/m | 2a 2c 4i 4i,684
Pbcm | 4c 4c 4d 4d 4d 4d,597
Pnma | 4c 4c,590
Pm-3m | 1a 3c,564
Pm-3m | 1a 1b 3c,554
Pm-3m | 1a 1b,554
P-6m2 | 1a 1d,539
P-6m2 | 1a 1f,521
P4_2/mnm | 2a 4f,492
Cmmm | 2a 2b 4j,463
Cmcm | 4c 8g,413
Fd-3m | 8a 16c 16d 48f 96g,395
Fm-3c | 8a 8b 96i,388
P4/nmm | 2a 2c 2c,359
Pmmm | 1a 1d 2t,358
P4mm | 1a 1b 2c,324
Pmmn | 2a 2a,307
