cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,P2/m | a g n,0.5848050111133563,24745,34518
1,F-43m | a b c d,0.9764399372478709,35696,52432
2,Pnma | c,0.10084517864003073,10412,14983
3,I-4m2 | a b c d,0.9999149370534195,23512,32234
4,Cmmm | a b f,0.4263299301450833,27915,38175
5,R-3m | a b c,0.9480202143610817,36014,49726
6,Imm2 | a b,0.8093187705664077,28566,39023
7,P4/mmm | a c e,0.5252032989215064,34678,47185
8,Pmmm | a d f g,0.7093042527097352,30169,42003
9,P4mm | a b,0.897704089893462,30881,42183
10,Pmm2 | a d,0.7906100698272693,32652,44726
11,Fm-3m | a b c,0.7638580931263859,7216,38577
12,Cm | a,0.94742002353073,35698,42530
13,I4/mmm | a b d,0.8525941422594142,23900,32688
14,P-6m2 | a c f,0.2701974339445779,17069,22895
15,P3m1 | a b c,0.9496894734095298,19161,26612
16,F-43m | a b c d,0.6772103292694633,20834,29320
17,C2/m | a d i,0.6517642273667085,29503,36458
18,Pm | a b,0.9631705364291433,17486,24353
19,Cmmm | a b f,0.5390904445579969,35226,48177
20,R3m | a,0.9472223897701912,16579,22773
21,I4/mmm | a h i,0.2487837736696355,13361,17274
22,Cmm2 | a b,0.999260683128789,27052,38095
23,F-43m | a c e,0.9545918739514188,27418,38571
24,P-3m1 | a d,0.15590338164251208,25875,34476
25,I4mm | a,0.8893918688076529,11708,14406
26,Pa-3 | a c,0.15915817165406115,9123,12702
27,Cm | a,0.9956640722180758,28137,33530
28,F-43m | a b c d,0.9970113968374333,44837,63792
29,I4/mmm | a b d,0.8380187416331994,26145,35742
30,P4mm | a b,0.8240872629132618,26678,36853
31,Pmmm | a d f g,0.45411378361586935,22534,31285
32,P4/mmm | a c e,0.5504378521485304,29462,40314
33,C2/m | a d i,0.6053945179087485,34257,42416
34,I4/mcm | a h,0.321613929348736,5973,7947
35,I4mm | a,0.8175455417066155,10430,12931
36,Imm2 | a b,0.6176536613837381,22273,29969
37,Fm-3m | a b c,0.9353893385431203,14332,32363
38,Pm | a b,0.9781525131597335,21467,30038
39,F-43m | a b c d,0.9743788338806617,32278,44314
40,Cmcm | c,0.1846680539705981,14897,18991
41,R-3m | a b c,0.7788092628117292,29192,39207
42,P2/m | a g n,0.6012907675633067,20298,28175
43,I-4m2 | a b c d,0.9996303415643945,27052,36650
44,Immm | a c j,0.9302557668729149,35071,47103
45,Fmm2 | a,0.9070585053637429,11093,15493
46,F-43m | a c e,0.9403802333095262,29403,40859
47,Pm-3m | a b d,0.38934426229508196,3416,6593
48,Amm2 | a b,0.6366471366471367,21164,28237
49,Pm-3n | a c,0.15766091538382065,9679,13792
