cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,Pmmm | a d f g,0.4189993666877771,7895,10836
1,I-4m2 | a b c d,0.5168878166465621,9948,13537
2,Pm | a b,0.29818744473916886,9048,12237
3,Cm | a,0.32194225154104034,9247,12153
4,F-43m | a b c d,0.9965320505649401,8939,12707
5,Fm-3m | a b c,0.37208216619981327,6426,16219
6,R-3m | a b c,0.8844431604795608,6923,9683
7,C2/m | a d i,0.11496492595479345,7698,10141
8,C2/m | a d i,0.43781965006729473,7430,9091
9,I4/mmm | a h i,0.055147461901107336,9121,12106
10,P2/m | a g n,0.43410625183445845,6814,9414
11,P4/mmm | a c e,0.6788978845651606,7658,10382
12,Cm | a,0.3896460437297774,10199,12899
13,R-3m | a b c,0.6993633322542354,9267,11937
14,F-43m | a c e,0.9778064516129032,7750,10912
15,P4mm | a b,0.42574370709382153,8740,11995
16,I4mm | a,0.19520409537922673,7423,9830
17,Pm | a b,0.6170183982683982,7392,10592
18,C2/m | a d i,0.10898282694848084,7570,10110
19,F-43m | a c e,0.9403247631935048,7390,10556
20,F-43m | a b c d,0.9985901593119978,7093,9020
21,R-3m | a b c,0.6382803492011201,6071,8391
22,Fd-3m | c e f,0.13685251576214613,8089,12040
23,Cmmm | a b f,0.6639447236180904,9552,13029
24,Imm2 | a b,0.4414067513797972,7791,10855
25,F-43m | a c e,0.9785565372778715,10073,14132
26,I4/mmm | a d e,0.11952457264957266,7488,10024
27,R-3m | a b c,0.903155996393147,5545,7946
28,F-43m | a b c d,0.9962328767123287,5840,7924
29,I4/mmm | a b d,0.3429761368752814,8884,12067
30,I-4m2 | a b c d,0.6225094238018309,7428,10599
31,Cmmm | a b f,0.457323343616865,6807,9154
32,P3m1 | a b c,0.4437733678458441,6954,9426
33,P4mm | a b,0.4653735828438738,7321,9977
34,P4/mmm | a c e,0.7195802337938364,7528,10443
35,F-43m | a b c d,0.4540215792054929,8156,13692
36,Cm | a,0.6558322780357394,7107,9035
37,F-43m | a b c d,0.9969030154849226,6135,9541
38,C2/m | a d i,0.11204258150365935,7515,9331
39,Cmm2 | a b,0.32294007490636706,10680,14458
40,F-43m | a b c d,0.986312239634993,5041,7342
41,Imm2 | a b,0.30664760543245173,6995,10046
42,F-43m | a b c d,0.5378545932744693,5323,13995
43,Cmmm | a b f,0.35306221253933673,8262,11240
44,I4/mmm | a b d,0.4329111317063124,9711,13634
45,P4/mmm | a c e,0.4621122424816481,8446,11746
46,Immm | a c j,0.28420145302302674,8121,11278
47,F-43m | a b c d,0.5807122072883469,7217,16011
48,C2/m | a d i,0.18175951817595182,9298,11712
49,Fm-3m | a b c,0.443549342494965,8441,13247
50,I4/mmm | a b d,0.44218916046758766,9410,12863
51,R-3m | a b c,0.7055961070559611,6987,9298
52,Cm | a,0.9348679903993018,9166,10833
53,Pm-3m | a b d,0.18898174995735972,5863,8891
54,Immm | a c j,0.1976914085330216,6844,8893
55,P4mm | a b,0.43070669988199817,7627,10390
56,Pm | a b,0.1695878730459498,8444,11115
57,I4/mmm | a h i,0.06856215846994536,11712,15065
58,P4mm | a b,0.5662608695652174,8625,11632
59,R-3m | a b c,0.8986330552103675,5633,8058
60,P2/m | a g n,0.39965641105731686,6403,8940
61,F-43m | a b c d,0.49604805564337656,9489,16554
62,Cm | a,0.7071352502662407,8451,10124
63,F-43m | a b c d,0.9990996398559424,9996,13038
64,P4/mmm | a c e,0.37182587666263606,6616,9228
65,Cmm2 | a b,0.33818260775160136,9211,12912
66,Immm | a c j,0.24601769911504426,6215,8665
67,I4/mmm | a b d,0.5137847642079807,8270,11100
68,Im-3m | a c,0.09598114054782218,8908,11629
69,R-3m | a e,0.2751312828207052,5332,7039
70,F-43m | a b c d,0.9433456942727647,4854,7372
71,P4mm | a b,0.3933884297520661,9075,12445
72,Pmmm | a d f g,0.48020785572367414,6543,9092
73,Immm | a c j,0.22660155795837694,8601,11344
74,Imm2 | a b,0.2591126279863481,7325,9769
75,Cm | a,0.7142517249583631,8406,10152
76,C2/m | a b f,0.35860500379075055,6595,9134
77,P2/m | a g n,0.23950895653263185,7983,10758
78,P2/m | a c n,0.19939804364183597,7974,11051
79,Pmmm | a d f g,0.5233974358974359,6240,8797
80,Imm2 | a b,0.3723583093179635,8328,11147
81,Imm2 | a b,0.3798416886543536,9475,12499
82,I-4m2 | a b c d,0.4050728548300054,9265,12840
83,P2/m | a g n,0.30800066811424753,5987,8403
84,P3m1 | a b c,0.7739701704545454,5632,7680
85,I4mm | a,0.46130858760616544,6358,8213
86,I-4m2 | a b c d,0.6943993893712432,10481,14171
87,F-43m | a c e,0.9087281285173437,9773,13971
88,P4mm | a b,0.5723646396137487,8699,11899
89,F-43m | a c e,0.9556818181818182,8800,12336
90,F-43m | a b c d,0.9983856765482829,6814,10674
91,P4mm | a b,0.4702052091554854,10136,13812
92,Cm | a,0.17734260614934114,10928,15079
93,P4/mmm | a c e,0.4641309581126625,6231,8771
94,C2/m | a d i,0.2643942423030788,10004,12782
95,Imm2 | a b,0.3107264472190692,7048,9503
96,P3m1 | a b c,0.4638515674984005,6252,8585
97,I4mm | a,0.43480466768138,7884,10270
98,P4/mmm | a c e,0.4399502881030392,8851,12249
99,I-43m | a c g,0.07955563519082602,11162,14435
100,Cm | a,0.7238622386223862,9756,11803
101,C2/m | a b f,0.293732782369146,8712,11655
102,C2/m | a d i,0.11045655375552282,8148,11167
103,P4mm | a b,0.27276607854297097,7028,9862
104,Cmmm | a b f,0.5925446171560161,6948,9267
105,P4/mmm | a b h,0.22873066424021837,8792,11531
106,F-43m | a b c d,0.46890971039182283,2348,15110
107,Pm | a b,0.5974237288135593,7375,10278
108,R-3m | a b c,0.5450017787264319,5622,7197
109,I4/mmm | a h i,0.09749190938511326,9888,13823
110,Pm | a b,0.2754914809960681,7630,10467
111,R3m | a,0.5261864246549443,5289,7370
112,P4mm | a b,0.4868785295094674,9031,12585
113,R-3m | a b c,0.7918641390205371,7596,10418
114,Imm2 | a b,0.22420017428109051,8033,10887
115,C2/m | a d i,0.15643994211287987,6910,8895
116,F-43m | a b c d,0.9960047942469037,10012,14189
