cluster_id,dominant_point_group,fraction,n_labeled,cluster_size
0,mm2,0.3749634289057929,27344,27347
1,mmm,0.33850408850408853,33264,33283
2,mmm,0.23317323953189475,29566,29574
3,-43m,0.999686216339571,35056,35068
4,4/mmm,0.3411379451494065,36645,36651
5,-43m,0.5013284085018144,30864,30867
6,m,0.49765638766519826,28375,28382
7,m,0.3363791095583624,33489,33493
8,-3m,0.9069033886085076,22192,22194
9,4/mmm,0.48719093406593406,29120,29123
10,m,0.3676456427539721,31155,31157
11,-43m,0.9997438670385338,35138,35144
12,mmm,0.49007782101167313,30840,30844
13,m,0.5506923225149338,36327,36356
14,4/mmm,0.3819940990404295,37621,37629
15,-43m,0.8939512704944804,30618,30629
16,mm2,0.4257593457943925,34240,34244
17,-3m,0.6656272331579289,30786,30798
18,4mm,0.24430180380969363,33651,33656
19,m-3m,0.20203647416413373,32900,32950
20,-43m,0.9986093991972441,31641,31643
21,2/m,0.5126060094401167,26059,26064
22,mm2,0.6516080777860882,40110,40115
23,4mm,0.26887595799034913,28184,28186
24,4/mmm,0.4179628377290439,31053,31061
25,2/m,0.5120641632269539,29799,29802
26,-43m,0.9998568565702834,34930,34938
27,2/m,0.30681369421914395,32919,32935
28,mm2,0.4405984263081754,28341,28342
29,mm2,0.6589922887703491,36181,36182
30,-42m,0.33338238323670505,33979,33985
31,4/mmm,0.47182398033822925,34178,34184
32,4mm,0.4052497284187656,39583,39588
33,m,0.5180468320356595,34549,34553
34,-3m,0.7726805105734426,26245,26251
35,4/mmm,0.4343996291145109,38826,38833
36,mm2,0.36148967750640937,29644,29647
37,4/mmm,0.3008252576790056,29203,29221
38,m,0.43437462162489404,33036,33041
39,mmm,0.2764021682874343,36711,36719
40,2/m,0.25672656323756177,31777,32020
41,-43m,0.5194157074165817,27452,27453
42,6/mmm,0.2483180249224829,34186,34219
43,-43m,0.6232105098963568,28849,28853
44,mmm,0.45097281730701694,28474,28477
45,-43m,0.8598958770677638,47636,47649
46,-3m,0.7904622652120121,26673,26675
47,m,0.42896563743573357,34427,34433
48,m-3m,0.5914121699196326,43550,43553
49,4mm,0.41922009475484284,35671,35678
