cluster_id,dominant_space_group_symbol,fraction,n_labeled,cluster_size
0,R-3m,0.935597507000271,11071,11072
1,Cm,0.6762937407589946,10145,10147
2,Immm,0.2662319515603167,10735,10741
3,F-43m,1.0,11673,11674
4,P4mm,0.5615942028985508,11868,11870
5,P4/mmm,0.5052205220522052,11110,11112
6,F-43m,0.4989290663978833,15874,15877
7,F-43m,0.9923230309072781,10030,10032
8,I-4m2,0.42500584977770844,12821,12822
9,R-3m,0.8081409001956947,12775,12775
10,Pm,0.3423254898099833,10157,10158
11,I4/mmm,0.38495971351835273,12287,12289
12,Fd-3m,0.2870147255689424,11205,11217
13,F-43m,0.9998356479579259,12169,12172
14,Imm2,0.48285594814969685,9566,9566
15,Cmm2,0.2934174580460518,15374,15378
16,P4mm,0.4235527434129757,10589,10589
17,Imm2,0.21310547759167045,8836,8837
18,Cmmm,0.622974385781495,7652,7652
19,R-3m,0.19268364928909953,13504,13515
20,F-43m,0.9998241758241758,11375,11382
21,C2/m,0.6572709801409353,9366,9366
22,F-43m,0.9266979156278049,10027,10030
23,Pm,0.610371209974497,10587,10587
24,Fm-3m,0.6441711342373594,9513,9514
25,Fm-3m,0.7565635560176761,15388,15388
26,F-43m,0.9998956594323873,9584,9585
27,P6/mmm,0.175357385976855,7345,7352
28,Immm,0.14771745630938932,15049,15054
29,P4mm,0.2326476602911103,8313,8313
30,Imm2,0.3716875871687587,11472,11473
31,Cm,0.34583032924777696,12483,12593
32,P4/mmm,0.44283036551077787,8536,8536
33,R-3m,0.9251161808196029,9468,9469
34,C2/m,0.4900924702774108,8327,8329
35,Cm,0.7001801801801801,8325,8327
36,P2/m,0.2601208709330243,12079,12080
37,Cm,0.7406597981059423,9609,9613
38,Cm,0.5281585772508336,10796,10802
39,P4mm,0.4682378780199358,11838,11840
40,R-3m,0.7307965020089813,8462,8464
41,F-43m,0.9999351575671119,15422,15423
42,F-43m,0.5592155531029799,11779,11780
43,P4mm,0.5080600770622002,12717,12719
44,Pmmm,0.435063342868819,12235,12238
45,I4/mmm,0.535064935064935,10395,10396
46,P3m1,0.5629839958699019,7748,7750
47,P6_3/mmc,0.17422475598168782,11577,11583
48,Imm2,0.3801506765067651,13008,13011
