cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
0,I4/mmm | 2a 2b 4d,0.47263392857142855,22400,30330
1,F-43m | 4a 4b 4c 4d,0.4984889636968746,26141,48524
2,P2/m | 1a 1g 2n,0.25979998930424086,18699,26113
3,R-3m | 3a 3b 6c,0.8763013217920225,17098,24416
4,P4mm | 1a 1a 1b 1b,0.46101524121425874,23817,32328
5,P4/mmm | 1a 1c 2e,0.6464547677261614,18405,25222
6,Fm-3m | 4a 4b 8c,0.10090311598657146,21149,29593
7,Cm | 2a 2a 2a 2a 2a 2a,0.11331243937019625,26802,35524
8,F-43m | 4a 4b 4c 4d,0.9975124378109452,24924,34940
9,I4mm | 2a 2a 2a,0.2540104796453043,24810,33109
10,P3m1 | 1a 1b 1c,0.1377057482907065,19745,26609
11,P3m1 | 1a 1b 1c,0.1549863964724646,21318,27933
12,Cm | 2a 2a 2a 2a,0.31074164629176854,30675,39830
13,F-43m | 4a 4b 4c 4d,0.99361249112846,21135,31971
14,I-4m2 | 2a 2b 2c 2d,0.3480474031655134,25146,34615
15,Cmmm | 2a 2b 4f,0.20911459288885628,27253,36307
16,F-43m | 4a 4b 4c 4d,0.993358118551318,23939,34452
17,Imm2 | 2a 2a 2b 2b,0.3321294749672701,22151,30653
18,Pmmm | 1a 1d 1f 1g,0.4788616209527738,19396,27067
19,R-3m | 3a 3b 6c,0.7384710297671071,19451,27446
20,R-3m | 3a 3b 6c,0.4251896702655384,27416,35336
21,Immm | 2a 2c 4j,0.20037567709243403,22892,31516
22,P3m1 | 1a 1b 1c,0.13409471734720874,22678,29309
23,F-43m | 4a 4c 16e,0.3863985599508276,22777,55207
24,Cm | 2a 2a 2a 2a,0.27341782435616213,24618,32350
25,Cm | 2a 2a 2a 2a,0.27080784740156766,22071,29477
26,I-4m2 | 2a 2b 2c 2d,0.49262125438675425,22226,31216
27,P4/mmm | 1a 1c 2e,0.4169637240511638,19076,26514
28,F-43m | 4a 4c 16e,0.8261737494721486,26049,37122
29,R-3m | 3a 3b 6c,0.7404434250764526,20928,28640
30,I4/mmm | 2a 2b 4d,0.33843478260869564,23000,31088
31,F-43m | 4a 4c 16e,0.6726850196639257,39158,58566
32,Pmmm | 1a 1d 1f 1g,0.37731624827323396,20993,28614
33,Imm2 | 2a 2a 2b 2b,0.12288095010056509,20882,27839
34,F-43m | 4a 4b 4c 4d,0.9968691059977367,26510,36082
35,C2/m | 2a 2d 4i,0.21442674740028958,22791,30000
36,Cmmm | 2a 2b 4f,0.4865692983352058,19582,26221
37,Cm | 2a 2a 2a 2a,0.39260481448576384,23637,30576
38,Pm | 1a 1a 1b 1b,0.2538519353626456,21288,29646
39,P4mm | 1a 1a 1b 1b,0.3978264680105171,28525,38414
40,Cmm2 | 2a 2a 2b 2b,0.22917953151372936,24291,32931
41,I4/mmm | 2a 8h 8i,0.060888091500336396,26754,35212
42,Pm | 1a 1a 1b 1b,0.2975397124774718,23859,33252
43,Imm2 | 2a 2a 2b 2b,0.16326652707149267,33430,43476
44,C2/m | 2a 2d 4i,0.16846809395136148,19244,25193
45,R-3m | 3a 9e,0.062010132940717964,23093,31760
46,Cmmm | 2a 2b 4f,0.5051380404413506,21117,28391
47,I4/mmm | 2a 2b 4d,0.3669237519050478,21653,28925
48,Pm | 1a 1a 1b 1b,0.2189140452815067,24955,32427
49,C2/m | 2a 2d 4i,0.061719096145325655,22570,31407
