cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
0,R-3m | 3a 3b 6c,0.12039202029749764,140707,186128
1,P4/mmm | 1a 1c 2e,0.12394968638523052,118298,158101
2,I-4m2 | 2a 2b 2c 2d,0.22233605013784896,132754,180357
3,F-43m | 4a 4b 4c 4d,0.41206175029049197,114461,195396
4,R-3m | 3a 3b 6c,0.613668588713489,63474,87844
5,Cm | 2a 2a 2a 2a 2a 2a,0.03285965923901452,126599,171110
6,I-4m2 | 2a 2b 2c 2d,0.1300139183225274,142977,189422
7,P4/mmm | 1a 1c 2e,0.17297679734412133,110246,152045
8,F-43m | 4a 4b 4c 4d,0.8059110579136359,97749,143827
9,P4mm | 1a 1a 1b 1b,0.13459266119503083,125252,169459
