cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,C2/m | a d i,0.7193121693121693,3780,4588
1,Immm | a c j,0.2811904761904762,4200,5955
2,P4mm | a b,0.384477075217261,3337,4753
3,P6/mmm | c e g,0.12377380265435661,3466,4327
4,Fm-3m | a b c,0.7445956765412329,1249,5546
5,P4mm | a b,0.28876566029985623,4869,6560
6,F-43m | a b c d,0.8480720871751886,4772,6744
7,F-43m | a b c d,1.0,5375,7128
8,R-3m | a b c,0.8769271664008507,3762,5205
9,C2/m | i,0.13501821493624772,4392,5482
10,P2/m | a g n,0.417774302840761,3837,5320
11,P3m1 | a b c,0.5089445438282647,3354,4860
12,I4_1/amd | a e,0.08540417023707512,3501,4388
13,Fmm2 | a,0.3435637663885578,3356,4424
14,Imm2 | a b,0.42992874109263657,5473,7416
15,Imm2 | a b,0.5058094500387297,3873,5408
16,P4/mmm | a c e,0.742603550295858,3718,5034
17,R-3m | a b c,0.9535358692877202,3917,5566
18,P2/m | a c n,0.23682902584493043,4024,5486
19,Cmm2 | a b,0.3601213040181956,5276,7193
20,P4/mmm | a b h,0.5209643605870021,3816,5121
21,Im-3m | a c,0.19331872946330778,3652,5297
22,Cm | a,0.9175672279467203,3979,4711
23,Immm | a c j,0.6343873517786561,4554,6404
24,F-43m | a b c d,0.9989842559674962,3938,5452
25,F-43m | a c e,0.8898406715778654,5837,8408
26,P2/m | a g n,0.3439777854911489,2881,3873
27,F-43m | a b c d,0.9993490995877631,4609,6797
28,Cmmm | a b f,0.5475213135459426,3167,4204
29,P3m1 | a b c,0.8438266557645135,3669,5073
30,I4/mmm | a b d,0.6694363350550191,4453,6050
31,P2/m | a g n,0.34496510468594216,4012,5611
32,Cmmm | a b f,0.6038001407459536,2842,4004
33,P1 | a,0.3042367468596977,4697,6590
34,Cmmm | a b f,0.441477414524582,4007,5573
35,Cm | a,0.9885235047450894,4531,5385
36,Immm | a c j,0.39159032182287995,4257,5800
37,P4/mmm | a c e,0.7311699910687705,3359,4609
38,R-3m | a b c,0.8888622179548727,4166,5756
39,I4mm | a,0.4169542709232097,4636,5869
40,I4/mmm | a b d,0.8643827285627407,4933,7019
41,Cm | a,0.4803229061553986,3964,5219
42,F-43m | a b c d,0.82567252700699,4721,6603
43,C2/m | a d i,0.3230099201548512,4133,5348
44,C2/m | a d i,0.3820807944030693,4431,5549
45,F-43m | a b c d,0.9975006942515968,3601,5367
46,F-43m | a b c d,0.78118691966088,4954,7012
47,I-4m2 | a b c d,0.4333912180600347,4031,5637
48,Pm | a b,0.8521434820647419,3429,4595
49,R-3m | a b c,0.699438202247191,3560,4844
50,P4/mmm | a b h,0.654705697198615,3177,4552
51,Pm | a b,0.8206292572169964,3083,4460
52,P2/m | a g n,0.4945337620578778,3110,4226
53,Cmm2 | a b,0.4230965763924374,3914,5437
54,F-43m | a c e,0.8682998324958124,4776,6926
55,P4mm | a b,0.4869497467861317,5134,7142
56,R-3m | a b c,0.9537645275391612,3958,5607
57,F-43m | a b c d,0.9994360902255639,5320,6908
58,P4/mmm | a c e,0.8993455905266439,3209,4367
59,R-3m | a b c,0.8150903294367694,3764,4826
60,Cmmm | a b f,0.4334763948497854,3262,4422
61,Im-3m | a c,0.2251732101616628,3464,5282
62,P4mm | a b,0.5996321275291232,4893,6974
