cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,I4mm | a,0.23445241440508763,27046,34920
1,Cmmm | a b f,0.4429012981660828,24265,32125
2,F-43m | a c e,0.5660007135212273,33636,54491
3,P6_3/mmc | a f h,0.04205861449057235,23919,31439
4,Cm | a,0.3343045214200928,18534,23680
5,Cm | a,0.2545588778146918,27090,35610
6,Cmmm | a b f,0.2089429557783988,24332,31873
7,R-3m | a b c,0.4596552685004578,25121,32417
8,R-3m | a b c,0.7454171428571429,21875,30954
9,F-43m | a b c d,0.9931048572450074,19579,26670
10,I-4m2 | a b c d,0.32060817752208753,24335,33416
11,P4mm | a b,0.30472992283509576,27992,37953
12,C2/m | a d i,0.2250423831436183,20645,26603
13,Cmmm | a b c d i j k l n r,0.05139646997888362,25099,34716
14,Cm | a,0.17765205091937766,21210,26623
15,F-43m | a b c d,0.8752371316554951,15814,23626
16,I4/mmm | a b d,0.37379750657866356,23181,31916
17,P4mm | a b,0.21900249376558603,20050,28598
18,P4/mmm | a c e,0.3367213726221559,21448,29548
19,I4mm | a,0.14923973747503158,24531,32678
20,Cm | a,0.09065244667503136,19128,25070
21,F-43m | a c e,0.38256036795707166,26090,47686
22,F-43m | a c e,0.47992179863147605,25575,54652
23,R-3m | a b c,0.7154045615706197,18897,25589
24,C2/m | a b f,0.1670477279222635,20994,28073
25,F-43m | a b c d,0.9889965720089721,23629,32018
26,P4mm | a b,0.27587092631240967,31145,43215
27,P4/mmm | a c e,0.45678911786267,24554,33622
28,Cmmm | a b f,0.46470072352554265,18244,24140
29,P2/m | a g n,0.17645430458338277,25287,34828
30,F-43m | a b c d,0.9864230486008837,21728,31972
31,Cmmm | a b f,0.1252829239668036,23858,32971
32,I4mm | a,0.23108841366102778,21931,28991
33,F-43m | a b c d,0.9957154244719012,20072,29128
34,Imm2 | a b,0.1830219214359276,33985,44594
35,Immm | a c j,0.21815352222273082,21847,30196
36,P4mm | a b,0.3090672064221757,29149,38943
37,I-4m2 | a b c d,0.42545984650345153,23323,32407
38,F-43m | a c e,0.48126377663482733,29942,45139
39,R-3m | a b c,0.8496493363473019,17253,24527
40,Cm | a,0.3359363489023132,20361,26703
41,R-3m | a e,0.05768917155903457,24528,33524
42,Pm | a b,0.22743553008595987,16752,21898
43,P2/m | a g n,0.2660598451558904,19116,26266
44,I-4m2 | a b c d,0.3345297392323469,27304,36860
45,P4/mmm | a c e,0.44556792873051226,22450,31172
46,I-4m2 | a b c d,0.2667291220556745,22416,30903
47,P4mm | a b,0.2360953070583773,29001,38932
48,I4/mmm | a b d,0.3146284659665158,22757,30728
49,P4mm | a b,0.22242895018372946,21499,29086
