cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
0,P3m1 | 1a 1b 1c,0.9275943826372424,5483,7632
1,Cmmm | 2a 2b 2c 2d 4i 4j 4k 4l 8n 16r 16r,0.24859509020999704,6762,9026
2,F-43m | 4a 4b 4c 4d,0.9985497905252981,12412,16925
3,Imm2 | 2a 2a 2b 2b,0.41803595592499515,10346,14179
4,P2/m | 1a 1g 2n,0.6213076257570139,8091,10914
5,I4mm | 2a 2a 2a,0.8199711953912626,6249,7744
6,Immm | 2a 2c 4j,0.4385087993335416,9603,13344
7,R-3m | 3a 3b 6c,0.988460151460512,11092,15407
8,P4/mmm | 1a 1c 2e,0.6754358895232218,12962,17650
9,I4/mmm | 2a 2b 4d,0.8972069162074863,10526,14276
10,Fm-3m | 4a 4b 8c,0.9485294117647058,2856,11597
11,Pmm2 | 1a 1a 1d 1d,0.8473607233080708,7521,10491
12,Fmm2 | 4a 4a 4a,0.44890002784739624,7182,9768
13,F-43m | 4a 4c 16e,0.9150093003290886,6989,10032
14,C2/m | 2a 2d 4i,0.572354878550844,9716,12001
15,Cm | 2a 2a 2a 2a,0.9472957177770693,9411,11132
16,P6_3/mmc | 2a 2c 2d,0.11575673807878369,5788,8017
17,Fm-3m | 4a 4b 8c,0.9194573972022043,4718,9280
18,Pmmm | 1a 1d 1f 1g,0.5638959244761685,8686,12232
19,P4mm | 1a 1a 1b 1b,0.8950570342205323,7890,10528
20,F-43m | 4a 4b 4c 4d,0.9815763787213275,8196,11320
21,P4mm | 1a 1a 1b 1b,0.8521193948480306,7337,10442
22,R-3m | 3a 3b 6c,0.9933946008041356,6964,9888
23,Cmmm | 2a 2b 4f,0.40454633018686187,10382,14235
24,I-4m2 | 2a 2b 2c 2d,0.9797474115371487,8789,11972
25,Cmcm | 4c 4c 4c,0.06298483269653815,8637,11452
26,Pmm2 | 1a 1a 1d 1d,0.6932070445463964,6757,9067
27,P6_3/mcm | 2b 4d 6g 6g,0.10014775898867181,6091,8259
28,Immm | 2a 2c 4j,0.5392994647384731,10649,14840
29,I-4m2 | 2a 2b 2c 2d,0.9298176050753371,7566,10397
30,P2/m | 1a 1g 2n,0.5863818014140794,6506,9185
31,Pmm2 | 1a 1a 1d 1d,0.7854576807012502,6959,9467
32,Amm2 | 2a 2a 2b 2b,0.2735566448801743,7344,10178
33,R3m | 3a 3a 3a 3a,0.9819587628865979,5432,7608
34,I4/mmm | 2a 2b 4d,0.8667195557318524,7563,10413
35,Pa-3 | 4a 8c,0.09778440562420111,4694,6417
36,Pmmm | 1a 1d 1f 1g,0.6761282660332542,8420,11403
37,F-43m | 4a 4b 4c 4d,0.6657721122665772,8943,12724
38,F-43m | 4a 4b 4c 4d,0.997826761875194,9663,13020
39,Pm-3m | 1a 1b 3d,0.2741001241208109,4834,8207
40,F-43m | 4a 4b 4c 4d,0.9859018510546707,9292,14353
41,Imm2 | 2a 2a 2b 2b,0.4666796951338675,10234,13762
42,P3m1 | 1a 1b 1c,0.9279297672519395,4898,6810
43,Pmmm | 1a 1d 1f 1g,0.6148433351035582,7532,10641
44,I4mm | 2a 2a 2a,0.7914071437650947,7867,9794
45,I-43m | 2a 8c 24g 24g,0.20289571512424184,5111,7102
46,P4/mmm | 1a 1c 2e,0.5346339324857519,9124,12765
47,I-4m2 | 2a 2b 2c 2d,0.9914856860809477,8104,10671
48,Pm | 1a 1a 1b 1b,0.831496062992126,6350,9107
49,Cm | 2a 2a 2a 2a,0.9779552449879377,12021,14288
50,F-43m | 4a 4b 4c 4d,0.9954193093727978,11352,15607
51,P4/mmm | 1a 1c 2e,0.4524517087667162,10768,14875
52,Cm | 2a 2a 2a 2a,0.9974577810059924,11014,13050
53,R-3m | 3a 3b 6c,0.9320074005550416,6486,8787
54,Cmcm | 4c 4c 8g,0.05928735402734804,10019,12573
55,Imm2 | 2a 2a 2b 2b,0.505362836989081,10349,14092
56,Cm | 2a 2a 2a 2a,0.9793880425041608,7811,9391
57,Imm2 | 2a 2a 2b 2b,0.4654707686587973,10759,14969
58,F-43m | 4a 4b 4c 4d,0.4851720047449585,7587,10309
59,P4mm | 1a 1a 1b 1b,0.9078766695793284,8011,11019
60,Fm-3m | 4a 4b 8c,0.8544802867383513,1395,12480
61,I4mm | 2a 2a 2a,0.7721751932278248,8151,10278
62,C2/m | 4i 4i 4i,0.09828844701736723,7946,9967
63,Pmm2 | 1a 1a 1d 1d,0.7873936246934948,6933,9474
64,Immm | 2a 2c 4j,0.46607608129233974,9595,12811
65,F-43m | 4a 4c 16e,0.816319018404908,8150,11586
66,R-3m | 3a 9e,0.19421063436665983,4871,6260
67,F-43m | 4a 4b 4c 4d,0.9971142420641657,11782,16983
68,Pmmm | 1a 1d 1f 1g,0.6575315457413249,10144,14137
69,F-43m | 4a 4c 16e,0.8579909389157944,6401,9110
70,P4mm | 1a 1a 1b 1b,0.8629137987545067,12204,16667
71,C2/m | 2a 2d 4i,0.533245001204529,8302,10431
72,Cm | 2a 2a 2a 2a,0.9782531510740281,11266,13284
73,C2/m | 2a 2d 4i,0.7719430666379125,9274,11289
74,I4/mmm | 2a 2b 4d,0.7088218335575629,5203,7109
75,Pm | 1a 1a 1b 1b,0.988280369619112,8874,12323
76,I4/mmm | 2a 8h 8i,0.19325445396436827,7353,9905
77,I4/mmm | 2a 8h 8i,0.18064014513411947,7717,9730
78,Pmmm | 1a 1d 1f 1g,0.6504592774035517,8165,11463
79,Fm-3m | 4a 4b 8c,0.9277411247251021,3183,13180
80,C2/m | 2a 2d 4i,0.5487140366172624,9176,11722
81,P4/mmm | 1a 1c 2e,0.5133041735010023,10974,14600
82,F-43m | 4a 4c 16e,0.8905859117840684,7595,10511
83,I-43m | 2a 8c 24g 24g,0.2922146238821673,3802,5239
84,C2/m | 2a 2d 4i,0.6987354750512645,11704,14396
85,P4mm | 1a 1a 1b 1b,0.8053348467650397,7048,9666
86,P3m1 | 1a 1b 1c,0.7589285714285714,5040,7069
87,P-6m2 | 1a 1c 1f,0.629942487419123,5564,7704
88,R-3m | 3a 3b 6c,0.9565943238731218,8386,11327
89,P2/m | 1a 1g 2n,0.43109838274932616,5936,8161
90,Imm2 | 2a 2a 2b 2b,0.34617585351897767,10486,14617
91,P2/m | 1a 1g 2n,0.556046511627907,8600,12005
92,Cmmm | 2a 2b 4f,0.6200066028392208,9087,12225
93,Pm-3n | 2a 6c,0.15266230320183974,5653,8274
94,I-4m2 | 2a 2b 2c 2d,0.9721260102259608,6063,8610
95,P4/mmm | 1a 1c 2e,0.52033603114435,9761,13309
96,P3m1 | 1a 1b 1c,0.9397565071368598,4764,6477
