cluster_id,dominant_space_group_symbol,fraction
0,Cmmm,0.46925933811179715
1,Pmmm,0.9429396308430921
2,F-43m,0.9882616231871338
3,Cmm2,0.3542776298268975
4,R3m,0.9611168284934449
5,C2/m,0.8111537400636927
6,I4mm,0.5174588107668316
7,P2/m,0.9751947519475195
8,P6_3/mmc,0.15444157758938445
9,F-43m,0.9969223631302196
10,R-3m,0.9790682903929528
11,P4mm,0.8872280896327477
12,Pm,0.9862063709800335
13,Cmmm,0.39759036144578314
14,Cm,0.9882883880613544
15,I4/mmm,0.5066736002773444
16,Imm2,0.4798539751216874
17,Pm,0.9913224059927316
18,P3m1,0.6994439400817067
19,F-43m,0.9994438691366547
20,P6_3/mmc,0.31632905574999115
21,I4/mmm,0.9910152740341419
22,Cm,0.9919293302811528
23,P4/mmm,0.8729244244595892
24,F-43m,0.9917661409776074
25,Fm-3m,0.9492905326820191
26,I-4m2,0.8007412734413896
27,P2/m,0.9828865852910508
28,P4/mmm,0.8978012473255338
29,P3m1,0.8050059297172462
30,P-6m2,0.3735930188440622
31,Immm,0.4974022655651137
32,Pmmm,0.9244193293721693
33,Pmmm,0.909724221313835
34,Cm,0.22457328255043024
35,R-3m,0.9770007040600798
36,Pmm2,0.9544669831678895
37,Imm2,0.470897688400539
38,F-43m,0.994097231710983
39,I4/mmm,0.9816476725770891
40,Cmmm,0.5251958603346552
41,Fm-3m,0.9480890052356021
42,F-43m,0.9880938664208626
43,Imm2,0.5946354467254789
44,P4mm,0.8508124455379569
45,Fm-3m,0.19341271575267643
46,I-4m2,0.9478423264189956
47,Pmm2,0.9609685926636298
48,C2/m,0.8962771950028791
49,R-3m,0.9231542327019714
