cluster_id,dominant_point_group,fraction
0,mm2,0.7712596096984033
1,m-3m,0.5302772097250625
2,4mm,0.4282037431285946
3,mm2,0.28636654186832255
4,-43m,0.9962228293146455
5,mmm,0.5736456915891287
6,4/mmm,0.5617602532342417
7,m,0.9486291365855695
8,-3m,0.7828407498832477
9,4mm,0.36535135984908035
10,2/m,0.4105942588143942
11,2/m,0.7008454005189587
12,4/mmm,0.4657825924542398
13,-43m,0.7813122563880468
14,-43m,0.99583945732052
15,4/mmm,0.24726062036412677
16,mmm,0.3710307403321506
17,2/m,0.2716608010725658
18,m,0.7572479291630962
19,4/mmm,0.4709766782631104
20,4/mmm,0.869104592116319
21,mmm,0.5012558585152386
22,4/mmm,0.7762046400951814
23,-43m,0.9916333725029377
24,-42m,0.5248230668414154
25,4/mmm,0.86835980977436
26,m,0.34789579158316636
27,m-3m,0.7271817547125902
28,mm2,0.768208772803404
29,m,0.9489521995150676
30,mmm,0.2771273163086568
31,2/m,0.5577478077478077
32,4/mmm,0.49306868304977947
33,m-3m,0.46482753685415773
34,2/m,0.478110389216103
35,-42m,0.5360139042080283
36,m,0.6760523050491553
37,mm2,0.8232395628023652
38,m,0.9213013168086754
39,mmm,0.4684266383656142
40,-43m,0.7965832543605768
41,4mm,0.6064252966558792
42,mmm,0.587638285262742
43,3m,0.39493269479679005
44,4mm,0.7009051434163048
45,6/mmm,0.22739644004136955
46,-3m,0.8751271940981938
47,mmm,0.5648518928743859
48,-43m,0.9994739841318546
49,-3m,0.8223976152569358
