cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,Imm2 | a b,0.34948786417440514,25091,33820
1,F-43m | a c e,0.5982246709519436,16335,35208
2,P4mm | a b,0.4278751565015203,22364,31471
3,Pmm2 | a d,0.23779354620712959,23676,32853
4,F-43m | a b c d,0.9588474665266474,30472,42095
5,C2/m | i,0.09387889013873266,21336,27191
6,I4/mmm | a b d,0.5070549242424243,21120,29064
7,Cm | a,0.9459242538249311,19935,23963
8,R-3m | a b c,0.7743816334897281,21953,29978
9,P4mm | a b,0.35996029691006387,23172,31805
10,P2/m | a g n,0.23170772808466178,29671,41211
11,C2/m | a d i,0.4732600341588386,18736,23894
12,I4/mmm | a b d,0.4244162841748154,20044,26770
13,F-43m | a c e,0.6343819590377318,31883,46180
14,F-43m | a b c d,0.9842137812062625,30723,44225
15,P4/mmm | a e,0.09511462077906771,16969,23728
16,R3m | a,0.2616179702124196,24574,33539
17,Cm | a,0.1391498625114574,17456,23868
18,Cm | a,0.7530807082474661,23777,28008
19,I4/mmm | a b d,0.43293190278081894,22835,31044
20,P4/mmm | a c e,0.5259355874385472,19934,27373
21,Immm | a c j,0.24651543165979234,28124,38619
22,P4/mmm | a c e,0.5673082225776209,18133,25215
23,F-43m | a b c d,0.9696487697201844,30806,42550
24,I-4m2 | a b c d,0.5176809354918004,28477,38150
25,P4/mmm | a c e,0.5341420825291793,21762,29649
26,Pm | a b,0.3514901216653644,17918,24950
27,F-43m | a c e,0.5635861863205788,13407,42970
28,Imm2 | a b,0.3225411380479839,31844,44182
29,Pm | a b,0.944978003593779,16139,23096
30,P-3m1 | a d,0.045938328215051956,23771,32541
31,C2/m | a d i,0.37440741400819816,28055,36036
32,R-3m | a b c,0.16327686524895732,19421,25392
33,Im-3m | a c,0.08100896183667304,19862,27948
34,P2/m | a g n,0.28505459410469985,23171,32938
35,I-4m2 | a b c d,0.5241485387826851,22755,29919
36,Pm | a b,0.6703339541733443,23087,31431
37,Imm2 | a b,0.31729566094853684,24775,33486
38,Cm | a,0.9201098146877145,21855,25820
39,C2/m | a d i,0.2617420450093588,22973,30152
40,F-43m | a c e,0.7369485431802861,26702,39043
41,P4mm | a b,0.6150815721171672,21576,29664
42,Immm | a c j,0.3500878853434289,29584,40496
43,P3m1 | a b c,0.392858740883261,22349,30904
44,P4mm | a b,0.7045662480246195,24046,32702
45,I-43m | a c g,0.0484790197335613,28074,36742
46,R-3m | a b c,0.846526438534332,22297,31448
47,Cmmm | a b f,0.23410393795196524,26689,35211
48,F-43m | a b c d,0.9967151266790256,30747,45626
49,R-3m | a b c,0.7870093373220923,22062,29521
