cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
0,P4/mmm | 1a 1c 2e,0.8546036652682711,9058,12237
1,I4/mmm | 2a 4e,0.11603305785123967,6050,7855
2,Pmm2 | 1a 1a 1d 1d,0.5522368246382583,7533,10450
3,F-43m | 4a 4b 4c 4d,0.9911441728657456,11292,15405
4,R-3m | 3a 3b 6c,0.9637454000272591,7337,9853
5,Cm | 2a 2a 2a 2a,0.9880285277636272,7852,9289
6,F-43m | 4a 4c 16e,0.9269406392694064,8541,12381
7,C2/m | 2a 2d 4i,0.4096635926743733,7699,9912
8,Cmm2 | 2a 2a 2b 2b,0.4466091770467369,9393,12722
9,Immm | 2a 2c 4j,0.4642776650890241,8874,11975
10,Imm2 | 2a 2a 2b 2b,0.33568376068376066,9360,12706
11,Pmmm | 1a 1c 2t,0.40478333547640477,7777,10930
12,I-4m2 | 2a 2b 2c 2d,0.9068575932737782,7612,10233
13,P4mm | 1a 1a 1b 1b,0.8287977953840854,8709,11891
14,Imm2 | 2a 2a 2b 2b,0.44805257562578527,10347,14397
15,C2/m | 2a 2d 4i,0.11615956727518593,7395,9859
16,F-43m | 4a 4b 4c 4d,0.9996294374861039,13493,19062
17,F-43m | 4a 4b 4c 4d,0.840221826933138,9557,13724
18,Pm | 1a 1a 1b 1b,0.9795629820051414,7780,10758
19,F-43m | 4a 4c 16e,0.8111905658010288,7971,11318
20,P4/mmm | 1a 1c 2e,0.5185349940688019,6744,9216
21,C2/m | 2a 2d 4i,0.5279831045406547,8523,10525
22,P4mm | 1a 1a 1b 1b,0.7930932266192382,6747,9458
23,Cm | 2a 2a 2a 2a 2a 2a,0.2346484722634233,6742,9115
24,Immm | 2a 2c 4j,0.7757177033492823,8360,11394
25,I-4m2 | 2a 2b 2c 2d,0.9281198003327787,9015,12462
26,R3m | 3a 3a 3a 3a,0.9344371968556615,5979,8126
27,Cm | 2a 2a 2a 2a 2a 2a,0.168141592920354,6328,8738
28,Pm-3n | 2a 6c,0.11061658706035606,9212,12410
29,R-3m | 3a 9e,0.15531765531765532,5698,7350
30,Pmm2 | 1a 1a 1d 1d,0.8448323254535459,7276,10000
31,P2/m | 1a 1g 2n,0.6439263478606438,7549,10525
32,Pm | 1a 1a 1b 1b,0.912012987012987,6160,8871
33,I4/mmm | 2a 2b 4d,0.8765903307888041,7860,10895
34,F-43m | 4a 4b 4c 4d,0.9997185212985551,10658,16664
35,F-43m | 4a 4b 4c 4d,0.9915317745803357,13344,18264
36,Pm-3m | 1a 1b 3d,0.25294705294705294,5005,7704
37,C2/m | 2a 2d 4i,0.4680891598399695,10498,13621
38,P4/mmm | 1a 1b 2h,0.6526740364505528,6694,9166
39,Cmmm | 2a 2b 4f,0.5961236249345206,7636,10240
40,Cm | 2a 2a 2a 2a,0.9926783585901584,5873,6955
41,Pmmm | 1a 1d 1f 1g,0.6738038593708697,7566,10566
42,I-4m2 | 2a 2b 2c 2d,0.995429508965194,8533,11615
43,F-43m | 4a 4c 16e,0.8621659634317862,7821,12656
44,Pmmm | 1a 1d 1f 1g,0.24871001031991744,7752,10524
45,I4_1/amd | 4a 8e,0.07736077481840194,8260,11300
46,Fd-3m | 16c 32e 48f,0.11031375166889186,5992,8706
47,P3m1 | 1a 1b 1c,0.7557251908396947,6812,9513
48,F-43m | 4a 4b 4c 4d,0.9751153192522457,8238,12397
49,P4mm | 1a 1a 1b 1b,0.7947532961805084,7357,10308
50,Cmmm | 2a 2b 4f,0.8758119984715322,7851,10745
51,Fm-3m | 4a 4b 8c,0.6473189607517966,1809,15095
52,R-3m | 3a 3b 6c,0.921406411582213,7736,10049
53,Pmmm | 1a 1d 1f 1g,0.6537102473498233,9339,13151
54,Imm2 | 2a 2a 2b 2b,0.37971552257266544,9702,13532
55,P2/m | 1a 1g 2n,0.6204641620720606,7799,10624
56,Imm2 | 2a 2a 2b 2b,0.40483946021405304,6447,8959
57,P4/mmm | 1a 1b 2h,0.5264884568651276,8230,11332
58,R3m | 3a 3a 3a 3a,0.9763674480655613,5247,7389
59,P3m1 | 1a 1b 1c,0.8369172814314865,6371,8782
60,Fm-3m | 4a 4b 8c,0.682818156502367,3591,16160
61,P4mm | 1a 1a 1b 1b,0.7671194114318053,7068,9741
62,Cmm2 | 2a 2a 2b 2b,0.3539429124334785,10335,14354
63,Cm | 2a 2a 2a 2a,0.9935275080906149,8034,9478
64,I-43m | 2a 8c 24g 24g,0.31423785594639864,5970,8440
65,Pmmm | 1a 1d 1f 1g,0.2795870714022367,8137,11396
66,F-43m | 4a 4c 16e,0.976806125846188,9011,12747
67,I-4m2 | 2a 2b 2c 2d,0.9009134003931091,8649,11717
68,P2/m | 1a 1g 2n,0.5887445887445888,8547,12165
69,F-43m | 4a 4c 16e,0.8058206853387576,6391,10055
70,Cmmm | 2a 2b 4f,0.7969860328350894,8162,11002
71,P-3m1 | 1a 2d,0.11712338294616775,7189,8921
72,Pm | 1a 1a 1b 1b,0.8795264623955432,5744,7921
73,I4/mmm | 2a 2b 4d,0.4792853842599723,6493,9034
74,Imm2 | 2a 2a 2b 2b,0.33024414549078224,10035,13874
75,R-3m | 3a 3b 6c,0.9945744320108512,8847,12490
76,Immm | 2a 2c 4j,0.645336627547869,8095,11032
77,P-3m1 | 1a 2d,0.08096868884540118,8176,11149
78,Imm2 | 2a 2a 2b 2b,0.34074790457769183,9306,12739
79,F-43m | 4a 4b 4c 4d,0.9887938661161899,10173,13718
80,C2/m | 2a 2d 4i,0.5287272727272727,6875,8543
81,Pm | 1a 1a 1b 1b,0.9898598270205786,6706,9260
82,F-43m | 4a 4b 4c 4d,0.9608554663372452,12952,17932
83,Pmmm | 1a 1d 1f 1g,0.7714903357070193,7864,10810
84,R-3m | 3a 3b 6c,0.969207723035952,6008,8214
85,P4mm | 1a 1a 1b 1b,0.7976871101871101,7696,10265
86,Pm | 1a 1a 1b 1b,0.9948358050847458,7552,10854
87,I4/mmm | 2a 2b 4d,0.6387319522912743,6372,8729
88,P4mm | 1a 1a 1b 1b,0.6480641258318209,6612,8978
89,Imm2 | 2a 2a 2b 2b,0.3816793893129771,9563,13192
90,Cm | 2a 2a 2a 2a 2a 2a,0.0908929836995039,5644,7838
91,C2/m | 2a 2d 4i,0.8320013749248087,11637,13941
92,Fm-3m | 4a 4b 8c,0.7423675115207373,6944,11794
93,I4mm | 2a 2a 2a,0.8637066831683168,6464,8086
94,I-4m2 | 2a 2b 2c 2d,0.9445494048743623,10586,14351
95,I4/mmm | 2a 8h 8i,0.12487449799196787,7968,11550
96,R-3m | 3a 3b 6c,0.9975869951739903,7874,11234
97,Immm | 2a 2c 4j,0.5496427691549642,8118,11072
98,Cm | 2a 2a 2a 2a,0.8858625162127107,6168,7451
99,P4/mmm | 1a 1c 2e,0.8250894288886148,8107,11052
100,C2/m | 2a 2d 4i,0.07354988399071925,8620,10788
101,P4/mmm | 1a 1c 2e,0.5723537030495702,8493,11937
102,R3m | 3a 3a 3a 3a,0.924379677038204,5078,6817
103,I4/mmm | 2a 2b 4d,0.8587570621468926,7788,10488
104,P6_3/mmc | 4e 4f 4f 6g 6h,0.08239095315024232,7428,9490
105,I-4m2 | 2a 2b 2c 2d,0.5385572139303483,6432,8742
106,Cm | 2a 2a 2a 2a,0.9875900107246821,6527,7816
107,Cm | 2a 2a 2a 2a,0.9719397605869481,7769,9143
108,I4mm | 2a 2a 2a,0.8028038619230261,7561,9381
109,Imm2 | 2a 2a 2b 2b,0.3602544599640437,7231,9706
110,Cmmm | 2a 2b 4f,0.15345679012345678,8100,10408
111,Pmmm | 1a 1d 1f 1g,0.6722915138175594,8178,11628
112,I4/mmm | 2a 2b 4d,0.928588263021447,8486,11541
113,R-3m | 3a 3b 6c,0.9907718120805369,8344,11547
114,I4/mmm | 2a 8h 8i,0.055363764224523715,7821,9978
115,P4mm | 1a 1a 1b 1b,0.878927203065134,7830,10932
116,Fm-3m | 4a 4b 8c,0.8727865796831314,6438,10040
117,Pmm2 | 1a 1a 1d 1d,0.6304688861774447,5737,7604
118,R-3m | 3a 3b 6c,0.9937332139659804,10053,14021
119,Immm | 2a 2c 4j,0.6001818388453233,8799,12270
120,Cm | 2a 2a 2a 2a,0.9850512528473804,7024,8350
121,P4/mmm | 1a 1c 2e,0.6774766770324301,6753,9329
122,F-43m | 4a 4b 4c 4d,0.9873294346978557,9234,13545
123,F-43m | 4a 4c 16e,0.9608902132414564,10739,15050
124,C2/m | 2a 2d 4i,0.846305533000812,8621,10380
125,P4/mmm | 1a 1b 2h,0.3988329916416969,6341,8860
126,P4/mmm | 1a 2e,0.18862491000719941,5556,7980
127,Cm | 2a 2a 2a 2a 2a 2a,0.33634719710669075,3871,4864
128,P4mm | 1a 1a 1b 1b,0.8611599297012302,8535,11724
129,F-43m | 4a 4b 4c 4d,0.7732875088883622,8438,11653
130,F-43m | 4a 4c 16e,0.9076461769115443,10005,13926
131,I4/mmm | 2a 2b 4d,0.9299957118353345,9328,12779
132,Cm | 2a 2a 2a 2a,0.9984462770407554,8367,9845
133,P2/m | 1a 1g 2n,0.6803646754660498,7349,10528
134,Fm-3m | 4a 4b 8c,0.711891042430592,3818,15228
135,Imm2 | 2a 2b 4d,0.07131242740998839,8610,11565
136,P3m1 | 1a 1b 1c,0.9677614346161596,4963,6840
137,R-3m | 3a 3b 6c,0.3040591805766313,5272,6802
138,F-43m | 4a 4b 4c 4d,0.9992381919756221,11814,16979
139,I4mm | 2a 2a 2a,0.8376979771052219,6377,7913
140,Immm | 2a 2c 4j,0.668505022651172,10154,13949
141,F-43m | 4a 4b 4c 4d,0.8974527887571366,9108,12995
142,P-6m2 | 1a 1b 2h,0.20539789640801748,5039,6663
143,I4/mmm | 2a 4e,0.08136835675015272,8185,10244
144,P-6m2 | 1a 1c 1f,0.31689243950445756,8637,11981
145,Pmm2 | 1a 1a 1d 1d,0.6725585505965532,6789,9296
146,C2/m | 2a 2d 4i,0.37621647282221693,8426,10757
147,Pm | 1a 1a 1b 1b,0.7903103709311128,6605,9023
148,Imm2 | 2a 2a 2b 2b,0.377711044377711,8991,12153
149,Immm | 2a 2c 4j,0.5933225474334461,6799,9033
