cluster_i,cluster_k,epsilon
0,1,3.746314523877157e-30
0,2,2.327843021256506e-30
0,3,0.0
0,4,7.083169462711895e-30
0,5,1.0793402790928695e-30
0,6,5.910110406179321e-16
0,7,2.521661765221727e-30
0,8,3.3220501553092227e-31
0,9,3.733695960485715e-30
0,10,1.2105681711514216e-30
0,11,2.4607414849240157e-30
0,12,2.6812333498257672e-30
0,13,2.1941507244848206e-30
0,14,2.244317289788538e-15
0,15,1.0469559896663985e-29
0,16,2.0601819126682187e-30
0,17,7.607758469123673e-31
0,18,3.898430637383482e-30
0,19,2.089371830247712e-30
0,20,7.559016492330417e-16
0,21,2.861366968157288e-30
0,22,2.7492970751255e-30
0,23,5.738956029959334e-31
0,24,2.2933553133192803e-30
0,25,1.7469270456024423e-30
0,26,1.6493336799610786e-30
0,27,1.6610437901324672e-30
0,28,1.554497301458237e-30
0,29,4.8413380008692055e-30
0,30,8.783667644535419e-31
0,31,3.842399072688274e-30
0,32,8.665387081863711e-31
0,33,1.5983247237123633e-16
0,34,8.609628370087631e-32
0,35,5.047370950993532e-30
0,36,2.5791819919915544e-30
0,37,5.926215540184864e-30
0,38,4.765726223915931e-30
0,39,1.816785224268959e-30
0,40,1.9917711040644212e-30
0,41,2.1678456202042665e-30
0,42,5.4522894700779284e-30
0,43,3.6294499984965804e-30
0,44,5.000940314989078e-16
0,45,4.2421159477802206e-30
0,46,1.989016936291955e-30
0,47,1.5369699888308079e-30
0,48,4.4587111042083155e-30
0,49,3.1514996877729624e-30
0,50,9.67339025892415e-31
0,51,5.459392786346093e-16
0,52,4.7785676675072955e-30
0,53,4.446271942560167e-31
0,54,1.2328371170744729e-30
0,55,2.8245719205181448e-30
0,56,1.7217320470670376e-30
0,57,1.0972136900138761e-30
0,58,1.0131728588493968e-30
0,59,9.131700360445059e-31
0,60,1.3006938086924691e-30
0,61,3.483434063466091e-30
0,62,1.2547699906901517e-16
0,63,9.434422027713215e-31
0,64,1.8356658390850763e-30
0,65,1.9609507042896504e-30
0,66,5.9061454004535215e-30
0,67,3.4593529613224105e-30
0,68,3.353939937699917e-30
0,69,3.940690297296984e-30
0,70,1.682838197635669e-30
0,71,2.4142112692649313e-30
0,72,2.920959782358604e-30
0,73,2.9257245299137768e-30
0,74,3.8381849653409945e-30
0,75,3.799569711794406e-30
0,76,1.8823577957520848e-30
0,77,2.728477830264531e-30
0,78,2.8969888383711747e-30
0,79,4.396874153865295e-30
0,80,2.5345728880034137e-30
0,81,1.0297611898236933e-30
0,82,4.851526746034854e-30
0,83,1.9443958926970757e-30
0,84,5.894408980216944e-31
0,85,1.7931242196333625e-30
0,86,2.0531169140927196e-30
0,87,2.923698351557429e-30
0,88,2.1770432786363565e-30
0,89,1.1708752527448272e-30
0,90,3.7101208276840966e-30
0,91,3.283534158482732e-16
0,92,2.2564974025396216e-30
0,93,1.6046126479920977e-30
0,94,4.731819253880938e-30
0,95,3.370868543740975e-30
0,96,1.9232481481807612e-30
0,97,1.5419453521742367e-30
0,98,5.127551869883792e-30
0,99,9.794762237558662e-31
0,100,2.4105084592377374e-30
0,101,2.620727296526211e-30
0,102,1.1309605503759425e-30
0,103,1.1508579488966273e-30
0,104,3.39770413199752e-30
0,105,2.1195654220921605e-30
0,106,2.5569595223783397e-30
0,107,3.071603471823086e-30
0,108,4.1236706101923064e-30
0,109,3.0665977053354233e-30
0,110,2.897647897464095e-30
0,111,1.5996608567294027e-30
0,112,4.960681131268227e-31
0,113,2.8183644740836577e-30
0,114,2.2731972788060388e-30
0,115,3.906259913420469e-30
0,116,2.7737183548271593e-30
0,117,1.2348768245134183e-30
0,118,3.3189135981356796e-30
0,119,5.289968061524199e-16
0,120,2.6694598753064657e-16
0,121,2.2196924291812084e-30
0,122,2.140210600058031e-30
0,123,3.178905055501825e-30
0,124,8.606038209623083e-32
0,125,1.2031998579140373e-30
0,126,2.1974958251477156e-30
0,127,3.303590041208736e-30
0,128,4.380923621564458e-30
0,129,4.039224979505735e-30
0,130,3.224085847854903e-30
0,131,2.4282312747111786e-30
0,132,1.0430407748304608e-30
0,133,1.3644808863550159e-30
0,134,2.3323569976475247e-30
0,135,7.863322080219777e-31
0,136,4.052983838718472e-30
0,137,2.841036182154084e-30
0,138,3.644749301000838e-30
0,139,2.3862693700071298e-30
0,140,1.0173356524470252e-29
0,141,2.4490177887498337e-30
0,142,1.640124595574102e-30
0,143,4.6951004327312196e-30
0,144,2.902239331364758e-30
0,145,1.396715918989931e-30
0,146,1.6430527306443735e-30
0,147,2.387845430603036e-30
0,148,1.2403470823943655e-30
0,149,1.8786129137101576e-30
1,2,2.038881350729812e-30
1,3,0.0
1,4,5.39101570933713e-30
1,5,6.642902173267937e-31
1,6,1.248705580979825e-16
1,7,1.8755653253147952e-30
1,8,4.0936038757682625e-31
1,9,2.753142479651378e-30
1,10,1.0198087586857936e-30
1,11,1.7152046535696586e-30
1,12,2.124291784490881e-30
1,13,1.7621872521664547e-30
1,14,1.7406339532224559e-15
1,15,8.355975000437458e-30
1,16,1.5128604321743044e-30
1,17,6.733739411384212e-31
1,18,3.04890450843784e-30
1,19,1.6163735050461277e-30
1,20,7.378184978998616e-16
1,21,1.808053650309582e-30
1,22,2.197795250623363e-30
1,23,5.33572927801481e-31
1,24,1.61228730066126e-30
1,25,1.4591820898094036e-30
1,26,1.1087471604761406e-30
1,27,1.2026747900474614e-30
1,28,1.340703159669191e-30
1,29,3.547102715914709e-30
1,30,7.938084936516114e-31
1,31,2.5309539938556545e-30
1,32,5.650585640352468e-31
1,33,3.45189221873481e-30
1,34,6.533804158441216e-32
1,35,3.831476761530147e-30
1,36,2.077738984540727e-30
1,37,3.814124515085466e-30
1,38,3.6124332709266445e-30
1,39,1.1553215097652699e-30
