cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,R-3m | a b c,0.8319057815845824,8406,11469
1,P4mm | a b,0.7508116883116883,7392,10190
2,F-43m | a c e,0.9330622458554895,9591,13309
3,Imm2 | a b,0.508739461237919,9726,13578
4,Fm-3m | a b c,0.9260333575054387,2758,9602
5,P4mm | a b,0.29419739696312364,7376,10161
6,Cmmm | a b c d i j k l n r,0.2043982895540623,8185,10649
7,Pm-3m | a b d,0.25024098708309234,5187,8401
8,I4/mmm | a b d,0.730604240715774,8159,10987
9,F-43m | a b c d,0.7701011073663938,8308,11527
10,P2/m | a g n,0.3637003165670067,8529,11907
11,F-43m | a b c d,0.9968183571153104,10372,15851
12,Cmmm | a b f,0.49244301288404363,8072,10782
13,C2/m | a d i,0.48420573509330905,10985,14183
14,R-3m | a b c,0.9664115160516394,8753,12307
15,F-43m | a b c d,0.9896890476577088,12317,16935
16,I4/mmm | a b d,0.4907337367624811,5288,7194
17,Pm | a b,0.9020807833537332,6536,9031
18,C2/m | a d i,0.633562611891077,10613,13156
19,I-4m2 | a b c d,0.7058159232072275,5313,7424
20,P4/mmm | a c e,0.8429894802951797,6369,8660
21,Pnma | c d,0.0749661705006766,7390,9959
22,Cm | a,0.9050312593033641,6718,8186
23,P3m1 | a b c,0.6717431570281951,4859,6700
24,F-43m | a c e,0.91212487064505,11596,16428
25,P4mm | a b,0.3934233705226072,8515,11481
26,P2/m | a g n,0.41214387005285547,7757,10893
27,Pmmm | a d f g,0.9539031417204006,7289,10478
28,P4mm | a b,0.6871930034743021,8347,11426
29,R-3m | a b c,0.9837837837837838,9250,13199
30,Cmmm | a d l,0.23042853722767537,8354,10744
31,Imm2 | a b,0.4835314091680815,8835,12391
32,C2/m | a d i,0.44059024336526814,9081,11361
33,Immm | a c j,0.6832055936533549,7437,10117
34,P2/m | a g n,0.37362920913430525,7751,10353
35,R-3m | a b c,0.9073783359497645,7644,10270
36,P4mm | a b,0.5577179418821647,7502,10101
37,F-43m | a c e,0.9445222038427281,7859,11121
38,C2/m | a d i,0.36012572968118545,8908,11474
39,F-43m | a b c d,0.6949802176063303,8088,11581
40,Cmmm | a b f,0.5484239959328927,7868,10622
41,P6/mmm | a d,0.08268212755230653,7934,10904
42,Fm-3m | a b c,0.8790419161676647,3340,13278
43,P4/mmm | a c e,0.5016935644550707,5019,6914
44,F-43m | a b c d,0.999278304014434,11085,15386
45,F-43m | a b c d,0.9993066789923735,12981,18674
46,Immm | a c j,0.5865688630327558,7907,10851
47,Fm-3m | a b c,0.8269914651493598,5624,8741
48,P4/mmm | a c e,0.845483259633607,7915,10999
49,P-6m2 | a b h,0.20003704389701796,5399,7163
50,I4mm | a,0.57489437099632,7337,9403
51,Immm | a c j,0.22681843420322043,7204,9719
52,P2/m | a g n,0.21373184830114197,7093,9835
53,Pm | a b,0.8374213836477987,6360,8961
54,Imm2 | a b,0.2099709271024012,9287,12770
55,Fd-3m | c e f,0.15213629708505258,7513,10917
56,C2/m | i,0.0618086440871251,8769,11334
57,Cm | a,0.17782834850455137,9228,12819
58,Cmm2 | a b,0.6481680208493025,6523,8810
59,P2/m | a g n,0.3688073394495413,9265,12819
60,I4/mmm | a b d,0.7757815815532607,7069,9842
61,Cm | a,0.9618062666393611,9766,11611
62,Cmmm | a b f,0.4884461211978307,8482,11149
63,P4mm | a b,0.7356119967576331,7402,10168
64,Pm | a b,0.8506734006734007,5940,8038
65,I4/mmm | a b d,0.4941229150341431,8933,12463
66,P4mm | a b,0.6656390134529148,7136,10057
67,Pm | a b,0.8773918342474101,8205,11798
68,I-4m2 | a b c d,0.6402304486393724,8158,11086
69,P4/mmm | a c e,0.864039408866995,8120,10940
70,P4mm | a b,0.6347938144329897,7760,10856
71,Cm | a,0.9114126097366321,8771,10436
72,Cm | a,0.31891242301336936,6657,8931
73,R-3m | a b c,0.9481187193269456,8558,11899
74,Cmm2 | a b,0.28831076265146116,8418,11469
75,I4mm | a,0.61509705248023,6955,8844
76,F-43m | a c e,0.8460101691397738,9637,13497
77,Immm | a c j,0.5207647505697645,7898,10662
78,P3m1 | a b c,0.4615690168818272,5035,7012
79,P4/mmm | a c e,0.8948948948948949,8658,11911
80,Fm-3m | a b c,0.8731729598051157,6568,10097
81,Pm | a b,0.7006207225847525,6283,8732
82,Cmmm | a b f,0.665286534299426,10627,14093
83,P4mm | a b,0.4912569690826153,7892,10777
84,I-43m | a c g,0.11552729199788023,9435,12709
85,Imm2 | a b,0.3013502986237341,7702,10336
86,F-43m | a c e,0.9389789949481521,7522,10718
87,R-3m | a b c,0.5636286079909001,7033,8971
