cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,F-43m | a b c d,0.9886199284463728,26274,39283
1,Imm2 | a b,0.257877474522666,34148,46578
2,Cm | a,0.5555322128851541,28560,36538
3,Fm-3m | a b c,0.6528872789260601,4693,29431
4,Cmmm | a b f,0.32599239782123124,25519,33756
5,I4mm | a,0.16939415699761895,26459,35553
6,R-3m | a b c,0.26636613874815496,25067,32325
7,R-3m | a b c,0.4832141996626777,24902,33485
8,P4mm | a b,0.3018438874882594,20229,27856
9,I-4m2 | a b c d,0.5148426323319027,22368,31037
10,F-43m | a b c d,0.4941016580592552,18395,26491
11,Immm | a c j,0.30110125178260183,25244,34766
12,F-43m | a b c d,0.9848224940334129,26816,36608
13,C2/m | a d i,0.4333574529667149,27640,35618
14,F-43m | a c e,0.9295410775517873,21289,29800
15,P4mm | a b,0.4069069069069069,27306,37151
16,R-3m | a b c,0.6057469864848412,24639,34991
17,Pm | a b,0.341143919415503,23131,31646
18,Cm | a,0.187287260488775,26147,34990
19,I4/mmm | a b d,0.40574598771547454,25235,34329
20,P3m1 | a b c,0.14308418641611742,21393,30092
21,Pmmm | a d f g,0.35837504653952756,24173,33268
22,P4/mmm | a c e,0.43699063037090424,18037,24798
23,I-43m | a c g,0.08367181153533712,29544,40212
24,C2/m | a d i,0.3497408137987981,21799,28223
25,I4/mmm | a h i,0.05905121973174903,22218,28638
26,Pm | a b,0.2323283506460603,23682,31324
27,I4/mmm | a h i,0.06137873754152824,24080,33116
28,F-43m | a c e,0.9154887812592666,20234,28439
29,F-43m | a b c d,0.9930109254498715,24896,35797
30,R-3m | a b c,0.4808734459674849,25096,33885
31,Cmm2 | a b,0.24718768502072233,27024,35968
32,I-4m2 | a b c d,0.3856244209294387,20507,27774
33,Cm | a,0.4702685421994885,21896,28053
34,I4/mmm | a b d,0.3533754408990239,24382,33504
35,I-4m2 | a b c d,0.4801464748963205,22666,30755
36,Cmmm | a b f,0.3213437115936092,24410,32518
37,P4/mmm | a c e,0.49511833563359403,19563,27034
38,F-43m | a b c d,0.9739820324349551,25713,35985
39,Cm | a,0.36687244448007694,24946,32729
40,F-43m | a c e,0.8547932547932547,21645,30109
41,Imm2 | a b,0.1987649964714185,28340,37290
42,F-43m | a b c d,0.5055129882264997,16053,25106
43,Pm | a b,0.16919497024209065,22347,29860
44,Fm-3m | a b c,0.6048376989597694,7979,25767
45,P4mm | a b,0.5301279223643581,22670,31427
46,R-3m | a b c,0.3898498035327384,27231,35965
47,P4mm | a b,0.46096336644237956,28089,38223
48,Pmmm | a c t,0.17635667642422878,22205,31090
49,Imm2 | a b,0.2727201809813558,25638,34508
