cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,P3m1 | a b c,0.4111387016672579,5638,7874
1,R-3m | a b c,0.6384671005061461,6915,8917
2,C2/m | a d i,0.39425287356321836,8700,10728
3,F-43m | a c e,0.8894675925925926,12096,17197
4,Immm | a c j,0.17788515563546467,8899,12125
5,I-4m2 | a b c d,0.6868131868131868,8190,11199
6,P2/m | a g n,0.3646522570210263,6801,9605
7,F-43m | a b c d,0.9911909795630726,8514,12986
8,I4mm | a,0.5344581440622972,7705,9677
9,R-3m | a b c,0.9196145723336854,7576,10658
10,F-43m | a c e,0.9218481447780811,9891,13847
11,Pmm2 | a d,0.5098343685300207,7728,10596
12,I4/mmm | a b d,0.5940940292708199,7721,10498
13,F-43m | a b c d,0.994384236453202,10150,13495
14,R-3m | a b c,0.8092521202775637,6485,9015
15,P4/mmm | a b h,0.6853448275862069,6960,9562
16,F-43m | a b c d,0.9986671744097486,10504,14154
17,P4/mmm | a c e,0.8153795160755718,9051,12606
18,Fm-3m | a b c,0.8837852794687328,3614,15066
19,Imm2 | a b,0.4752924325614705,8378,11876
20,I4/mmm | a h i,0.08835173994582204,9598,12113
21,Pm | a b,0.8238213399503722,6045,8260
22,Cm | a,0.9193904593639576,9056,10752
23,I-4m2 | a b c d,0.6577487362840587,8111,11438
24,Cmmm | a b f,0.42961911521173407,8454,11542
25,Pm | a b,0.6345674617301531,5618,7569
26,Pmmm | a d f g,0.6463300919142134,7507,10418
27,P4mm | a b,0.673516219881089,9587,13124
28,I4/mmm | a b d,0.43659598371015307,7121,9610
29,Cm | a,0.9590224635892373,8102,9659
30,F-43m | a b c d,0.9992803166606693,8337,12344
31,Pmmm | a d f g,0.4851707609346914,6676,9333
32,R-3m | a e,0.2149807233339453,5447,7046
33,Imm2 | a b,0.31261889663918835,7885,10915
34,Cmmm | a b c d i j k l n r,0.17418677859391396,8577,11074
35,P4/mmm | a c e,0.5259179265658748,6482,8992
36,Imm2 | a b,0.437242374278648,9704,13125
37,Fm-3m | a b c,0.8172174622603019,2451,15264
38,P4mm | a b,0.3564025794564717,8684,11809
39,P4mm | a b,0.4221366128315306,6749,9258
40,Cm | a,0.17334703665638918,5838,8048
41,P-6m2 | a c f,0.21667729591836735,6272,9425
42,Cm | a,0.8491645172143097,8917,10717
43,R-3m | a b c,0.6690349319123742,8445,10862
44,P2/m | a g n,0.43619407389918546,8471,11907
45,I-4m2 | a b c d,0.471874604980407,7911,11159
46,Immm | a c j,0.35723598435462844,7670,10140
47,C2/m | a b f,0.32873343352917067,7319,9814
48,Cm | a,0.8969875091844233,6805,8127
49,P6/mmm | a d,0.13803833706746327,8034,10560
50,F-43m | a c e,0.9472173144876325,9056,12767
51,P2/m | a g n,0.40176257128045617,7716,10344
52,P4/mmm | a c e,0.6947118106669686,8831,12248
53,R-3m | a b c,0.5825975505553973,7022,9323
54,F-43m | a b c d,0.9869034406215317,9010,12020
55,F-43m | a b c d,0.6085634994053125,7567,11018
56,I-4m2 | a b c d,0.6127974918056149,7017,9327
57,P4mm | a b,0.3874709976798144,7327,10364
58,R-3m | a b c,0.5345029239766081,6840,9678
59,I4/mmm | a b d,0.552298782649805,8461,11066
60,Cmmm | a b f,0.42300987797791983,8605,11312
61,Immm | a c j,0.23633583896037713,7849,10530
62,P2/m | a c n,0.2602739726027397,7957,10965
63,Cm | a,0.8480417090539166,7864,9523
64,P4mm | a b,0.639901093180635,7684,10585
65,I4/mmm | a b d,0.6314166115884556,9078,12477
66,Pmmm | a d f g,0.27781665500349895,5716,8183
67,I4/mmm | a h i,0.1450509898020396,8335,12232
68,P4/mmm | a c e,0.4882218333557679,7429,10468
69,F-43m | a b c d,0.5776403811068316,9866,13830
70,F-43m | a b c d,0.9823104693140794,8310,11396
71,Imm2 | a b,0.3697377916766899,8314,11342
72,Immm | a c j,0.2748134750169568,8846,11543
73,P2/m | a c n,0.23148408898901718,7102,9757
74,F-43m | a b c d,0.9592187816231532,9882,14307
75,Cmmm | a b f,0.675596749619096,7876,10527
76,P4mm | a b,0.5034207525655644,8770,11805
77,P4/mmm | a b h,0.2923997823326682,5513,7363
78,P3m1 | a b c,0.9184095610204551,4351,5961
79,R-3m | a b c,0.8617731172545281,9441,13566
80,Pmmm | a d f g,0.911486680034374,6982,9884
81,Cm | a,0.34965719882468166,8168,11545
82,C2/m | a d i,0.12710096920623237,8151,10276
83,P4/mmm | a c e,0.6381046722800066,6057,8208
84,Cmmm | a b f,0.4773651751738617,7621,10173
85,I4mm | a,0.5390616650635888,9357,11776
86,Immm | a c j,0.548448314355883,8958,12163
87,F-43m | a c e,0.9151670951156813,8169,11677
88,F-43m | a b c d,0.7271950177066797,8189,11381
89,F-43m | a b c d,0.9560315670800451,7983,12435
90,Pm | a b,0.6972542324655001,7029,9855
91,I4mm | a,0.6495016611295681,7224,9177
92,Fm-3m | a b c,0.7773058252427184,1648,16068
93,I4/mmm | a e,0.17244053774560497,7736,10512
94,Immm | a c j,0.38856462179868967,8395,11528
95,Pm | a b,0.7348884726715478,5873,8264
96,I4/mmm | a b d,0.47393233499722687,7212,9740
97,Cm | a,0.9798193778570632,8969,10591
98,R-3m | a b c,0.8192531374349556,6534,9258
99,Cmmm | a b f,0.49553627561926317,7953,10447
100,Pm | a b,0.38241074353095317,6106,8767
101,C2/m | i,0.07552750936698877,10142,13224
102,P2/m | a g n,0.3581900197349873,7094,10118
103,I-4m2 | a b c d,0.8575537912783339,8691,11704
104,Cmmm | a b f,0.4118570393624728,8282,11309
105,F-43m | a c e,0.8050184755521183,11637,16347
106,Imm2 | a b,0.2797942269219777,6998,9815
107,P4mm | a b,0.588545169244564,8922,12221
108,Fd-3m | c e f,0.12956978388204404,9902,14283
109,C2/m | a d i,0.675104061199235,8889,10869
110,F-43m | a b c d,0.9985166139240507,10112,13540
111,R-3m | a b c,0.7924898600026168,7643,10535
112,Imm2 | a b,0.250477524512925,7853,10387
113,P4mm | a b,0.649836438628929,7031,9922
114,Cmm2 | a b,0.48525,8000,11171
115,P6_3/mmc | b f h k,0.06075268817204301,9300,12125
116,Pm | a b,0.8799604808167298,6073,8720
117,C2/m | a d i,0.3568926695021266,7994,10212
118,F-43m | a b c d,0.9740032495938008,8001,12019
119,Imm2 | a b,0.20527329641223213,8306,11431
120,P-3m1 | a d,0.13758647194465795,6505,8379
121,P3m1 | a b c,0.8994459833795014,3610,4964
122,Cm | a,0.7485827946295376,10055,11988
123,Pm | a b,0.708638826904686,6274,8537
124,I4/mmm | a b d,0.6496571729957806,7584,10540
125,Pm-3m | a b,0.08547008547008547,4095,6513
126,Fm-3m | a b c,0.9058862108542384,6099,9353
127,Pm | a b,0.6901362751460091,6164,8383
128,I-4m2 | a b c d,0.6076057846813069,9335,12767
129,Cm | a,0.1267023346303502,8224,10590
130,I-4m2 | a b c d,0.555505685218432,6684,9067
131,F-43m | a b c d,0.971557032548138,10231,15131
132,Cmcm | c g,0.09824029833352756,8581,11277
133,Pmm2 | a d,0.21901864832694087,7561,10263
134,Cmm2 | a b,0.28621787582442576,8794,11889
135,C2/m | a b f,0.24437416372704052,8221,10616
136,I4/mmm | a h i,0.09333199235643166,9943,12903
137,P4mm | a b,0.5009798865394534,9695,13385
138,F-43m | a b c d,0.80328313661647,7371,10620
139,F-43m | a c e,0.9485150785460383,8721,12141
140,R-3m | a b c,0.8552978056426332,7975,11059
141,Fm-3m | a b c,0.9210479730925828,5649,10956
142,P4/mmm | a c e,0.820675105485232,7584,10236
143,Imm2 | a b,0.38708911831019344,8427,11741
144,P4mm | a b,0.6666234103296133,7706,10476
145,C2/m | a d i,0.5915210203117619,8468,10507
146,P2/m | a g n,0.22811108755564977,9434,12682
147,Immm | a c j,0.23396632031529918,11164,14596
148,Cmm2 | a b,0.4529839883551674,6870,9196
149,P4/mmm | a b h,0.7048249763481551,5285,7345
