cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,Pm | a b,0.6205813040062844,7638,10767
1,P-3m1 | a d,0.09145232527929333,7698,9600
2,Fm-3m | a b c,0.8790887850467289,1712,10334
3,Cmmm | a b f,0.4601584855822144,9086,12194
4,Imm2 | a b,0.3531909418425116,7772,10911
5,Cm | a,0.9083818521366582,9103,10810
6,F-43m | a b c d,0.9791840906978906,10761,15858
7,R-3m | a b c,0.916403785488959,5072,7201
8,Immm | a c j,0.3421158218536846,7477,10204
9,Cmmm | a b f,0.36650669360949734,7918,10367
10,Pmm2 | a d,0.23067331670822944,7218,9853
11,Pmmm | a d f g,0.5255383765875207,7244,10057
12,I-4m2 | a b c d,0.5099561678146525,7985,10864
13,F-43m | a c e,0.5156539459058911,10796,15038
14,P4mm | a b,0.4970252850768468,8068,11098
15,C2/m | a d i,0.662009672219237,7444,9073
16,Imm2 | a b,0.34634476534296027,8864,11948
17,I4/mmm | a b d,0.29732883817427386,7712,10186
18,R-3m | a b c,0.6861424482236067,5939,8481
19,P2/m | a g n,0.2957022929457461,7981,11336
20,I4mm | a,0.6101327553508534,7382,9355
21,Cm | a,0.1392133747722645,9331,11833
22,P4/mmm | a c e,0.41294551413355185,7323,10257
23,P2/m | a g n,0.4035383319292334,8309,11613
24,F-43m | a b c d,0.9884461211978307,8482,11377
25,F-43m | a b c d,0.9962327877370746,7698,11271
26,I4/mmm | a b d,0.4461665066520368,7291,9927
27,Cm | a,0.9051378283939433,7727,9330
28,I-4m2 | a b c d,0.6427496236828901,9965,13613
29,F-43m | a b c d,0.9677348551360843,9112,13472
30,I4mm | a,0.38520089842775146,8014,10170
31,C2/m | a b f,0.23559099626526697,9907,12879
32,Pm | a b,0.8162227278811404,7471,10190
33,Fm-3m | a b c,0.8131015212666873,3221,10899
34,Pmmm | a d f g,0.34366925064599485,5418,7626
35,F-43m | a c e,0.8832580463015246,7084,10158
36,Cmm2 | a b,0.2301189730745147,9582,13055
37,Fm-3m | a b c,0.8829294369208838,5612,8674
38,P2/m | a c n,0.22545008183306056,7332,10089
39,I-4m2 | a b c d,0.4823691039535949,6551,8812
40,Pm | a b,0.5076965746775759,7211,9760
41,P4mm | a b,0.4422748352453014,8194,10970
42,P2/m | a c n,0.28630578132188317,6521,9015
43,Imm2 | a b,0.4400339888322408,8238,11620
44,C2/m | a d i,0.5258702908917501,8388,10511
45,P4/mmm | a c e,0.5842807711319822,8092,11175
46,F-43m | a c e,0.8868586463967256,6841,9435
47,I4/mmm | a h i,0.08030379746835443,9875,12921
48,R3m | a,0.29310344827586204,6670,8398
49,P4mm | a b,0.7320304736667771,9057,12354
50,I4/mmm | a b d,0.4112566575500216,6947,9656
51,Imm2 | a b,0.21746926229508196,7808,10502
52,I4/mmm | a b d,0.43890219995643653,9182,12234
53,R-3m | a b c,0.6563568542119987,6434,8094
54,Pm | a b,0.7644073346430911,6108,8689
55,F-43m | a b c d,0.998588797221016,9212,12311
56,Imm2 | a b,0.33831594795139264,9299,12770
57,P4/mmm | a c e,0.577241787511098,6758,9264
58,Cm | a,0.15673848753696662,7101,9755
59,R-3m | a b c,0.9415049970605526,6804,9485
60,P2/m | a g n,0.21561588512452323,8914,11886
61,C2/m | a d i,0.3993811352966283,9372,11618
62,Pm-3m | a b d,0.18104320184944372,6921,10776
63,Cmcm | c,0.06954570947840717,8915,12076
64,P6/mmm | a c g,0.07151162790697674,8600,10662
65,Pmm2 | a d,0.4784506273867976,7332,10114
66,F-43m | a c e,0.8953345610804174,9774,13810
67,R-3m | a b c,0.9582085665928916,7681,11054
68,Pmmm | a d f g,0.31326460481099655,7275,10387
69,Cmmm | a b f,0.6516080456061095,9297,12439
70,P4/mmm | a b h,0.5819282317336792,6939,9533
71,P4mm | a b,0.2705427265267847,8531,11563
72,F-43m | a b c d,0.9981937231880785,8858,11646
73,F-43m | a b c d,0.9879972086531752,7165,9609
74,I4/mmm | a h i,0.1612531674729325,8682,12740
75,Cm | a,0.950629779577148,8892,10566
76,C2/m | a d i,0.24962360734718458,9963,12679
77,C2/m | a d i,0.24046985815602837,9024,11847
78,I-4m2 | a b c d,0.5656586795019357,9557,13332
79,P4mm | a b,0.43853606027987085,9290,12718
80,P4mm | a b,0.49303581580443434,7036,9602
81,Cmmm | a b f,0.47924941788796055,7301,9741
82,Cm | a,0.8840560723175684,7633,9158
83,R-3m | a b c,0.8557602247892601,6406,8687
84,Imm2 | a b,0.371518527488496,8258,11580
85,I4/mcm | a h,0.060345776896817534,9081,11663
86,Fm-3m | a b c,0.7419493344783169,4658,11325
87,Imm2 | a b,0.22583854462762934,7036,9680
88,I4mm | a,0.6274241670810542,8044,10249
89,F-43m | a b c d,0.508753743377102,8682,12505
90,R-3m | a b c,0.54034184892483,5441,7551
91,Pm | a b,0.6471312105829873,6501,9347
92,P4mm | a b,0.6363636363636364,8217,11316
93,P3m1 | a b c,0.9458874458874459,5082,6901
94,Fm-3m | a b c,0.5835140997830802,1383,11513
95,Cmmm | a b f,0.2443140132061629,8178,10931
96,I-4m2 | a b c d,0.5678770676323774,10217,13976
97,F-43m | a b c d,0.9989253731343284,8375,12409
98,F-43m | a b c d,0.7068568294020845,9115,12804
99,Pm | a b,0.5384017412935324,6432,8712
100,P4/mmm | a c e,0.5359138612511926,7337,10273
101,F-43m | a b c d,0.9754738015607581,6279,9909
102,P4mm | a b,0.42896412037037035,6912,9793
103,I4/mmm | a b d,0.447881005784441,8471,11977
104,P4/mmm | a c e,0.4967770615692376,8998,12296
105,I-43m | a c g,0.0852719333068678,12595,16334
106,Cmm2 | a b,0.26515481901439164,6879,9704
107,P4mm | a b,0.30978822314049587,7744,10632
108,P4/mmm | a c e,0.5595651686652471,8923,12493
109,C2/m | a d i,0.248687928946306,7431,9949
110,R3m | a,0.9665700913750835,4487,6327
111,P3m1 | a b c,0.9477923627684964,3352,4655
112,P2/m | a g n,0.4066687441570583,6418,8910
113,P2/m | a g n,0.3305971924815608,8406,11291
114,I-4m2 | a b c d,0.3522727272727273,9856,12846
115,R-3m | a b c,0.5992673992673992,6825,9108
116,F-43m | a c e,0.8190585158548546,12236,17378
117,I4/mmm | a b d,0.47784882393240463,8758,12017
118,F-43m | a b c d,0.9727401129943503,7080,10967
119,Fm-3m | a b c,0.6817927170868348,1785,12498
120,Imm2 | a b,0.3248245054243778,7835,10788
121,P4mm | a b,0.6466193500186777,8031,10918
122,F-43m | a c e,0.7644973909618982,10157,14266
123,Cm | a,0.7640425303404575,9311,11326
124,F-43m | a b c d,0.9956262001280136,9374,12363
125,Fd-3m | c e f,0.1495572318793047,9147,13314
126,Pm | a b,0.34837209302325584,8600,11933
127,R-3m | a b c,0.9787789748612471,6126,8508
128,Imm2 | a b,0.3464849354375897,11152,15007
129,F-43m | a b c d,0.9755255255255255,6660,9822
130,F-43m | a c e,0.9029245283018867,10600,14882
131,P3m1 | a b c,0.409663204280768,6354,8881
132,R-3m | a e,0.2473229706390328,5790,7560
133,R-3m | a b c,0.8770147161878066,5708,8084
134,Immm | a c j,0.3289066529138731,7756,10661
135,I-4m2 | a b c d,0.42833052276559863,9488,12817
136,Cmmm | a b f,0.1449063620666755,7529,10320
137,P4/mmm | a b h,0.24681684622918706,6126,8119
138,P4mm | a b,0.3293190603627713,6726,9163
139,I4/mmm | a e,0.13798076923076924,8320,11340
140,Cmmm | a b f,0.4408890078993172,7469,10223
141,Cm | a,0.24603467355219477,10844,15158
142,Cmm2 | a b,0.3083609271523179,7248,9482
143,R-3m | a b c,0.8374604847207587,7592,9858
144,Cm | a,0.6947633716045926,10713,12944
145,C2/m | a d i,0.3755202913631634,7688,9769
146,Immm | a c j,0.27521613832853026,8328,11255
147,Cm | a,0.7445120338534779,7562,9261
148,F-43m | a b c d,0.5361588313959469,9721,13715
149,P4/mmm | a c e,0.7269903359410953,8692,12191
