cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,P4mm | a b,0.1282027564517621,21622,29380
1,Cmmm | a b f,0.3122730235589906,21478,29210
2,Immm | a c j,0.1461993627674101,32955,43241
3,Fm-3m | a b c,0.39568907750725935,8954,26561
4,R-3m | a b c,0.7689441619253814,19861,28384
5,Cm | a,0.3464067313439698,21749,28269
6,F-43m | a c e,0.7553686168413933,23656,33685
7,I4/mmm | a b d,0.3677356163389683,27566,37899
8,Pmmm | a d f g,0.19911937377690803,24528,32592
9,P4mm | a b,0.4906669124763792,21697,29841
10,C2/m | a d i,0.18564115065821551,24612,31990
11,F-43m | a b c d,0.9973825152015463,24833,34451
12,Imm2 | a b,0.20015715192359998,33089,44168
13,R-3m | a b c,0.7117746826334995,19457,25439
14,F-43m | a b c d,0.9923910900847625,25365,34233
15,I-4m2 | a b c d,0.2123991646533721,24421,33687
16,P4/mmm | a c e,0.40653331414592025,20847,28857
17,Fd-3m | c e f,0.060199734618339266,28638,39482
18,Cm | a,0.10636737089201878,27264,36493
19,Cm | a,0.33349289343839755,27158,35223
20,I-4m2 | a b c d,0.47790301052943795,26972,37296
21,Cmmm | a b f,0.2871120623757835,26164,35549
22,P4mm | a b,0.2858625835333809,30826,40875
23,Fm-3m | a b c,0.399214088196769,6871,26860
24,C2/m | a d i,0.07463409184015493,26851,37884
25,F-43m | a b c d,0.45321272613849034,19236,29184
26,R3m | a,0.18298356761037418,20204,25968
27,F-43m | a c e,0.8495554405607565,21257,30388
28,Immm | a c j,0.1638151014432127,23905,32589
29,C2/m | a b f,0.12393858821511279,23318,30718
30,F-43m | a b c d,0.9709112750986786,23308,33994
31,C2/m | a d i,0.36057467684161343,25684,33546
32,Imm2 | a b,0.34771347945417297,25869,35772
33,P2/m | a g n,0.16307537519912804,23854,32820
34,I-4m2 | a b c d,0.4042664117825955,23017,31233
35,P3m1 | a b c,0.21924337205838546,23499,31728
36,R-3m | a b c,0.768055899084838,16172,22399
37,P2/m | a g n,0.22605477424130274,20265,27157
38,Cm | a,0.3938928037582746,23415,30783
39,Pmmm | a d f g,0.4351830964734191,26598,36991
40,F-43m | a c e,0.7771423465284604,22382,31793
41,F-43m | a b c d,0.9827660660306992,25473,38596
42,Cm | a,0.28246235262072455,25699,33259
43,I4/mmm | a b d,0.3247996947729874,26210,34981
44,Pm | a b,0.2904571977250905,27078,36487
45,P4mm | a b,0.14480295179777045,25476,34064
46,I4mm | a,0.152796216395619,24104,32564
47,F-43m | a b c d,0.39128921881343154,17243,29387
48,R-3m | a b c,0.809299442033478,16130,22356
49,I4/mmm | a h i,0.05956320317670417,25687,33383
