bucket_lo,bucket_hi,n,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
2,4,38,0.93613,18.2666,-3.09274,-0.389252,1.70133,-3.98891,0.689007,1.24628,1.23568,0.34765,-0.780874,1.66483
4,6,271,-0.319062,14.7245,-2.791,-0.846863,2.22157,-2.97178,1.31706,0.425743,1.18736,0.15113,-1.37718,1.25121
6,8,3188,2.90936,10.6207,-1.63353,-1.04797,2.28237,-2.12204,1.74411,0.548746,0.893178,0.0691345,-1.08253,0.260545
8,10,5000,7.61304,6.43698,-0.665545,-1.58705,1.83508,-1.39066,1.3345,0.0356493,0.484415,-0.364389,-1.03685,0.0767543
10,12,5000,6.37276,4.1692,-0.10361,-1.77733,1.80838,-1.00972,1.08352,-0.0864236,0.0130008,-0.225291,-1.25052,0.209233
12,14,5000,2.4181,1.92921,0.911538,-2.28412,1.8356,-0.745566,0.782469,-0.0124,0.109098,-0.167536,-1.23892,0.396461
14,16,5000,-0.557771,0.557513,1.50398,-2.51735,1.16397,0.0864732,0.0382386,-0.0851128,0.260485,-0.13782,-0.298058,0.206743
16,18,5000,-1.13914,-0.312239,1.11663,-1.62005,0.309093,0.719656,-0.290086,-0.111478,-0.0212366,0.032586,0.332876,-0.0340449
18,20,5000,-1.08904,-0.88046,0.488602,-0.321625,-0.23536,0.696729,-0.258974,-0.0646019,-0.0851316,0.164378,0.437124,-0.43429
20,22,5000,-0.8675,-0.908797,-0.0150583,0.729091,-0.554307,0.321807,-0.164595,-0.0886119,-0.126038,0.169638,0.396242,-0.531857
22,24,5000,-0.628051,-0.916671,-0.427589,1.61638,-0.871544,-0.0948071,-0.310194,0.0307152,-0.0010841,0.0644873,0.326901,-0.561223
24,26,5000,-0.468887,-0.801123,-0.89629,2.2504,-1.08045,-0.12627,-0.0689108,-0.0886996,-0.121164,0.0786522,0.341931,-0.288872
26,28,5000,-0.129376,-0.795326,-1.38796,2.6681,-1.18488,-0.209917,-0.162246,-0.0805847,-0.218041,-0.00267044,0.154895,-0.059919
28,30,5000,-0.148865,-0.578559,-2.00005,2.93622,-1.23888,-0.380299,-0.135864,0.071883,-0.257167,0.0142049,0.01255,0.195974
30,32,5000,0.22381,-0.35487,-2.35226,3.12472,-1.22901,-0.655294,-0.0752842,0.313496,-0.16856,-0.0406511,-0.0441568,0.706401
32,34,5000,0.517476,-0.204456,-2.49998,3.2573,-1.01959,-1.03162,-0.168519,0.517379,0.246723,-0.400197,0.0505648,0.956656
34,36,5000,0.743212,-0.296871,-2.51734,3.43714,-1.00028,-0.850802,0.196624,0.51744,0.161945,-0.193889,-0.00826524,1.33118
36,38,5000,0.518666,-0.00312691,-2.97044,3.44609,-0.968251,-0.941085,0.229912,0.561381,-0.0375504,-0.12583,-0.111038,1.58496
38,40,5000,0.716739,0.00124263,-3.17033,3.4402,-0.882674,-0.989322,0.254125,0.669506,-0.174,-0.0295814,-0.329905,1.80462
40,42,5000,0.712914,0.440395,-3.52119,3.33442,-0.914981,-1.04854,0.31204,0.693366,-0.24016,0.156807,-0.356696,2.05108
42,44,5000,0.356869,0.689087,-3.8466,3.28244,-0.783385,-1.44753,0.0859776,0.969105,-0.030524,-0.0216368,-0.557804,2.23016
44,46,4851,0.605122,1.15085,-3.92699,3.23368,-0.835662,-1.59919,0.0611397,1.10695,0.0930452,0.0422079,-0.538637,2.3612
46,48,3668,0.382688,1.63295,-3.97875,3.16014,-0.905519,-1.85829,-0.0846957,1.15665,0.232267,-0.0533865,-0.562949,2.68361
48,50,2623,0.355664,1.72715,-4.06446,3.26291,-0.936562,-1.76794,0.0902298,1.08866,-0.0231334,0.120392,-0.639739,2.96725
50,52,1988,0.410574,2.14712,-4.08494,3.29382,-0.894946,-1.6453,0.0356422,1.10893,-0.104964,0.254618,-0.575736,3.05985
52,54,1422,0.236243,2.19859,-4.36067,3.30786,-0.84361,-1.623,0.00784181,1.1886,-0.281958,0.317138,-0.782015,3.41265
54,56,1065,-0.0564459,2.6599,-4.79784,3.13963,-0.702507,-1.79164,-0.142387,1.20258,-0.38451,0.335839,-0.907777,3.4381
56,58,805,0.10979,3.15012,-4.92818,2.96104,-0.681104,-1.83107,-0.267617,1.11995,-0.441009,0.311149,-0.923184,3.31334
58,60,631,0.0730966,3.1084,-5.02765,2.9385,-0.785892,-1.83116,-0.145163,1.27345,-0.593727,0.31309,-1.06224,3.38713
60,62,476,-1.00404,4.69308,-5.33555,2.8936,-0.64223,-1.901,-0.407491,1.39928,-0.467501,0.385785,-1.08901,3.57235
62,64,351,-0.786772,4.8961,-5.45397,2.57581,-0.566194,-2.18269,-0.576018,1.41817,-0.342245,0.229877,-1.05051,3.6221
64,66,268,-0.990392,4.94121,-5.57345,2.52219,-0.312465,-2.52668,-0.94357,1.07642,-0.269159,-0.174325,-0.847015,3.39137
66,68,273,-1.33721,6.64393,-5.37772,2.32657,-0.635676,-1.91142,-0.759229,1.24235,-0.557079,0.019809,-0.484536,3.47402
68,70,188,-1.45278,5.87008,-6.17161,2.33109,-0.397008,-2.20058,-0.56513,1.25755,-0.73035,-0.171752,-0.656685,3.39366
70,72,182,-0.989565,5.71918,-6.22505,2.23935,-0.618456,-1.9556,-0.492186,1.45131,-0.781508,-0.165547,-0.519159,3.71949
72,74,118,-1.25375,6.44095,-6.50826,1.87865,-0.318092,-2.40765,-0.83317,1.34791,-0.399158,-0.356267,-0.704882,3.44
74,76,86,-1.78017,5.16215,-6.69645,2.09647,-0.48942,-2.65376,-0.809295,1.27915,-0.695683,-0.450145,-0.504448,3.75143
76,78,100,-2.15104,5.56783,-6.73214,2.20546,-0.550127,-2.44599,-0.540295,1.20137,-1.12137,-0.36935,-0.384312,3.66399
78,80,74,-0.372104,6.52734,-6.70768,1.61457,-0.559182,-2.09386,-0.528769,1.20337,-1.1342,-0.352264,-0.329231,3.07469
80,82,61,-1.52204,7.37876,-6.52671,2.13213,-0.371822,-2.15664,-0.779728,0.616034,-1.15599,-0.282611,-0.496899,3.5561
82,84,64,0.396981,6.84122,-6.8087,1.43775,-0.456778,-2.44227,-0.719902,1.40788,-1.2482,-0.77921,-0.293623,3.41116
84,86,43,0.994187,5.42172,-6.61557,1.81605,-0.434946,-2.1544,-0.71498,1.19492,-0.923296,-0.131976,-0.567657,3.07088
86,88,37,-0.846394,8.54338,-6.58916,2.01395,-0.456443,-2.19439,-0.720085,0.787694,-0.859043,-0.55575,-0.583837,2.79399
88,90,54,0.175211,10.1649,-6.67867,1.62744,-0.498247,-2.15605,-0.450213,1.45172,-0.830471,-0.332014,-0.137192,2.87577
90,92,48,1.23843,7.1541,-6.30166,1.5391,-0.411056,-2.90372,-0.72893,1.13658,-0.512616,-0.393006,-0.31973,2.83576
92,94,30,-0.361393,5.73671,-5.65339,2.04672,-0.131994,-2.50631,-0.426224,1.24872,-0.682895,0.211356,-0.249305,2.95281
96,98,34,-0.230453,6.5911,-6.5818,0.754358,-0.759257,-2.83151,-0.457927,1.18166,-1.04915,-1.20792,0.175897,2.77062
