bucket_lo,bucket_hi,n,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
0.05,0.1,1568,0.323999,-0.207622,-0.0287135,-0.0796001,-0.0782624,0.458525,0.0139303,0.0815552,0.0202676,0.188349,-0.634824,0.157037
0.1,0.15,549,1.53069,-0.497398,0.0731354,-0.33454,0.283812,0.537459,-0.0575971,0.0808547,0.025645,-0.0682328,-0.519924,0.235552
0.15,0.2,359,2.3186,-0.297727,0.0508209,-0.309454,0.248642,0.537957,-0.0729763,0.0695774,0.0484522,-0.0723277,-0.41805,0.263562
0.2,0.25,255,2.0242,-0.035273,0.23893,-0.432815,0.383584,0.600392,-0.0991766,0.184184,0.0369152,-0.140723,-0.39816,0.25152
0.25,0.3,218,1.98062,-0.190762,0.0462176,-0.387429,0.458071,0.691255,0.0133959,0.0643347,0.0306184,-0.112423,-0.312923,0.199417
0.3,0.35,204,2.76712,-0.545959,-0.0594628,-0.247129,0.349816,0.604433,-0.0310928,0.0523579,0.032735,-0.202779,-0.320782,0.12325
0.35,0.4,198,3.46888,0.249998,-0.0797218,-0.279981,0.554214,0.534459,-0.113759,0.195171,-0.00272256,-0.218968,-0.295337,0.210443
0.4,0.45,145,2.12978,-0.432506,0.174959,-0.39511,0.402743,0.651327,0.0768097,0.095528,0.00794461,-0.238677,-0.345797,0.163113
0.45,0.5,131,1.91801,-0.00864331,0.0962388,-0.270895,0.535869,0.672172,-0.00635808,0.0900072,0.0165723,-0.214915,-0.419228,0.320074
0.5,0.55,121,4.22965,0.32561,0.164629,-0.377316,0.385553,0.532028,-0.114304,0.0480047,-0.105602,-0.246071,-0.288242,0.247306
0.55,0.6,123,4.31855,0.859438,0.017723,-0.225552,0.185693,0.562674,-0.0429262,0.0675167,-0.00817648,-0.160682,-0.259682,0.312232
0.6,0.65,105,2.2597,-0.0175853,0.530993,-0.575699,0.342448,0.807925,0.0481815,0.19374,0.021582,-0.07678,-0.282697,0.383392
0.65,0.7,115,4.24351,1.15881,0.320073,-0.567353,0.400498,0.618003,-0.024651,0.0405516,-0.0456067,-0.198116,-0.306347,0.371227
0.7,0.75,95,4.45283,0.696969,0.205189,-0.539267,0.311364,0.641152,0.0285202,0.0817832,-0.0360213,-0.179419,-0.280555,0.204137
0.75,0.8,91,3.99535,1.62222,0.477266,-0.355171,0.358792,0.51232,0.012976,0.000116203,-0.00198043,0.00967476,-0.332801,0.292192
0.8,0.85,68,3.78667,1.31241,0.17183,-0.357273,0.321038,0.633393,0.00978283,0.142499,-0.115904,-0.313717,-0.199439,0.184141
0.85,0.9,66,5.44225,1.44086,0.309598,-0.304984,0.509676,0.723566,-0.208401,-0.0114228,0.0827253,0.246604,-0.129358,0.155173
0.9,0.95,73,5.10209,1.01349,0.647684,-0.535607,0.591883,0.789909,-0.0321372,-0.181819,-0.0758051,0.0938953,-0.244481,0.329675
0.95,1,90,4.78291,1.66199,0.567876,-0.543444,0.576186,0.697647,-0.0138105,-0.0223195,-0.0744246,-0.212926,-0.0992096,0.25263
1,1.05,62,6.23541,1.46238,0.415687,-0.504141,0.15499,0.683766,-0.01145,0.132858,0.0354355,-0.0749168,-0.0443135,0.170817
1.05,1.1,50,5.97847,2.31207,0.571308,-0.321127,0.336974,0.749029,0.0187304,-0.167528,-0.123924,-0.0630159,-0.253042,0.381202
1.1,1.15,66,7.89656,2.11839,0.371667,-0.403978,0.26454,0.509637,-0.142488,0.0226611,-0.0118677,0.0472693,-0.146719,0.335106
1.15,1.2,57,7.73452,2.39181,0.496641,-0.323518,0.536237,0.466606,0.0271432,-0.120471,-0.0905188,-0.00565139,0.0546869,0.301833
1.2,1.25,44,7.99759,2.74109,0.31045,-0.334257,0.235103,0.575263,-0.015551,-0.0505793,0.0504829,0.105789,0.0594945,0.220328
1.25,1.3,45,6.85046,1.99676,0.731265,-0.541217,0.194573,0.656819,-0.0466181,0.181159,0.056988,0.122938,-0.0133289,0.298488
1.3,1.35,45,6.896,2.36766,0.528588,-0.309385,-0.0419565,0.584711,0.170641,0.1667,-0.0888074,0.0564914,-0.0959077,0.212349
1.35,1.4,48,6.36703,2.95774,0.383805,-0.268648,0.389809,0.702034,-0.0715579,-0.158237,-0.0684065,-0.243578,-0.0940818,0.320153
1.4,1.45,45,8.99538,2.13675,0.076624,-0.264381,-0.429061,0.357185,0.340252,0.154312,-0.100122,0.0219998,0.0412614,-0.0100123
1.45,1.5,34,11.1503,1.99583,0.189136,-0.213378,0.0431124,0.28762,0.00111669,0.0168572,-0.172115,-0.0134653,0.203422,-0.0447681
1.5,1.55,42,9.13165,2.18617,0.486802,-0.148435,-0.133994,0.583869,-0.167737,0.363879,-0.0977304,-0.192306,0.291747,0.0974609
1.55,1.6,35,10.842,3.70916,-0.00454986,-0.247353,0.136492,0.0277497,-0.285163,-0.0985055,-0.113444,-0.28977,0.121591,-0.0496504
1.6,1.65,33,9.9647,3.99557,0.0311235,-0.137682,0.266832,0.320273,-0.230483,-0.162709,-0.0792714,-0.128486,0.135091,-0.172059
1.65,1.7,37,11.9767,4.12029,-0.265681,0.366268,0.0210283,0.026328,-0.314213,-0.298785,-0.0871157,-0.475137,0.229425,-0.142445
1.75,1.8,40,7.81123,4.80138,-0.0277103,-0.204089,0.349091,0.383603,-0.0205813,-0.0883858,-0.124704,-0.210283,-0.0306073,0.222358
1.8,1.85,40,8.41463,2.98779,0.259884,-0.495431,0.242743,0.271846,-0.0480188,0.0339103,-0.0761116,-0.14915,0.0311524,0.117615
1.85,1.9,37,10.9759,3.81242,-0.381535,-0.146131,0.0720703,-0.133306,0.0850951,-0.161328,-0.12893,-0.150698,0.188773,0.0806615
1.9,1.95,34,12.0213,3.67939,-0.0836098,-0.0917367,0.327375,0.171993,-0.113227,0.0712274,-0.0874145,-0.171281,0.3238,-0.208227
2.05,2.1,34,7.35019,3.60123,0.0375057,-0.306001,-0.012006,0.393944,0.180697,0.026541,-0.176224,-0.287946,0.0168263,0.236874
2.1,2.15,35,9.62946,3.85144,-0.0490259,-0.276256,0.0317957,0.255263,-0.0966801,0.0268069,-0.0948581,-0.0732007,0.0404827,0.24464
2.15,2.2,35,8.66324,2.80649,-0.0110255,-0.429618,-0.176132,0.296743,0.215558,-0.145476,-0.252689,-0.185206,-0.197802,0.265329
