bucket_lo,bucket_hi,n,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
0,0.05,5000,-0.479345,-1.26955,1.59023,-0.0295323,-0.187729,0.0239327,0.0114518,0.513831,0.0263065,0.218413,0.0608178,0.348452
0.05,0.1,1568,0.323126,-0.566834,0.0293479,-0.392793,0.395456,-0.587381,-0.804173,0.907457,0.691608,0.127776,0.0432777,0.73778
0.1,0.15,549,1.7817,-1.11736,-0.060026,-0.980757,0.562435,-0.0181209,-0.709876,1.00376,0.172179,0.549964,0.0513162,0.979556
0.15,0.2,359,2.74843,-1.02539,-0.175498,-0.961782,0.654933,0.026899,-0.714394,0.818591,0.234469,0.441665,0.171664,0.937826
0.2,0.25,255,2.58286,-0.530913,-0.0712529,-1.34767,0.791214,0.0868323,-0.624316,1.01947,0.136281,0.543348,0.239425,0.982625
0.25,0.3,218,2.42716,-0.907382,-0.379678,-1.28995,0.80002,0.466633,-0.332544,0.990166,0.234498,0.586086,0.0465502,0.957412
0.3,0.35,204,3.17663,-1.5195,-0.364903,-0.937689,0.639948,0.334723,-0.681256,1.00805,0.145772,0.615126,0.142367,0.93021
0.35,0.4,198,4.38343,-0.542689,-0.58943,-0.937761,0.831976,0.329948,-0.222261,0.929928,-0.144349,0.652546,0.25474,0.815564
0.4,0.45,145,2.52122,-1.24715,-0.18168,-1.40651,0.933816,0.539824,-0.393444,1.02942,0.267659,0.482827,0.186104,0.943293
0.45,0.5,131,2.45813,-0.506641,-0.353697,-1.18823,0.985924,0.604756,-0.717899,1.13729,0.141469,0.579403,0.214505,0.872987
0.5,0.55,121,5.24656,-0.497052,-0.344838,-1.25191,0.733874,0.316822,-0.333332,0.652496,-0.00189349,0.709629,0.0187288,0.826668
0.55,0.6,123,5.62302,0.290241,-0.518949,-0.960521,0.825743,0.210294,-0.417751,0.536457,0.428916,0.479868,0.120436,0.863202
0.6,0.65,105,2.98449,-0.419295,0.0857302,-1.88041,1.08003,0.00965983,-0.629215,0.889921,0.291695,0.643409,-0.127616,0.467087
0.65,0.7,115,5.7664,0.890288,-0.405777,-1.76603,0.853268,0.310404,-0.63306,0.773754,0.0658587,0.603671,-0.105977,0.681493
0.7,0.75,95,5.78771,0.0693239,-0.359665,-1.54039,0.776875,0.200767,-0.215237,0.722513,0.25789,0.616789,-0.0321379,0.480498
0.75,0.8,91,5.66909,1.80991,-0.0477779,-1.10833,0.67513,0.348246,-0.781174,0.655858,0.246186,0.498722,-0.0736499,0.433159
0.8,0.85,68,5.23963,1.0939,-0.493939,-1.34351,0.948987,0.425616,-0.184469,0.756127,0.230303,0.368658,-0.00360609,0.724075
0.85,0.9,66,7.1495,1.01672,-0.25546,-1.08528,0.430222,0.208566,-0.628198,0.932539,0.624244,0.92024,0.219814,0.588197
0.9,0.95,73,6.94445,0.816758,0.0513645,-1.35014,0.511468,0.4939,-0.834285,1.01373,0.586006,0.766856,-0.22835,0.650274
0.95,1,90,6.69498,1.55069,-0.11632,-1.58648,0.731655,0.5072,-0.181046,0.708702,0.0870591,0.836072,-0.27677,0.560611
1,1.05,62,8.1731,0.893312,-0.31052,-1.63833,0.948207,0.145098,-0.113861,0.336156,0.534497,0.607071,0.0699848,0.13449
1.05,1.1,50,8.3936,2.42215,-0.109661,-1.25988,0.938394,0.542555,-0.785246,0.743481,0.637966,0.422831,-0.2782,0.754021
1.1,1.15,66,10.496,1.73025,-0.384977,-1.03726,0.660319,0.219016,-0.491367,0.419338,0.374124,0.27033,0.227755,0.504957
1.15,1.2,57,10.4794,2.17564,-0.30326,-0.877456,0.543039,0.749989,-0.340483,0.539362,0.335353,0.397966,-0.238581,0.708322
1.2,1.25,44,10.8003,2.5411,-0.676614,-1.02581,0.652696,0.14465,-0.574017,0.44161,0.643735,0.425298,0.101404,0.13819
1.25,1.3,45,9.14419,1.67806,0.276294,-1.51712,0.703708,-0.216013,-0.609178,0.430482,0.327814,0.569033,-0.0714964,0.134965
1.3,1.35,45,9.24921,1.98803,-0.203399,-1.28162,0.95221,-0.342302,-0.415005,0.327561,0.537922,0.0367656,-0.203191,0.0383563
1.35,1.4,48,9.2035,3.2537,-0.5727,-0.775952,0.602672,0.646401,-0.585357,0.716455,0.580746,0.469564,-0.0973265,0.759786
1.4,1.45,45,11.3142,0.861532,-0.514486,-1.00012,1.09047,-0.435751,0.399834,-0.500738,0.600018,-0.184579,-0.208844,0.0452248
1.45,1.5,34,14.0424,0.66957,-0.304683,-0.698001,0.49028,-0.025377,0.274397,-0.286657,0.408219,0.178329,0.00861004,0.573497
1.5,1.55,42,11.7505,1.49612,-0.131364,-0.984922,1.1557,-0.467988,0.236273,-0.341711,0.444255,0.177379,0.413666,0.341772
1.55,1.6,35,14.5357,3.17537,-1.0227,-0.230504,0.0218589,0.428845,0.253471,-0.361759,0.145109,0.399471,0.0489172,0.35558
1.6,1.65,33,13.6862,3.8407,-0.8349,-0.211731,0.012895,0.329256,0.295794,0.308059,0.691857,0.541167,-0.126439,-0.00411805
1.65,1.7,37,15.9506,3.59197,-1.21917,0.863825,0.283952,0.507838,0.257225,-0.566717,0.471676,0.24514,0.221319,0.080359
1.75,1.8,40,11.6337,5.47818,-1.34314,-0.427829,0.697879,0.554955,-0.311398,0.564401,0.272857,0.112437,-0.257152,0.447123
1.8,1.85,40,11.4227,2.79147,-0.820282,-1.02706,0.467998,0.5372,0.0804695,0.0342573,0.28668,0.169151,0.102038,0.514752
1.85,1.9,37,14.6317,3.45531,-1.5835,-0.0149962,0.179453,0.564403,0.0675026,-0.364227,0.209956,0.00975351,-0.0599683,-0.0598225
1.9,1.95,34,15.7797,2.97933,-1.09041,-0.0831339,0.262844,0.455599,0.643536,0.0571102,0.255333,0.293201,0.378896,0.248977
2.05,2.1,34,10.2891,3.22743,-0.923753,-0.717608,0.709307,-0.214432,0.288288,0.0774178,0.341577,-0.0115454,-0.450641,0.117368
2.1,2.15,35,13.1392,3.78188,-1.15039,-0.445134,0.613602,-0.405881,0.175,-0.0621994,0.172352,0.320688,-0.283477,0.221951
2.15,2.2,35,11.5232,2.25547,-1.08684,-0.804974,0.56053,-0.111394,-0.0416971,-0.0743155,0.731335,-0.253825,-0.602044,0.631724
