layer,label_col,split,n_train,n_test,n_classes,majority_acc,composition_acc,composition_macro_f1,embedding_acc,embedding_macro_f1,margin_over_composition,margin_over_majority
0,point_group,random,112500,37500,24,0.17005333333333333,0.32066666666666666,0.11865567223915437,0.9322133333333333,0.80161251633777,0.6115466666666667,0.76216
0,point_group,by_formula,112107,37893,24,0.16831604781885837,0.3157047475787085,0.12130989270173953,0.9348164568653841,0.8128851630471096,0.6191117092866756,0.7665004090465257
1,point_group,random,112500,37500,24,0.17146666666666666,0.32152,0.132700783143961,0.94696,0.8073390333760306,0.62544,0.7754933333333334
1,point_group,by_formula,112847,37153,24,0.1678195569671359,0.3140796167200495,0.1279864337408119,0.9465722821844804,0.8481657595548429,0.632492665464431,0.7787527252173445
2,point_group,random,112500,37500,24,0.16872,0.32032,0.1347392609062731,0.9455466666666666,0.8119376524538976,0.6252266666666666,0.7768266666666667
2,point_group,by_formula,112613,37387,24,0.1702195950464065,0.3196298178511247,0.12655792706123029,0.9487522400834515,0.8546314711741445,0.6291224222323268,0.778532645037045
3,point_group,random,112500,37500,24,0.16850666666666667,0.3190133333333333,0.1157892581587034,0.9462133333333334,0.7893331509216087,0.6272,0.7777066666666667
3,point_group,by_formula,112482,37518,24,0.16693320539474385,0.3193933578548963,0.1261374918400242,0.9475718321872169,0.7917303147401875,0.6281784743323205,0.780638626792473
4,point_group,random,112500,37500,24,0.16826666666666668,0.31536,0.12193124724095598,0.9457333333333333,0.8130209141671426,0.6303733333333333,0.7774666666666666
4,point_group,by_formula,112425,37575,24,0.1677445109780439,0.3186693280106454,0.12244249760451498,0.9432601463739189,0.7906103209792136,0.6245908183632735,0.775515635395875
5,point_group,random,112500,37500,24,0.17296,0.31805333333333335,0.12145797738881385,0.94608,0.8239293539140431,0.6280266666666667,0.77312
5,point_group,by_formula,112539,37461,24,0.16793465203811964,0.3211606737673848,0.1191371779512506,0.9423400336349804,0.8115860847894131,0.6211793598675956,0.7744053815968608
6,point_group,random,112500,37500,24,0.16976,0.3201866666666667,0.12495750059103206,0.9450133333333334,0.7851631790968371,0.6248266666666666,0.7752533333333333
6,point_group,by_formula,112423,37577,24,0.16895973600872874,0.32126034542406257,0.1321090749814335,0.9425978657157303,0.819299614795487,0.6213375202916678,0.7736381297070016
7,point_group,random,112500,37500,24,0.16898666666666667,0.31762666666666667,0.12006702111255481,0.9458133333333333,0.8432750644633377,0.6281866666666667,0.7768266666666666
7,point_group,by_formula,112623,37377,24,0.16793750167215132,0.316049977258742,0.11974569554851093,0.9450464189207266,0.8157256256206368,0.6289964416619847,0.7771089172485752
8,point_group,random,112500,37500,24,0.16632,0.31594666666666665,0.12363956891927246,0.9444266666666666,0.8091884835991096,0.6284799999999999,0.7781066666666666
8,point_group,by_formula,112688,37312,24,0.17136578044596912,0.3178334048027444,0.13056540761257282,0.9434230274442539,0.8392211252733282,0.6255896226415094,0.7720572469982847
9,point_group,random,112500,37500,24,0.16797333333333334,0.31749333333333335,0.12338955475567522,0.9442933333333333,0.8593638429085169,0.6268,0.77632
9,point_group,by_formula,112377,37623,24,0.1697100178082556,0.3201764877867262,0.13258421949318913,0.9440501820694788,0.8430910257164242,0.6238736942827525,0.7743401642612232
10,point_group,random,112500,37500,24,0.16944,0.3187466666666667,0.12073088038096902,0.946,0.8452129576239024,0.6272533333333332,0.7765599999999999
10,point_group,by_formula,112628,37372,24,0.17028791608691,0.32342395376217487,0.12327193253792797,0.9452531306860751,0.8343363467052695,0.6218291769239002,0.7749652145991651
11,point_group,random,112500,37500,24,0.16818666666666668,0.31490666666666667,0.1295419965072587,0.94384,0.7946266538420433,0.6289333333333333,0.7756533333333333
11,point_group,by_formula,112461,37539,24,0.16620048482911107,0.3133807506859533,0.1161054576186757,0.9419803404459363,0.7744154878002071,0.628599589759983,0.7757798556168252
12,point_group,random,112500,37500,24,0.17197333333333334,0.32176,0.12003489976177496,0.9409866666666666,0.8219283431742874,0.6192266666666666,0.7690133333333333
12,point_group,by_formula,112426,37574,24,0.16852078564965137,0.31867780912332994,0.12751075849399182,0.9413158034811305,0.8299830671845986,0.6226379943578007,0.7727950178314792
13,point_group,random,112500,37500,24,0.17184,0.3233066666666667,0.12340932943587977,0.9438933333333334,0.7865623267517462,0.6205866666666666,0.7720533333333334
13,point_group,by_formula,112575,37425,24,0.17218436873747495,0.3217635270541082,0.12483172346420383,0.9427655310621242,0.8194641018337809,0.621002004008016,0.7705811623246492
14,point_group,random,112500,37500,24,0.16850666666666667,0.31832,0.1259901691207208,0.9452,0.8325775899368583,0.6268800000000001,0.7766933333333333
14,point_group,by_formula,112656,37344,24,0.16744323050556983,0.3144280205655527,0.12190125939922569,0.9432037275064268,0.8318279322194003,0.6287757069408741,0.7757604970008569
15,point_group,random,112500,37500,24,0.17122666666666667,0.32466666666666666,0.12259586476226474,0.9442933333333333,0.8061064124723877,0.6196266666666667,0.7730666666666667
15,point_group,by_formula,112386,37614,24,0.16900622108789282,0.3207848141649386,0.13434089351909173,0.9424682299143936,0.8194507813294806,0.6216834157494551,0.7734620088265007
