layer,label_col,split,n_train,n_test,n_classes,majority_acc,composition_acc,composition_macro_f1,embedding_acc,embedding_macro_f1,margin_over_composition,margin_over_majority
0,space_group_symbol,random,112500,37500,68,0.16586666666666666,0.3128,0.10129414034537844,0.9074666666666666,0.8333118816755601,0.5946666666666667,0.7416
0,space_group_symbol,by_formula,112073,37927,68,0.16700503599019167,0.31402430985841223,0.09974449065286413,0.9070582962005959,0.8324483297952509,0.5930339863421836,0.7400532602104042
1,space_group_symbol,random,112500,37500,68,0.16722666666666666,0.3079733333333333,0.10924735572873306,0.9181066666666666,0.8296280074303362,0.6101333333333333,0.75088
1,space_group_symbol,by_formula,112874,37126,68,0.16546355653719766,0.30776275386521573,0.11373070305617443,0.9198405430156763,0.8397759943136047,0.6120777891504605,0.7543769864784786
2,space_group_symbol,random,112500,37500,68,0.16536,0.30824,0.10350321259752661,0.92312,0.8397135120809428,0.6148800000000001,0.75776
2,space_group_symbol,by_formula,112693,37307,68,0.16409789047631812,0.30967378776101,0.10803958556814447,0.921301632401426,0.83976017210681,0.611627844640416,0.7572037419251079
3,space_group_symbol,random,112500,37500,68,0.16528,0.30536,0.1057898566310235,0.9202933333333333,0.8365832931116132,0.6149333333333333,0.7550133333333333
3,space_group_symbol,by_formula,112519,37481,68,0.16491022117873055,0.3049545102852112,0.1118563697402409,0.9232411088284731,0.8583748970391947,0.618286598543262,0.7583308876497425
4,space_group_symbol,random,112500,37500,68,0.16736,0.30992,0.1046431810861525,0.9202933333333333,0.8569268201609529,0.6103733333333333,0.7529333333333332
4,space_group_symbol,by_formula,112424,37576,68,0.16515861187992337,0.309958484138812,0.1067076152907841,0.9193101979987226,0.8508255521749802,0.6093517138599106,0.7541515861187993
5,space_group_symbol,random,112500,37500,68,0.16693333333333332,0.30778666666666665,0.11416585744316927,0.91968,0.8407422260873427,0.6118933333333334,0.7527466666666667
5,space_group_symbol,by_formula,112492,37508,68,0.16927055561480217,0.3144662472005972,0.10578938061653277,0.9200703849845366,0.8469942708590895,0.6056041377839394,0.7507998293697344
6,space_group_symbol,random,112500,37500,68,0.16677333333333333,0.30861333333333335,0.10476019950065514,0.9232,0.8557761301696546,0.6145866666666666,0.7564266666666667
6,space_group_symbol,by_formula,112340,37660,68,0.16664896441848115,0.307700477960701,0.10487425894112509,0.9226765799256506,0.8651524314031234,0.6149761019649496,0.7560276155071695
7,space_group_symbol,random,112500,37500,68,0.16408,0.30592,0.10742382475490654,0.92168,0.8461445202395119,0.6157600000000001,0.7576
7,space_group_symbol,by_formula,112717,37283,68,0.16860231204570447,0.31440602955770725,0.10748629398471922,0.9228334629724003,0.8604384533030014,0.6084274334146931,0.7542311509266959
8,space_group_symbol,random,112500,37500,68,0.1644,0.30808,0.11153808503094675,0.92392,0.8706650158789254,0.6158399999999999,0.75952
8,space_group_symbol,by_formula,112668,37332,68,0.16722918675666987,0.3105914496946319,0.1082409108093997,0.9236579877852781,0.8685642619493238,0.6130665380906462,0.7564288010286082
9,space_group_symbol,random,112500,37500,68,0.16872,0.31077333333333335,0.11232560681446792,0.92128,0.8492914220050432,0.6105066666666666,0.75256
9,space_group_symbol,by_formula,112459,37541,68,0.16715058203031352,0.3123251911243707,0.10146825775864216,0.9211795104019606,0.8534995385897927,0.6088543192775899,0.754028928371647
10,space_group_symbol,random,112500,37500,68,0.16090666666666667,0.3057066666666667,0.10762675194111798,0.91904,0.8665092647924486,0.6133333333333333,0.7581333333333333
10,space_group_symbol,by_formula,112554,37446,68,0.16306147519094163,0.30505260909042353,0.1070845295206374,0.9215937616834909,0.8747621023237505,0.6165411525930674,0.7585322864925493
11,space_group_symbol,random,112500,37500,68,0.16544,0.3079733333333333,0.09964672154702618,0.92032,0.8570540176299087,0.6123466666666667,0.75488
11,space_group_symbol,by_formula,112408,37592,68,0.1659661630134071,0.3078314535007448,0.10611785512337646,0.9216854649925517,0.8605704898529164,0.6138540114918069,0.7557193019791446
12,space_group_symbol,random,112500,37500,68,0.1676,0.31144,0.10598360728371546,0.92176,0.8519881407977941,0.61032,0.75416
12,space_group_symbol,by_formula,112531,37469,68,0.16400224185326537,0.3111905842162855,0.10703022691714593,0.9191064613413755,0.859916959873625,0.6079158771250901,0.7551042194881101
13,space_group_symbol,random,112500,37500,68,0.16853333333333334,0.31018666666666667,0.10301192113754247,0.91824,0.8541647694240742,0.6080533333333333,0.7497066666666666
13,space_group_symbol,by_formula,112486,37514,68,0.1669243482433225,0.3080449965346271,0.1113727716432492,0.9174441541824385,0.8609071278947718,0.6093991576478115,0.750519805939116
14,space_group_symbol,random,112500,37500,68,0.16944,0.3134133333333333,0.10633510355043348,0.92072,0.8686150730361907,0.6073066666666667,0.75128
14,space_group_symbol,by_formula,112644,37356,68,0.1659706606703073,0.31239961451975584,0.10157440345412207,0.9223417924831352,0.8395107426877143,0.6099421779633794,0.7563711318128279
15,space_group_symbol,random,112500,37500,68,0.16304,0.3048,0.11021484827775571,0.9234666666666667,0.8683166098515567,0.6186666666666667,0.7604266666666667
15,space_group_symbol,by_formula,112562,37438,68,0.16274907847641434,0.307094396068166,0.10402648436841476,0.9212030557187884,0.8633308678167841,0.6141086596506223,0.758453977242374
