bucket_lo,bucket_hi,n,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
0,0.25,4999,22.2499,-8.2812,-1.29781,-0.200026,0.76029,-2.66114,-0.27541,-1.37052,0.440375,-1.25228,-0.486745,0.557723
0.25,0.5,5000,32.5566,-9.20599,-0.671891,-0.721452,0.648531,-2.10139,-0.369399,-0.571326,0.308765,-1.17666,-0.226957,0.178896
0.5,0.75,5000,32.4157,-9.23831,-0.620114,-0.718838,0.636555,-2.18369,-0.303468,-0.615849,0.301648,-1.04346,-0.0633092,0.143011
0.75,1,5000,32.9891,-9.19278,-0.633189,-0.786957,0.660249,-2.1698,-0.389699,-0.568496,0.311598,-1.09577,-0.111576,0.0846658
1,1.25,4915,33.4466,-9.3938,-0.645009,-0.859525,0.57422,-2.15254,-0.46146,-0.571712,0.273099,-1.13049,-0.0549348,0.00843339
1.25,1.5,4641,33.2958,-9.06004,-0.750543,-0.760661,0.554155,-2.04363,-0.441948,-0.526664,0.336461,-1.06483,-0.113595,0.0969175
1.5,1.75,4524,33.1531,-9.16794,-0.903432,-0.766659,0.590654,-2.10999,-0.470726,-0.548495,0.337599,-1.09679,-0.105405,0.172676
1.75,2,4406,33.5527,-9.34792,-1.01922,-0.820769,0.536638,-2.19908,-0.450916,-0.674891,0.432772,-1.09983,-0.0360392,0.25234
2,2.25,4448,34.1277,-9.72001,-1.09067,-0.887829,0.458668,-2.33019,-0.376506,-0.687514,0.417067,-1.09615,0.0357293,0.290891
2.25,2.5,4176,34.7522,-9.74905,-1.01315,-1.02337,0.394184,-2.3691,-0.374737,-0.676637,0.402035,-1.08357,0.136641,0.263276
2.5,2.75,3603,35.2295,-9.47189,-1.0203,-1.10652,0.445756,-2.14186,-0.441053,-0.536687,0.433039,-1.17148,-0.0697223,0.191944
2.75,3,3518,34.6257,-9.55547,-1.10447,-1.00218,0.374369,-2.15895,-0.406002,-0.491549,0.483059,-1.1439,-0.000455104,0.315882
3,3.25,3431,35.2607,-9.45624,-0.972123,-1.09609,0.368391,-2.13573,-0.441828,-0.475868,0.483988,-1.22637,-0.0900772,0.267932
3.25,3.5,2876,34.8302,-9.39072,-1.1054,-0.885762,0.368977,-2.0364,-0.390956,-0.423354,0.56247,-1.22425,-0.0550851,0.318338
3.5,3.75,2645,34.4444,-8.96045,-1.10711,-0.874248,0.288178,-2.0683,-0.339248,-0.484654,0.621183,-1.20877,-0.0224846,0.342961
3.75,4,2164,34.992,-8.89702,-1.0185,-0.912346,0.284838,-2.06187,-0.282691,-0.433233,0.526516,-1.16196,-0.102868,0.255953
4,4.25,1856,34.2668,-8.51421,-1.11797,-0.899706,0.367659,-2.1126,-0.224766,-0.48378,0.479033,-1.15298,-0.141942,0.218474
4.25,4.5,1576,35.0449,-8.394,-1.01414,-0.831656,0.426875,-2.11573,-0.250264,-0.320871,0.595928,-1.16282,-0.184371,0.129906
4.5,4.75,1330,34.6197,-7.8807,-1.33948,-0.819832,0.381487,-1.87071,-0.194932,-0.211981,0.635615,-1.16915,-0.253812,0.251187
4.75,5,1162,33.8936,-7.14766,-1.31788,-0.767332,0.32727,-1.72845,-0.0786208,-0.0981611,0.62122,-1.25591,-0.347101,0.2144
5,5.25,978,34.2686,-6.85325,-1.32558,-0.72541,0.539506,-1.66943,0.0129489,-0.0562655,0.700159,-1.09892,-0.255226,0.195625
5.25,5.5,822,34.0586,-6.05426,-1.35801,-0.770895,0.640399,-1.56904,0.204394,0.171629,0.769105,-1.08608,-0.228364,-0.0437341
5.5,5.75,729,33.9672,-5.35501,-1.53266,-1.03439,0.597102,-1.58312,0.243042,0.368503,0.51835,-1.15409,-0.124204,-0.0377353
5.75,6,431,32.0295,-5.17256,-1.77181,-0.969916,0.632442,-1.83675,0.204869,0.111163,0.566043,-1.19728,-0.187994,0.172484
6,6.25,231,28.1322,-4.44707,-2.07421,-0.543127,0.781148,-2.07804,0.369037,-0.0999792,0.637651,-0.996281,-0.389437,0.514734
6.25,6.5,164,26.8073,-4.67654,-2.13061,0.021235,1.1651,-2.0439,0.217922,-0.301281,0.730643,-0.738453,-0.742651,0.753637
6.5,6.75,139,25.4307,-5.20036,-2.42559,-0.0454913,1.06349,-2.21389,0.0369653,-0.274642,0.497763,-0.897928,-1.00579,0.815053
6.75,7,146,26.8037,-5.94541,-2.16873,-0.184881,0.962076,-2.15954,-0.259241,-0.242409,0.493349,-1.48468,-0.92382,0.877594
7,7.25,95,26.2141,-4.39366,-2.3312,-0.289704,0.907445,-2.09202,-0.216497,0.0422299,0.624714,-1.01157,-0.560148,0.829498
7.25,7.5,69,25.2562,-2.96597,-1.72,0.0859583,1.47314,-1.84452,0.0298381,0.032898,0.520595,-1.00758,-0.765784,0.395928
7.5,7.75,33,19.3666,-0.226833,-2.53744,0.172389,1.70562,-2.05535,0.0829867,-0.247716,0.58237,-0.686804,-0.654202,0.111414
