bucket_lo,bucket_hi,n,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
0,0.1,2103,26.9279,-9.736,-0.865195,-0.193118,0.568667,-3.02079,0.794554,-0.58388,-0.33272,-0.189295,-0.166544,-0.179242
0.1,0.2,3341,26.4028,-9.42058,-0.887138,-0.326047,0.635338,-2.89969,0.800189,-0.54892,-0.346581,-0.145275,-0.300783,-0.246619
0.2,0.3,2716,26.7978,-9.52491,-0.974315,-0.2066,0.735554,-2.87658,0.87218,-0.515843,-0.391813,-0.194974,-0.354041,-0.341356
0.3,0.4,2434,27.2487,-9.67406,-0.921468,-0.23772,0.823868,-2.9777,0.883285,-0.549369,-0.35214,-0.156056,-0.277045,-0.342748
0.4,0.5,2286,27.2581,-9.66307,-0.917251,-0.248194,0.853529,-3.02729,0.846125,-0.534271,-0.373614,-0.152621,-0.326223,-0.386431
0.5,0.6,2358,27.5102,-9.81118,-0.87149,-0.23858,0.833294,-3.05522,0.760264,-0.532054,-0.292532,-0.0172527,-0.266478,-0.307655
0.6,0.7,2197,26.9415,-9.7229,-0.921963,-0.300488,0.903875,-2.99523,0.807888,-0.497565,-0.314499,-0.0997766,-0.290423,-0.339798
0.7,0.8,2022,27.4618,-9.52427,-0.911661,-0.209961,0.834871,-2.96919,0.858222,-0.519297,-0.332683,-0.128131,-0.266472,-0.383063
0.8,0.9,1974,27.3724,-9.57679,-1.00747,-0.276096,0.869462,-3.01228,0.866891,-0.486076,-0.336902,-0.0889894,-0.278008,-0.423265
0.9,1,2073,27.9302,-9.63501,-0.986823,-0.20658,0.805034,-3.04879,0.90168,-0.520752,-0.413057,-0.0286613,-0.218176,-0.389958
1,1.1,1995,28.1589,-9.80656,-0.971011,-0.210624,0.762446,-3.03632,0.878149,-0.558956,-0.388107,-0.0084724,-0.114985,-0.489806
1.1,1.2,1938,27.8987,-9.62754,-1.09089,-0.178281,0.758367,-3.00879,0.898794,-0.514037,-0.30908,0.0252624,-0.206811,-0.473594
1.2,1.3,1897,28.195,-9.82845,-1.06091,-0.27227,0.783476,-3.03158,0.898108,-0.506569,-0.305987,0.00972067,-0.17332,-0.431474
1.3,1.4,1888,27.5575,-9.35764,-1.09179,-0.313122,0.811418,-2.95635,0.870105,-0.479608,-0.321125,-0.00609767,-0.272377,-0.357342
1.4,1.5,1838,28.3683,-9.49264,-1.15322,-0.264632,0.808707,-2.94805,0.915899,-0.4683,-0.366598,0.0258844,-0.288084,-0.401704
1.5,1.6,1826,27.9455,-9.51799,-1.17127,-0.287908,0.828107,-3.05991,0.912051,-0.523076,-0.368803,0.0197262,-0.225707,-0.365306
1.6,1.7,1796,27.5833,-9.51531,-1.28417,-0.36139,0.819293,-3.04062,0.890979,-0.499341,-0.338571,0.0436451,-0.312755,-0.35651
1.7,1.8,1830,27.7902,-9.59728,-1.36359,-0.400144,0.850174,-3.07502,0.88563,-0.551814,-0.333256,0.00883903,-0.38514,-0.353199
1.8,1.9,1730,28.1827,-9.7111,-1.34461,-0.339348,0.819394,-3.15047,0.883161,-0.637122,-0.28095,0.0113363,-0.280689,-0.318974
1.9,2,1748,28.4476,-9.85759,-1.341,-0.316607,0.815782,-3.25003,0.828386,-0.649948,-0.338103,0.0566213,-0.288177,-0.301941
2,2.1,1839,28.3371,-10.0262,-1.42982,-0.347,0.811142,-3.33293,0.744636,-0.659839,-0.265322,0.0144607,-0.253442,-0.267983
2.1,2.2,1775,29.0242,-9.97721,-1.48775,-0.36672,0.78997,-3.24786,0.869606,-0.586049,-0.354576,0.0465515,-0.2739,-0.328945
2.2,2.3,1654,28.912,-10.0383,-1.46665,-0.293901,0.827241,-3.26455,0.862379,-0.622133,-0.382068,0.146231,-0.294681,-0.269626
2.3,2.4,1726,29.3932,-10.3669,-1.39179,-0.325392,0.767995,-3.51206,0.752671,-0.669024,-0.223915,0.0818853,-0.187162,-0.267286
2.4,2.5,1630,29.5731,-9.86508,-1.4697,-0.170538,0.77537,-3.17294,0.864293,-0.589754,-0.453201,0.0755193,-0.15481,-0.368683
2.5,2.6,1458,29.9016,-9.92905,-1.51414,-0.165201,0.762196,-3.15175,0.940915,-0.537685,-0.410257,0.0400959,-0.214853,-0.43544
2.6,2.7,1457,29.7363,-9.97453,-1.48387,-0.111821,0.782135,-3.17753,0.90868,-0.675321,-0.358397,-0.0120469,-0.170228,-0.453589
2.7,2.8,1371,29.5052,-9.53916,-1.49011,-0.155136,0.837769,-3.01902,0.898002,-0.504271,-0.470102,0.0437478,-0.221653,-0.393808
2.8,2.9,1419,28.6024,-9.77291,-1.67634,-0.320022,0.780643,-3.1292,0.902035,-0.548898,-0.476121,0.0571592,-0.291769,-0.242123
2.9,3,1416,29.7057,-10.088,-1.52796,-0.177326,0.771672,-3.26034,0.922797,-0.64033,-0.472398,-0.0173116,-0.225822,-0.398716
3,3.1,1393,30.1146,-9.74197,-1.3948,-0.125037,0.740093,-3.11135,0.972996,-0.595517,-0.486263,0.00714415,-0.200717,-0.408845
3.1,3.2,1374,29.7951,-9.92001,-1.51235,-0.138947,0.753999,-3.07741,0.981716,-0.605496,-0.515318,-0.0105147,-0.256546,-0.448132
3.2,3.3,1235,29.2082,-9.72474,-1.55031,-0.22343,0.741512,-3.10207,0.970973,-0.570206,-0.552069,-0.0441163,-0.344307,-0.348868
3.3,3.4,1156,29.2868,-9.69792,-1.67671,-0.348888,0.824983,-3.10349,0.962556,-0.489177,-0.56713,-0.0124195,-0.291874,-0.377351
3.4,3.5,1149,29.7496,-9.97478,-1.60005,-0.347061,0.774781,-3.1198,0.99137,-0.598154,-0.577702,0.0351547,-0.373905,-0.363722
3.5,3.6,1113,29.5984,-9.47226,-1.57173,-0.289766,0.792314,-3.05929,0.920564,-0.569274,-0.493526,-0.0141408,-0.328697,-0.398321
3.6,3.7,1015,28.7007,-9.35163,-1.6467,-0.513068,0.750413,-3.16708,0.941322,-0.528777,-0.521982,0.0424817,-0.485669,-0.283022
3.7,3.8,982,29.6823,-9.46022,-1.54776,-0.321307,0.68567,-3.02536,0.907951,-0.49278,-0.54969,-0.00292562,-0.359492,-0.359302
3.8,3.9,878,29.1038,-9.1436,-1.54365,-0.481646,0.76967,-3.06981,0.885458,-0.487652,-0.567825,-0.111104,-0.322836,-0.388092
3.9,4,821,29.6097,-9.49767,-1.50629,-0.388327,0.732378,-3.11351,0.794826,-0.508034,-0.493642,-0.154935,-0.218834,-0.384909
4,4.1,813,28.2154,-8.6533,-1.52624,-0.504444,0.788982,-2.97682,0.808773,-0.457991,-0.526539,-0.105156,-0.346047,-0.405705
4.1,4.2,696,29.2426,-9.23599,-1.61788,-0.340881,0.903348,-3.10014,0.744147,-0.502753,-0.46129,-0.160554,-0.252482,-0.425801
4.2,4.3,672,30.0385,-9.60145,-1.46669,-0.297134,0.907245,-3.35502,0.790687,-0.483953,-0.434181,-0.192636,-0.27924,-0.52852
4.3,4.4,648,29.7742,-9.09713,-1.46522,-0.399777,0.948159,-3.09919,0.782521,-0.31821,-0.601903,-0.168228,-0.346513,-0.532137
4.4,4.5,603,29.0119,-8.59819,-1.45423,-0.541556,0.884766,-2.92156,0.798716,-0.429399,-0.614883,-0.0813669,-0.384466,-0.510271
4.5,4.6,568,28.7105,-8.47321,-1.79549,-0.568432,0.833619,-2.88342,0.847278,-0.265892,-0.684179,-0.156728,-0.435127,-0.374672
4.6,4.7,494,29.6602,-8.59822,-1.75378,-0.42729,0.852237,-2.96791,0.747568,-0.27365,-0.667955,-0.216664,-0.415246,-0.470913
