bucket_lo,bucket_hi,n,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
-5.5,-5,57,22.2125,0.731753,-1.91427,0.337932,0.566829,-1.92469,0.676428,0.814011,0.205185,-0.0260408,0.309586,1.20746
-5,-4.5,128,22.5909,-2.50234,-1.54624,0.315714,0.557149,-1.8029,-0.0392903,0.29585,0.402284,0.10544,-0.303926,0.965414
-4.5,-4,292,21.942,-3.98206,-1.17535,0.599029,0.58613,-1.46803,-0.129059,0.091461,0.202672,0.0655382,-0.629634,1.44744
-4,-3.5,572,20.4137,-5.2314,-0.823869,0.433109,0.332983,-1.58016,-0.12485,-0.127451,0.231464,-0.353428,-0.503495,1.85826
-3.5,-3,1101,19.695,-5.87768,-0.6937,0.16131,0.0910802,-1.22393,-0.0564923,-0.00817988,0.293414,-0.947893,-0.308671,2.04185
-3,-2.5,1530,22.0077,-5.86996,-0.816049,0.535178,-0.030939,-1.25397,-0.18614,0.171361,0.4056,-0.808827,-0.6759,1.61149
-2.5,-2,1811,25.2289,-6.14295,-1.09911,0.653711,0.00355373,-1.71269,-0.20886,0.253043,0.494563,-0.556107,-0.712186,1.41458
-2,-1.5,2186,29.8008,-5.84489,-1.48753,-0.0672848,0.491784,-1.72218,0.00141882,0.207794,0.640532,-0.716422,-0.18589,0.75683
-1.5,-1,3186,32.6162,-6.39315,-1.31991,-0.462136,0.632734,-1.64092,0.0449711,0.198399,0.717324,-0.730805,-0.0224935,0.402837
-1,-0.5,4235,32.9432,-6.5096,-1.30312,-0.519448,0.57423,-1.63339,0.00756422,0.191822,0.718934,-0.792636,0.0261748,0.36788
-0.5,0,4977,33.4916,-6.94253,-1.23055,-0.670029,0.564034,-1.70719,-0.0451176,0.107746,0.660937,-0.841564,0.0980096,0.322982
0,0.5,5000,32.7113,-7.49431,-1.3253,-0.692468,0.495663,-1.8624,-0.142954,-0.074432,0.606166,-0.782594,-0.00614681,0.381933
0.5,1,4999,33.0526,-8.09239,-1.15165,-0.72815,0.53645,-2.08831,-0.152247,-0.294487,0.476005,-0.867421,0.00866054,0.334569
1,1.5,5000,34.6983,-9.25317,-0.838736,-0.936082,0.497818,-2.24279,-0.341662,-0.452997,0.410632,-0.989125,-0.0415555,0.283872
1.5,2,5000,34.7034,-9.84964,-0.70588,-1.00708,0.536066,-2.44858,-0.317915,-0.699651,0.278685,-1.19992,-0.101854,0.286814
2,2.5,5000,32.6823,-9.60792,-0.899934,-0.823763,0.536605,-2.45691,-0.443681,-0.782905,0.303971,-1.17334,-0.30138,0.398623
2.5,3,5000,31.5646,-9.79401,-0.784383,-0.762935,0.540596,-2.63612,-0.425041,-0.868036,0.313451,-1.17945,-0.398991,0.453849
3,3.5,5000,27.7879,-9.49379,-1.17337,-0.379062,0.406132,-2.75839,-0.599539,-1.18922,0.1958,-1.3138,-0.553061,0.538225
3.5,4,5000,26.6271,-9.37686,-1.06902,-0.282564,0.450994,-2.64004,-0.64774,-1.31792,0.265232,-1.24573,-0.568901,0.433657
4,4.5,5000,24.8843,-9.41549,-1.32832,-0.220215,0.508544,-2.60032,-0.530505,-1.42706,0.416512,-1.26976,-0.545256,0.331214
4.5,5,5000,23.6977,-9.08385,-1.48154,-0.288733,0.493684,-2.58478,-0.521897,-1.42734,0.433255,-1.36682,-0.535751,0.289703
5,5.5,5000,22.4072,-8.61737,-1.34853,-0.207459,0.660042,-2.55471,-0.354519,-1.51735,0.466983,-1.40286,-0.455591,0.247353
5.5,6,5000,20.4118,-8.28518,-1.30431,-0.145879,0.683471,-2.61637,-0.270807,-1.51601,0.539669,-1.46809,-0.331883,0.178024
6,6.5,5000,18.9355,-7.95093,-1.3169,-0.219087,0.916045,-2.49138,-0.120437,-1.65904,0.550454,-1.43501,-0.278758,0.215578
6.5,7,4684,18.3294,-8.13351,-1.36999,-0.293789,1.10676,-2.55007,-0.193022,-1.82589,0.633278,-1.50681,-0.28017,0.145831
7,7.5,3809,18.7001,-8.17944,-1.163,-0.514144,1.2151,-2.57959,-0.135282,-1.87189,0.529895,-1.54078,-0.360294,0.208866
7.5,8,3181,18.1816,-7.78157,-1.21093,-0.526278,1.39962,-2.66743,0.035268,-1.85855,0.603226,-1.52054,-0.248298,0.206608
8,8.5,2444,18.5538,-8.32979,-1.02521,-0.643012,1.66401,-2.78264,0.079467,-1.99843,0.655479,-1.5911,-0.293557,0.184468
8.5,9,1522,18.1347,-8.53992,-1.22955,-0.791688,1.80553,-2.87259,0.0831505,-2.40541,0.390053,-1.79701,-0.251744,0.324144
9,9.5,838,16.1549,-6.72347,-1.26831,-0.925002,1.92689,-2.80283,0.337187,-1.96167,0.499671,-1.67741,-0.00336057,0.311642
9.5,10,509,13.7908,-5.07922,-1.51978,-0.743421,1.77248,-3.03473,0.47419,-1.64207,0.538004,-1.96718,0.598538,0.36667
10,10.5,319,13.244,-5.50425,-2.12035,-0.424985,1.93216,-3.28183,0.384025,-1.78842,0.256565,-2.43068,0.600358,0.559095
10.5,11,190,11.7781,-4.92086,-2.15575,-0.266863,1.62716,-3.37121,0.469575,-1.54001,0.0837203,-2.62568,1.02327,0.746821
11,11.5,85,9.8105,-3.92633,-2.6714,0.148029,1.18117,-3.11519,0.439681,-1.87424,-0.0383857,-3.43567,0.671293,1.33488
11.5,12,53,10.426,-3.16212,-3.24557,-0.0149408,0.986991,-3.36326,-0.0927301,-1.54895,-0.142297,-3.40325,0.805188,1.32193
12,12.5,31,9.51352,-3.66425,-3.58427,0.224643,1.3071,-4.32846,0.480182,-2.26623,-0.497988,-3.52729,1.06612,1.56654
