bucket_lo,bucket_hi,n,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
-7,-6,41,10.2514,8.6901,-4.36535,1.3864,0.853399,-2.19562,0.797983,0.432461,0.262423,0.121033,0.79938,1.65951
-6,-5,78,20.2934,2.30931,-2.45476,0.320032,0.544398,-2.02802,0.755277,0.833024,0.136604,-0.0316809,0.367263,1.36446
-5,-4,420,22.1398,-3.5311,-1.28838,0.512685,0.577298,-1.57009,-0.101701,0.153751,0.263506,0.0776987,-0.530371,1.30053
-4,-3,1673,19.9407,-5.65672,-0.738205,0.254238,0.173787,-1.34573,-0.0798639,-0.0489587,0.272233,-0.744645,-0.375282,1.97908
-3,-2,3341,23.7538,-6.01793,-0.969484,0.599429,-0.0122421,-1.50262,-0.198456,0.215637,0.453823,-0.67184,-0.695569,1.50475
-2,-1,4998,31.3967,-6.15591,-1.38837,-0.295104,0.579088,-1.66896,0.0276428,0.196414,0.6906,-0.717458,-0.103906,0.545534
-1,0,5000,33.3488,-6.70083,-1.23097,-0.617781,0.554816,-1.64618,-0.0167511,0.157334,0.677698,-0.834004,0.0765415,0.313749
0,1,4999,32.9394,-7.91823,-1.24349,-0.703981,0.534229,-1.98375,-0.158461,-0.221241,0.533038,-0.831755,-0.0362297,0.360911
1,2,4999,34.3811,-9.52821,-0.838967,-0.970039,0.502646,-2.35864,-0.355003,-0.593684,0.303957,-1.10309,-0.0883444,0.253515
2,3,4999,31.8756,-9.68436,-0.838945,-0.757515,0.545224,-2.5872,-0.439405,-0.83521,0.279114,-1.17783,-0.361441,0.427226
3,4,5000,27.246,-9.42328,-1.15108,-0.340091,0.449379,-2.68918,-0.607189,-1.21489,0.261289,-1.28714,-0.591085,0.44055
4,5,5000,24.1012,-9.32202,-1.40631,-0.252685,0.536068,-2.59043,-0.521543,-1.42031,0.412641,-1.34028,-0.551398,0.32064
5,6,5000,21.3756,-8.53811,-1.33133,-0.164394,0.67116,-2.58841,-0.319833,-1.54505,0.51238,-1.42941,-0.383019,0.211944
6,7,5000,18.6466,-7.99798,-1.33457,-0.271019,1.00025,-2.51665,-0.161739,-1.72442,0.579904,-1.45327,-0.276825,0.174826
7,8,5000,18.3803,-8.00202,-1.18613,-0.518656,1.29504,-2.63205,-0.0736161,-1.88428,0.555743,-1.52532,-0.307731,0.204884
8,9,3966,18.3929,-8.41043,-1.10363,-0.700068,1.71832,-2.81716,0.0808806,-2.15462,0.553619,-1.67012,-0.277511,0.23807
9,10,1347,15.2615,-6.10214,-1.36334,-0.856387,1.86854,-2.89046,0.388957,-1.8409,0.514156,-1.78691,0.224083,0.332436
10,11,509,12.6968,-5.28648,-2.13356,-0.365961,1.81831,-3.3152,0.415959,-1.6957,0.192045,-2.50347,0.758223,0.62917
11,12,138,10.0469,-3.63283,-2.89192,0.0854394,1.10659,-3.21047,0.235204,-1.74931,-0.0782936,-3.42322,0.722716,1.32991
12,13,52,8.98089,-3.68558,-3.296,0.153622,1.2829,-4.33222,0.297261,-2.27209,-0.267421,-3.63914,1.03082,1.6582
13,14,39,8.90186,-2.57277,-3.96181,0.419694,1.60776,-3.38776,-0.0983512,-1.86722,0.182956,-3.90105,0.380707,1.74084
14,15,31,9.35938,0.447843,-3.65452,0.40884,1.05814,-3.5942,-0.467003,-0.804473,0.151119,-3.95781,1.16698,1.49033
