bucket_lo,bucket_hi,n,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
0,0.1,5000,27.4244,-8.87931,-1.20442,-0.593344,0.560652,-2.44033,-0.308908,-1.04504,0.526251,-1.24055,-0.280157,0.31849
0.1,0.2,5000,29.5599,-9.51552,-0.857834,-0.678611,0.670432,-2.48405,-0.491,-0.980262,0.210277,-1.2942,-0.457299,0.349208
0.2,0.3,4999,28.0156,-8.51291,-0.727777,-0.354315,0.840416,-2.35989,-0.280788,-0.969677,0.182367,-1.16895,-0.371005,0.265488
0.3,0.4,4964,25.9332,-7.12651,-1.09512,-0.0547596,1.01923,-2.34159,-0.0749899,-0.979229,0.403656,-1.00411,-0.285934,0.403998
0.4,0.5,2978,26.1899,-7.09118,-1.2531,-0.0380191,1.047,-2.53388,0.034514,-0.98208,0.359909,-0.979874,-0.161002,0.607606
0.5,0.6,2156,26.7866,-6.35246,-1.35051,0.00384986,0.955443,-2.36206,0.09553,-0.748777,0.372529,-1.02759,0.000981508,0.580429
0.6,0.7,1524,26.3158,-6.71499,-1.44617,-0.155704,0.996003,-2.49843,0.112703,-0.603677,0.458315,-0.988109,-0.0301552,0.627425
0.7,0.8,1098,25.094,-6.53224,-1.38084,-0.100591,1.11654,-2.57768,0.209202,-0.627026,0.429227,-0.818522,0.146103,0.76763
0.8,0.9,749,23.499,-5.52124,-1.60292,-0.03476,1.05267,-2.35636,0.257776,-0.474136,0.383082,-0.724289,0.141834,0.746198
0.9,1,624,22.0529,-5.38027,-1.63352,0.23944,1.08558,-2.51935,0.22594,-0.581641,0.576009,-0.43177,0.0901629,0.917026
1,1.1,504,21.1941,-5.78761,-1.57786,0.256751,1.06491,-2.76673,0.0542925,-0.692731,0.470095,-0.458904,0.0486457,1.11905
1.1,1.2,506,21.2576,-5.27003,-1.74836,0.618203,0.693899,-2.47887,0.100532,-0.636113,0.396826,-0.482967,-0.065904,1.33414
1.2,1.3,408,21.2836,-6.4217,-1.40561,0.663017,0.636201,-2.74535,0.156575,-0.723898,0.441816,-0.513052,-0.072128,1.40643
1.3,1.4,413,19.693,-5.58989,-1.416,1.17182,0.677125,-2.54529,0.0724066,-0.532885,0.445844,-0.347971,-0.280397,1.60471
1.4,1.5,341,20.5917,-6.95232,-1.18723,0.881951,0.500389,-2.52044,0.135076,-0.454167,0.676417,-0.272611,-0.160193,1.65651
1.5,1.6,272,19.9324,-6.26539,-1.14763,0.981951,0.328873,-2.56153,-0.0533541,-0.314094,0.817182,-0.338078,-0.347266,1.66742
1.6,1.7,221,19.2573,-6.75959,-1.07042,1.1979,0.350067,-3.03272,0.0321922,-0.692405,0.402198,-0.528828,-0.363759,1.74091
1.7,1.8,173,20.903,-6.45467,-0.710452,1.00782,0.0267232,-2.56295,-0.394045,-0.459789,0.658983,-0.480419,-0.617475,1.67872
1.8,1.9,163,20.5362,-7.49178,-1.10126,1.14024,0.491096,-2.42372,-0.427084,-0.726332,0.658734,-0.602856,-0.313121,1.79959
1.9,2,169,17.5546,-6.36323,-1.29763,1.36225,0.809747,-2.84429,-0.234323,-0.901907,0.402087,-0.549127,-0.558605,2.01754
2,2.1,138,19.0895,-7.43015,-0.806192,0.974653,0.801715,-2.23451,-0.179689,-0.794033,0.212146,-0.510981,-0.813704,1.76118
2.1,2.2,125,18.3314,-7.17784,-0.757453,1.36228,0.445356,-2.10434,-0.45471,-0.484596,0.371188,-0.447435,-0.557183,2.04727
