layer,variant,distance,mean_cos
0,raw,0,0.989758
0,raw,1,0.989638
0,raw,2,0.989399
0,raw,3,0.989159
0,raw,4,0.988894
0,raw,5,0.988598
0,raw,6,0.98828
0,raw,7,0.987876
0,raw,8,0.987443
0,raw,9,0.986987
0,raw,10,0.986498
0,raw,11,0.985994
0,raw,12,0.985536
0,raw,13,0.984987
0,raw,14,0.984386
0,raw,15,0.983916
0,raw,16,0.98346
0,raw,17,0.983111
0,raw,18,0.982914
0,raw,19,0.982777
0,raw,20,0.982556
0,raw,21,0.982705
0,raw,22,0.982848
0,raw,23,0.983028
0,raw,24,0.983336
0,raw,25,0.984283
0,raw,26,0.984643
0,raw,27,0.984307
0,raw,28,0.980669
0,centered,0,0.322614
0,centered,1,0.310274
0,centered,2,0.296057
0,centered,3,0.27843
0,centered,4,0.258251
0,centered,5,0.233726
0,centered,6,0.211028
0,centered,7,0.185627
0,centered,8,0.159905
0,centered,9,0.133961
0,centered,10,0.109674
0,centered,11,0.0811511
0,centered,12,0.0550494
0,centered,13,0.025954
0,centered,14,-0.00586494
0,centered,15,-0.0317288
0,centered,16,-0.052396
0,centered,17,-0.0671145
0,centered,18,-0.073788
0,centered,19,-0.0753499
0,centered,20,-0.0737943
0,centered,21,-0.0558641
0,centered,22,-0.0352999
0,centered,23,-0.0123626
0,centered,24,0.000589516
0,centered,25,0.0336874
0,centered,26,0.0400758
0,centered,27,-0.0139586
0,centered,28,-0.120048
1,raw,0,0.990486
1,raw,1,0.990343
1,raw,2,0.990123
1,raw,3,0.989864
1,raw,4,0.989577
1,raw,5,0.989239
1,raw,6,0.988883
1,raw,7,0.98844
1,raw,8,0.987966
1,raw,9,0.987464
1,raw,10,0.986944
1,raw,11,0.986399
1,raw,12,0.98589
1,raw,13,0.985295
1,raw,14,0.984654
1,raw,15,0.98414
1,raw,16,0.983658
1,raw,17,0.983293
1,raw,18,0.983043
1,raw,19,0.982903
1,raw,20,0.982664
1,raw,21,0.982771
1,raw,22,0.98286
1,raw,23,0.983002
1,raw,24,0.983215
1,raw,25,0.98404
1,raw,26,0.984312
1,raw,27,0.983942
1,raw,28,0.980677
1,centered,0,0.30647
1,centered,1,0.292901
1,centered,2,0.277064
1,centered,3,0.258004
1,centered,4,0.23712
1,centered,5,0.212268
1,centered,6,0.189037
1,centered,7,0.163344
1,centered,8,0.137934
1,centered,9,0.112325
1,centered,10,0.0884703
1,centered,11,0.0605859
1,centered,12,0.0348458
1,centered,13,0.0060078
1,centered,14,-0.0253544
1,centered,15,-0.0507861
1,centered,16,-0.0705204
1,centered,17,-0.0835657
1,centered,18,-0.0884473
1,centered,19,-0.089662
1,centered,20,-0.0875114
1,centered,21,-0.0692031
1,centered,22,-0.0482844
1,centered,23,-0.0256719
1,centered,24,-0.0114012
1,centered,25,0.0226373
1,centered,26,0.0344614
1,centered,27,-0.00962839
1,centered,28,-0.10538
2,raw,0,0.989328
2,raw,1,0.989154
2,raw,2,0.988914
2,raw,3,0.988619
2,raw,4,0.988294
2,raw,5,0.987913
2,raw,6,0.987514
2,raw,7,0.987025
2,raw,8,0.986505
2,raw,9,0.985958
2,raw,10,0.985402
2,raw,11,0.984815
2,raw,12,0.984265
2,raw,13,0.983624
2,raw,14,0.982936
2,raw,15,0.982384
2,raw,16,0.981868
2,raw,17,0.981487
2,raw,18,0.981225
2,raw,19,0.981085
2,raw,20,0.980838
2,raw,21,0.980946
2,raw,22,0.981027
2,raw,23,0.981164
2,raw,24,0.98137
2,raw,25,0.982212
2,raw,26,0.982481
2,raw,27,0.982069
2,raw,28,0.97872
2,centered,0,0.297401
2,centered,1,0.283014
2,centered,2,0.26663
2,centered,3,0.247091
2,centered,4,0.225894
2,centered,5,0.200727
2,centered,6,0.177123
2,centered,7,0.151239
2,centered,8,0.125828
2,centered,9,0.100261
2,centered,10,0.076403
2,centered,11,0.0485726
2,centered,12,0.0231188
2,centered,13,-0.00534488
2,centered,14,-0.0360369
2,centered,15,-0.0609859
2,centered,16,-0.0803514
2,centered,17,-0.0930797
2,centered,18,-0.0979635
2,centered,19,-0.0992281
2,centered,20,-0.0969241
2,centered,21,-0.0791976
2,centered,22,-0.0587469
2,centered,23,-0.0368192
2,centered,24,-0.022558
2,centered,25,0.0113256
2,centered,26,0.0252942
2,centered,27,-0.0139754
2,centered,28,-0.108443
3,raw,0,0.988512
3,raw,1,0.988315
3,raw,2,0.988059
3,raw,3,0.987732
3,raw,4,0.987375
3,raw,5,0.986956
3,raw,6,0.986521
3,raw,7,0.985991
3,raw,8,0.985427
3,raw,9,0.984836
3,raw,10,0.984241
3,raw,11,0.983608
3,raw,12,0.983013
3,raw,13,0.982318
3,raw,14,0.981571
3,raw,15,0.980969
3,raw,16,0.980411
3,raw,17,0.980002
3,raw,18,0.979712
3,raw,19,0.979557
3,raw,20,0.979281
3,raw,21,0.979377
3,raw,22,0.979457
3,raw,23,0.979595
3,raw,24,0.979791
3,raw,25,0.980654
3,raw,26,0.98092
3,raw,27,0.980498
3,raw,28,0.976973
3,centered,0,0.291044
3,centered,1,0.276461
3,centered,2,0.260021
3,centered,3,0.240272
3,centered,4,0.219137
3,centered,5,0.194091
3,centered,6,0.170727
3,centered,7,0.145127
3,centered,8,0.12007
3,centered,9,0.0949502
3,centered,10,0.0715353
3,centered,11,0.0441694
3,centered,12,0.0192093
3,centered,13,-0.00892589
3,centered,14,-0.0392066
3,centered,15,-0.0636402
3,centered,16,-0.0824907
3,centered,17,-0.0945941
3,centered,18,-0.0994147
3,centered,19,-0.10092
3,centered,20,-0.099148
3,centered,21,-0.0823114
3,centered,22,-0.0625235
3,centered,23,-0.0413489
3,centered,24,-0.0275722
3,centered,25,0.00542144
3,centered,26,0.0190757
3,centered,27,-0.0180022
3,centered,28,-0.111485
4,raw,0,0.986983
4,raw,1,0.986742
4,raw,2,0.986456
4,raw,3,0.986072
4,raw,4,0.985653
4,raw,5,0.985155
4,raw,6,0.984644
4,raw,7,0.984024
4,raw,8,0.983365
4,raw,9,0.982675
4,raw,10,0.981987
4,raw,11,0.981245
4,raw,12,0.98055
4,raw,13,0.979736
4,raw,14,0.978857
4,raw,15,0.97814
4,raw,16,0.977476
4,raw,17,0.976985
4,raw,18,0.976615
4,raw,19,0.976403
4,raw,20,0.97604
4,raw,21,0.976108
4,raw,22,0.976175
4,raw,23,0.976314
4,raw,24,0.976477
4,raw,25,0.977395
4,raw,26,0.977659
4,raw,27,0.977216
4,raw,28,0.973153
