bucket_lo,bucket_hi,n,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
0,0.05,74729,22.002,-9.00113,-1.75359,-0.371859,0.0895829,-3.15687,-0.692637,-1.25213,0.160558,-0.603907,-0.240557,-0.178918
0.05,0.1,24525,27.3821,-10.7622,-1.18401,0.292435,0.275732,-3.29902,-0.835498,-1.42216,0.173388,-0.824954,0.116341,-0.39031
0.1,0.15,12893,25.9007,-10.7443,-1.12184,0.0805486,0.163426,-3.45945,-0.809788,-1.4264,0.12082,-0.929354,0.116243,-0.273664
0.15,0.2,7921,24.0988,-10.0398,-1.27345,-0.182175,0.210862,-3.27513,-0.763914,-1.24689,0.185037,-0.884694,0.0469172,-0.207068
0.2,0.25,5875,24.1092,-9.66091,-1.01984,-0.188799,0.291634,-3.15252,-0.680703,-1.28237,0.124327,-0.986549,0.0692824,-0.355063
0.25,0.3,4082,22.8567,-8.98766,-1.01426,-0.33259,0.373117,-3.25976,-0.452978,-1.231,0.0338754,-0.791434,-0.0143954,-0.155163
0.3,0.35,2731,21.5945,-8.2667,-1.16421,-0.456712,0.493013,-3.30601,-0.338215,-1.24571,0.0115367,-0.898306,-0.0715415,-0.0681555
0.35,0.4,2046,21.5818,-8.02126,-1.26375,-0.54795,0.620571,-3.34376,-0.296564,-1.24593,0.140788,-0.841618,-0.188762,-0.0116047
0.4,0.45,1648,21.6169,-8.09535,-1.32966,-0.536584,0.604123,-3.56641,-0.201939,-1.29161,0.0563215,-0.870353,-0.0918096,0.189536
0.45,0.5,1234,22.315,-8.30458,-1.34804,-0.49885,0.686261,-3.5023,-0.107772,-1.26091,0.116157,-0.725634,-0.0512174,0.180874
0.5,0.55,1154,22.2349,-7.63192,-1.40558,-0.548863,0.595419,-3.49215,-0.0969932,-1.16705,0.144394,-0.671544,0.0599223,0.212708
0.55,0.6,924,22.584,-7.28085,-1.47436,-0.588511,0.645275,-3.29318,-0.0861795,-1.02106,0.245779,-0.698183,-0.0639203,0.232521
0.6,0.65,784,21.8004,-7.5649,-1.51673,-0.563899,0.621424,-3.57884,-0.0626008,-1.03866,0.257076,-0.629397,-0.055711,0.258369
